matchday,H,A,Tore_H,Tore_A,where
1,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,3,0,home
1,VSG Altglienicke II,TSV Rudow Berlin,3,1,home
1,VfB Fortuna Biesdorf,FSV Spandauer Kickers,1,1,home
1,SV Empor Berlin,Füchse Berlin,2,4,home
1,Frohnauer SC,SFC Stern 1900,3,1,home
1,Berliner SC,SC Charlottenburg,3,1,home
1,SV BW Hohen Neuendorf,SSC Südwest 1947,3,1,home
1,SC Staaken 1919,Berlin Türkspor,2,3,home
1,TSV Mariendorf 1897,1. FC Wilmersdorf,2,2,home
1,Polar Pinguin Berlin,Sp.Vg. Blau Weiß 1890 Berlin,0,3,away
1,TSV Rudow Berlin,VSG Altglienicke II,1,3,away
1,FSV Spandauer Kickers,VfB Fortuna Biesdorf,1,1,away
1,Füchse Berlin,SV Empor Berlin,4,2,away
1,SFC Stern 1900,Frohnauer SC,1,3,away
1,SC Charlottenburg,Berliner SC,1,3,away
1,SSC Südwest 1947,SV BW Hohen Neuendorf,1,3,away
1,Berlin Türkspor,SC Staaken 1919,3,2,away
1,1. FC Wilmersdorf,TSV Mariendorf 1897,2,2,away
2,SSC Südwest 1947,Sp.Vg. Blau Weiß 1890 Berlin,NA,NA,home
2,1. FC Wilmersdorf,SV BW Hohen Neuendorf,NA,NA,home
2,Polar Pinguin Berlin,SV Empor Berlin,NA,NA,home
2,FSV Spandauer Kickers,Berliner SC,NA,NA,home
2,TSV Rudow Berlin,Frohnauer SC,NA,NA,home
2,Berlin Türkspor,VfB Fortuna Biesdorf,NA,NA,home
2,SC Staaken 1919,VSG Altglienicke II,NA,NA,home
2,SC Charlottenburg,Füchse Berlin,NA,NA,home
2,SFC Stern 1900,TSV Mariendorf 1897,NA,NA,home
2,Sp.Vg. Blau Weiß 1890 Berlin,SSC Südwest 1947,NA,NA,away
2,SV BW Hohen Neuendorf,1. FC Wilmersdorf,NA,NA,away
2,SV Empor Berlin,Polar Pinguin Berlin,NA,NA,away
2,Berliner SC,FSV Spandauer Kickers,NA,NA,away
2,Frohnauer SC,TSV Rudow Berlin,NA,NA,away
2,VfB Fortuna Biesdorf,Berlin Türkspor,NA,NA,away
2,VSG Altglienicke II,SC Staaken 1919,NA,NA,away
2,Füchse Berlin,SC Charlottenburg,NA,NA,away
2,TSV Mariendorf 1897,SFC Stern 1900,NA,NA,away
3,SSC Südwest 1947,VSG Altglienicke II,NA,NA,home
3,1. FC Wilmersdorf,SC Staaken 1919,NA,NA,home
3,TSV Rudow Berlin,VfB Fortuna Biesdorf,NA,NA,home
3,Berlin Türkspor,SV BW Hohen Neuendorf,NA,NA,home
3,Füchse Berlin,TSV Mariendorf 1897,NA,NA,home
