Rank,Team,Nr,Name,Pos,Spielzeit,matches_played_ratio,playtime_ratio,points_per_game,scorerpoints_ratio,best_player_ratio,Score
1,Frohnauer SC,15,Isaac Manu Kyere,LM,261,1,0.967,1,0.286,0.333,0.85
2,SV BW Hohen Neuendorf,31,Dag Rüdiger,RV,270,1,1,1,0.111,0.667,0.85
3,SV BW Hohen Neuendorf,27,Sebastian Wolf,RM,257,1,0.952,1,0.222,0.333,0.84
4,Frohnauer SC,17,Tobias Hampel,IV,270,1,1,1,0,0.333,0.82
5,SV BW Hohen Neuendorf,21,Thomas Stoltz,IV,270,1,1,1,0,0.333,0.82
6,Frohnauer SC,10,Rangga Musiol,ZOM,244,1,0.904,1,0.286,0,0.81
7,FSV Spandauer Kickers,7,Okan Tastan,ST,252,1,0.933,0.778,0.6,0,0.81
8,erlin Türkspor,27,Artin Zardoshtian,ZDM,270,1,1,0.667,0.333,0.667,0.8
9,Frohnauer SC,11,Nils Ehritt,RV,270,1,1,1,0,0,0.8
10,Frohnauer SC,1,Sebastian Paul,TW,270,1,1,1,0,0,0.8
11,SV BW Hohen Neuendorf,1,Timo Kopmann,TW,270,1,1,1,0,0,0.8
12,SSC Südwest 1947,23,Juan Cernescu,RM,180,0.6666666666666666,1,0.5,1,0.5,0.77
13,erlin Türkspor,8,Joe Williams,LV,270,1,1,0.667,0,1,0.77
14,erlin Türkspor,10,Halit Bacak,RM,270,1,1,0.667,0.111,0.667,0.77
15,FSV Spandauer Kickers,6,Khasan Dzhaukhar,LM,270,1,1,0.778,0.2,0,0.77
16,Füchse Berlin,1,Kevin Otremba,TW,180,0.6666666666666666,1,1,0,1,0.77
17,Füchse Berlin,22,Victor Sunday,ST,236,1,0.874,0.667,0.5,0.333,0.77
18,SV BW Hohen Neuendorf,18,Jeremy Domke,LV,243,1,0.9,1,0,0,0.77
19,Berliner SC,19,Stephan Ngah,LM,258,1,0.956,0.444,0.5,0.667,0.76
20,FSV Spandauer Kickers,20,Jakub Ado Klepczynski,IV,270,1,1,0.778,0,0.333,0.76
21,FSV Spandauer Kickers,23,Nils Gardeike,TW,270,1,1,0.667,0,0.667,0.75
22,Füchse Berlin,4,Dominik Klecha,IV,270,1,1,0.667,0,0.667,0.75
23,Sp.Vg. Blau Weiß 1890 Berlin,30,Michael Hinz,TW,270,1,1,0.667,0.125,0,0.74
24,erlin Türkspor,24,Emre Turan,IV,265,1,0.981,0.667,0.222,0,0.74
