Team,Formation,Anzahl,Total_Spiele,Wahrscheinlichkeit,dreier_kette,vierer_kette,Starting11_Team,Starting11_Position,Starting11_Nummer,Starting11_Name,Starting11_Weighted_Score
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,TW,NA,Joel Samake,0.62
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,IV,NA,Enes Aydin,0.61
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ZDM,NA,Valentin Henneke,0.61
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,RM,NA,Marvin Kupfer,0.59
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,LV,NA,Jonas Techie-Menson,0.56
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ZOM,NA,Yasar Can Cinar,0.55
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ZDM,NA,Arthur Langhammer,0.53
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,LM,NA,Mohammed Izal,0.52
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ST,NA,Marco Karim Benyamina,0.51
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,IV,NA,Otmar Baumann,0.47
1. FC Wilmersdorf,4-2-3-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,RV,NA,Baran Akpinar,0.46
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,TW,NA,Joel Samake,0.62
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,IV,NA,Enes Aydin,0.61
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ZM,NA,Valentin Henneke,0.61
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,RM,NA,Marvin Kupfer,0.59
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,LV,NA,Jonas Techie-Menson,0.56
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,LM,NA,Mohammed Izal,0.52
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ST,NA,Marco Karim Benyamina,0.51
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,IV,NA,Otmar Baumann,0.47
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,RV,NA,Baran Akpinar,0.46
1. FC Wilmersdorf,4-5-1,1,3,33%,Nein,Ja,1. FC Wilmersdorf,ZM,NA,Serkan Akyol,0.45
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,LM,NA,Artin Zardoshtian,0.8
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,ZM,NA,Joe Williams,0.77
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,RM,NA,Halit Bacak,0.77
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,IV,NA,Emre Turan,0.74
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,IV,NA,Sefa Kahraman,0.74
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,IV,NA,Panagiotis Vassiliadis,0.73
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,ST,NA,Jonas Mukuku Zola,0.69
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,ZM,NA,Benjamin Heymann,0.69
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,TW,NA,Viktor Pokataiev,0.63
Berlin Türkspor,3-6-1,1,3,33%,Ja,Nein,Berlin Türkspor,ZM,NA,Ahmad Rmieh,0.63
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,ZDM,NA,Artin Zardoshtian,0.8
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,LV,NA,Joe Williams,0.77
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,RM,NA,Halit Bacak,0.77
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,IV,NA,Emre Turan,0.74
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,IV,NA,Sefa Kahraman,0.74
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,RV,NA,Panagiotis Vassiliadis,0.73
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,ST,NA,Jonas Mukuku Zola,0.69
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,LM,NA,Benjamin Heymann,0.69
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,ZOM,NA,Mapalo Korntreff,0.68
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,TW,NA,Viktor Pokataiev,0.63
Berlin Türkspor,4-2-3-1,2,3,67%,Nein,Ja,Berlin Türkspor,ZDM,NA,Ahmad Rmieh,0.63
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,LM,NA,Stephan Ngah,0.76
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,ZDM,NA,Jeff Nnaemeka-Chukwurah,0.73
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,ZOM,NA,Justin Maximilian Neumann,0.72
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,RV,NA,Luis-Raymond Bossard,0.7
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,TW,1,Tom Köster,0.69
Berliner SC,4-1-4-1,1,3,33%,Nein,Ja,Berliner SC,IV,NA,Nikola Markovic,0.68
