team,Spiele,E5,E4,E3,E2,E1,Tore,Dif,Pkt,#
Sp.Vg. Blau Weiß 1890 Berlin,1,NA,NA,NA,NA,S,3:0,3,3,1
Berliner SC,1,NA,NA,NA,NA,S,3:1,2,3,2
Frohnauer SC,1,NA,NA,NA,NA,S,3:1,2,3,3
Füchse Berlin,1,NA,NA,NA,NA,S,4:2,2,3,4
SV BW Hohen Neuendorf,1,NA,NA,NA,NA,S,3:1,2,3,5
VSG Altglienicke II,1,NA,NA,NA,NA,S,3:1,2,3,6
Berlin Türkspor,1,NA,NA,NA,NA,S,3:2,1,3,7
1. FC Wilmersdorf,1,NA,NA,NA,NA,U,2:2,0,1,8
FSV Spandauer Kickers,1,NA,NA,NA,NA,U,1:1,0,1,9
TSV Mariendorf 1897,1,NA,NA,NA,NA,U,2:2,0,1,10
VfB Fortuna Biesdorf,1,NA,NA,NA,NA,U,1:1,0,1,11
SC Staaken 1919,1,NA,NA,NA,NA,N,2:3,-1,0,12
SC Charlottenburg,1,NA,NA,NA,NA,N,1:3,-2,0,13
SFC Stern 1900,1,NA,NA,NA,NA,N,1:3,-2,0,14
SSC Südwest 1947,1,NA,NA,NA,NA,N,1:3,-2,0,15
SV Empor Berlin,1,NA,NA,NA,NA,N,2:4,-2,0,16
TSV Rudow Berlin,1,NA,NA,NA,NA,N,1:3,-2,0,17
Polar Pinguin Berlin,1,NA,NA,NA,NA,N,0:3,-3,0,18
