#,team,S,G,U,N,Tore,Dif,Pkt
1,Frohnauer SC,4,3,1,0,14:5,9,10
2,SV BW Hohen Neuendorf,4,3,1,0,11:6,5,10
3,FSV Spandauer Kickers,4,3,1,0,7:3,4,10
4,Füchse Berlin,4,3,0,1,10:5,5,9
5,Sp.Vg. Blau Weiß 1890 Berlin,4,2,1,1,11:5,6,7
6,VSG Altglienicke II,4,2,1,1,8:5,3,7
7,Berlin Türkspor,4,2,0,2,9:9,0,6
8,TSV Mariendorf 1897,4,1,2,1,9:8,1,5
9,1. FC Wilmersdorf,4,1,2,1,4:4,0,5
10,SFC Stern 1900,4,1,2,1,6:7,-1,5
11,Berliner SC,4,1,1,2,4:4,0,4
12,Polar Pinguin Berlin,4,1,1,2,8:10,-2,4
13,TSV Rudow Berlin,4,1,1,2,6:8,-2,4
14,VfB Fortuna Biesdorf,4,1,1,2,4:10,-6,4
15,SC Charlottenburg,4,1,0,3,5:9,-4,3
16,SSC Südwest 1947,4,1,0,3,3:9,-6,3
17,SC Staaken,4,0,2,2,6:9,-3,2
18,SV Empor Berlin,4,0,1,3,7:16,-9,1
