Rank,Team,Name,Nr,Pos,Spiele,Tore
1,SV Empor Berlin,Quentin Paul Albrecht,9,ST,5,8
2,TSV Mariendorf 1897,Mehmet-Can Senocak,25,ST,5,6
3,Polar Pinguin Berlin,James Ifeanyichukwu Ndubueze,16,ST,5,5
4,SV BW Hohen Neuendorf,Jean-Marc Soine,23,ST,3,5
5,Sp.Vg. Blau Weiß 1890 Berlin,Darryl Julian Geurts,11,LM,5,4
6,Berlin Türkspor,Süleyman Kapan,0,ST,4,4
7,Frohnauer SC,Isaac Manu Kyere,15,LM,5,4
8,Frohnauer SC,Rangga Musiol,10,ZOM,5,4
9,FSV Spandauer Kickers,Okan Tastan,7,ST,5,4
10,Füchse Berlin,Victor Sunday,22,ST,4,4
11,Sp.Vg. Blau Weiß 1890 Berlin,Nils Köhne,4,IV,4,3
12,Sp.Vg. Blau Weiß 1890 Berlin,Guilherme Henrique Lopes De Oliveira,13,NA,5,3
13,Frohnauer SC,Buba Ceesay,9,ST,4,3
14,SC Charlottenburg,Janos Löbe,0,LM,4,3
15,SC Charlottenburg,Patrick Maykowski,27,RM,5,3
16,Berliner SC,Stephan Ngah,19,ST,5,2
17,VSG Altglienicke II,Yousif El Sadani,6,NA,4,2
18,VSG Altglienicke II,Steve Klamkowski,5,IV,3,2
19,VSG Altglienicke II,Moritz Tomczak,10,ST,4,2
20,Polar Pinguin Berlin,Moritz Sondermann,0,NA,3,2
21,Sp.Vg. Blau Weiß 1890 Berlin,Florian Kohls,0,ZM,3,2
22,TSV Rudow Berlin,Ahmad Haj Youssef,19,NA,5,2
23,TSV Rudow Berlin,Melih Hortum,10,ZOM,5,2
24,TSV Rudow Berlin,Merdan Baba,23,ST,5,2
25,VfB Fortuna Biesdorf,Alex Steinke,8,ST,5,2
26,SSC Südwest 1947,Juan Cernescu,23,RM,4,2
27,TSV Mariendorf 1897,Wesa Den Araujo Van-Dunem,8,NA,5,2
28,Berlin Türkspor,Benjamin Heymann,11,LM,4,2
29,Berlin Türkspor,Emre Turan,24,IV,3,2
30,SC Charlottenburg,Kai Hörschlein,0,RM,3,2
31,FSV Spandauer Kickers,Tugay Uzan,0,ST,4,2
32,SFC Stern 1900,Oliver Gantzberg,20,ZOM,5,2
33,SFC Stern 1900,Jordan Thurau,7,LM,5,2
34,Füchse Berlin,Furkan Yildirim,13,ZDM,4,2
35,1. FC Wilmersdorf,Nii Bruce Weber,0,LM,2,2
36,SC Staaken,Kevin Flemming,10,NA,3,2
37,SC Staaken,Erhan Bahceci,28,NA,2,2
38,Berliner SC,Nikola Markovic,2,IV,5,1
39,Berliner SC,Alexander Lorenz,14,ST,4,1
