#,team,S,G,U,N,Tore,Dif,Pkt
1,Frohnauer SC,2,2,0,0,10:2,8,6
2,VSG Altglienicke II,2,2,0,0,6:2,4,6
3,FSV Spandauer Kickers,2,2,0,0,4:2,2,6
4,Sp.Vg. Blau Weiß 1890 Berlin,2,1,1,0,6:3,3,4
5,SV BW Hohen Neuendorf,2,1,1,0,5:3,2,4
6,SFC Stern 1900,2,1,1,0,3:2,1,4
7,Berliner SC,2,1,0,1,3:2,1,3
8,SC Charlottenburg,2,1,0,1,3:3,0,3
9,Berlin Türkspor,3,1,0,2,6:7,-1,3
10,SSC Südwest 1947,3,1,0,2,2:6,-4,3
11,TSV Mariendorf 1897,1,0,1,0,2:2,0,1
12,1. FC Wilmersdorf,2,0,1,1,1:2,-1,1
13,Polar Pinguin Berlin,2,0,1,1,4:5,-1,1
14,TSV Rudow Berlin,2,0,1,1,3:4,-1,1
15,SC Staaken,3,0,1,2,6:9,-3,1
16,VfB Fortuna Biesdorf,2,0,1,1,1:5,-4,1
17,Füchse Berlin,1,0,0,1,0:2,-2,0
18,SV Empor Berlin,1,0,0,1,2:4,-2,0
