Spieltag,Heim,Auswärts,H_tore,A_tore
5,1. FC Wilmersdorf,TSV Rudow Berlin,2,0
5,SFC Stern 1900,SC Staaken,2,1
5,SV Empor Berlin,Sp.Vg. Blau Weiß 1890 Berlin,5,2
5,FSV Spandauer Kickers,SSC Südwest 1947,1,1
5,SC Charlottenburg,SV BW Hohen Neuendorf,4,0
5,Berliner SC,Frohnauer SC,2,1
5,Polar Pinguin Berlin,Berlin Türkspor,4,5
5,TSV Mariendorf 1897,VfB Fortuna Biesdorf,4,2
4,SSC Südwest 1947,TSV Rudow Berlin,1,2
4,Berlin Türkspor,FSV Spandauer Kickers,0,2
4,VSG Altglienicke II,SC Charlottenburg,3,1
4,VfB Fortuna Biesdorf,Füchse Berlin,0,4
4,Sp.Vg. Blau Weiß 1890 Berlin,TSV Mariendorf 1897,3,3
4,SV BW Hohen Neuendorf,SFC Stern 1900,2,2
4,Frohnauer SC,SV Empor Berlin,7,1
4,Berliner SC,1. FC Wilmersdorf,0,1
4,SC Staaken,Polar Pinguin Berlin,2,4
3,SSC Südwest 1947,VSG Altglienicke II,1,0
3,1. FC Wilmersdorf,SC Staaken,0,0
3,TSV Rudow Berlin,VfB Fortuna Biesdorf,1,2
3,Berlin Türkspor,SV BW Hohen Neuendorf,2,4
3,Füchse Berlin,TSV Mariendorf 1897,0,2
3,SFC Stern 1900,Berliner SC,0,0
3,FSV Spandauer Kickers,Sp.Vg. Blau Weiß 1890 Berlin,2,1
3,SC Charlottenburg,SV Empor Berlin,2,1
3,Polar Pinguin Berlin,Frohnauer SC,1,2
2,SSC Südwest 1947,Sp.Vg. Blau Weiß 1890 Berlin,0,4
2,1. FC Wilmersdorf,SV BW Hohen Neuendorf,1,2
2,Polar Pinguin Berlin,SV Empor Berlin,3,3
2,FSV Spandauer Kickers,Berliner SC,2,1
2,TSV Rudow Berlin,Frohnauer SC,2,2
2,Berlin Türkspor,VfB Fortuna Biesdorf,4,1
2,SC Staaken,VSG Altglienicke II,2,2
2,SC Charlottenburg,Füchse Berlin,1,2
2,SFC Stern 1900,TSV Mariendorf 1897,3,2
1,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,3,0
1,VSG Altglienicke II,TSV Rudow Berlin,3,1
1,VfB Fortuna Biesdorf,FSV Spandauer Kickers,1,1
1,SV Empor Berlin,Füchse Berlin,2,4
1,Frohnauer SC,SFC Stern 1900,3,1
1,Berliner SC,SC Charlottenburg,3,1
1,SV BW Hohen Neuendorf,SSC Südwest 1947,3,1
1,SC Staaken,Berlin Türkspor,2,3
1,TSV Mariendorf 1897,1. FC Wilmersdorf,2,2
