Spieltag,Heim,Auswärts,H_tore,A_tore,HeimFormation,HeimStartelf,HeimSubs,ToreRaw,where,size,AuswaertsFormation,AuswaertsStartelf,AuswaertsSubs
1,Sp.Vg. Blau Weiß 1890 Berlin,Polar Pinguin Berlin,3,0,4-2-3-1,"Hinz, Wiebach, Banze, Köhne, Salla, Engel, Rausch, Touré, Lopes de Oliveira, Grabow, Brömer","Igkmpinompa, Todorov, Rocktäschel, Maurer, Geurts",1:0 (15.) Köhne; 2:0 (61.) Lopes de Oliveira; 3:0 (80.) Geurts,home,L,5-4-1,"Erbilgin, Culubali, Kahra, Hardt, Ouattara, Abasi, Will, Broll, Löhmann, Faizli, Ndubueze","Kaplan, Riebel, Zeidler, Schwabe, Mizani"
1,VSG Altglienicke II,TSV Rudow Berlin,3,1,4-3-3,"Kassem, El Sadani, Klamkowski, Glatzel, Busch, Schenkel, Senst, El Taib, Bakal, Tomczak, Fayoumi","Losse, Kutrieb, Atici, Lieberam",1:0 (33.) Tomczak; 2:0 (60.) Tomczak; 3:0 (88.) El Sadani,home,S,4-2-3-1,"Gromotka, Razeek, Ehrich, Bähr, Bayram, Fritsche, Hassane, Günther, Hortum, A. Iraqui, Baba","Haj Youssef, H. Iraqui, Murseli, Saberdest, Thonfeld"
1,VfB Fortuna Biesdorf,FSV Spandauer Kickers,1,1,4-4-2,"Sangel, Künne, Hartwig, Nerjovaj, Maroske, Barrufet, Sommer, Petschner, Dang, Schramm, Steinke","Mansour, Sowa, Haj Youssef, Kaftan, Friebe",1:0 (15.) Sommer,home,S,5-3-2,"Gardeike, Dzhaukhar, Klepczynski, Iseni, J. Krumnow, Szuwarski, Vefonge Wana, Senninger, Kuckei, Tastan, Agyei-Yeboah","Sawallich, Cocou"
1,SV Empor Berlin,Füchse Berlin,2,4,4-1-4-1,"Von Hallen, Wenger, Kühn, Khettal, Meirelles-Hartmann, Wegner, Appiah, Schulz, Zander, Möller, Albrecht","Nickel, Hübner, Schäfer, Neumeier, Sakar",1:2 (26.) Albrecht; 2:4 (75.) Albrecht,home,L,4-2-3-1,"Otremba, Cygankov, Klecha, Tüysüz, Wilhelm, Bushaj, Zoungrana, Ouédraogo, Sivaci, Haney, Sunday","Yildirim, Rabiega, Bourakkadi, Herdt, Brechler"
1,Frohnauer SC,SFC Stern 1900,3,1,4-2-3-1,"Paul, Ehritt, Hofmann, Hampel, Domke, Sei ert, Hollnagel, Mundt, Musiol, Kyere, Ceesay","Barnes, Bachar, Lindhammer, Eickhoff",1:0 (13.) Kyere; 2:0 (22.) Kyere; 3:0 (28.) Ceesay,home,M,4-2-3-1,"Dickersbach, Krost, Schönfuß-Hahm, Hajjaj, Udeoka, Rohr, Rohana, Medrane, Gantzberg, Shaarawy, Fäßler","Wobeser, Keita, Cakin, Thurau, Hartmann"
1,Berliner SC,SC Charlottenburg,3,1,4-1-2-3,"Köster, Bossard, Trojahn, Markovic, Simon, Nnaemeka-Chukwurah, Neumann, Cheung, Ekandille, Ngah, Ugbogbo","Öztürk, Lorenz, Schumann, Jafari",1:1 (69.) Neumann; 2:1 (71.) Cheung; 3:1 (88.) Lorenz,home,L,4-2-3-1,"Seidel, Brinkmann, Droszczak, Reichel, Helge, Engelsing, Michels, Hörschlein, Ulucay, Saif, Selman","Lehmann, Mestetef, Maykowski, Onyemaobi"
1,SV BW Hohen Neuendorf,SSC Südwest 1947,3,1,3-2-2-2-1,"Kopmann, Stoltz, Domke, Niederau, Rüdiger, Lendner, Draski, Urbanski, Wolf, Vogt, Przesang","Schock Negrete, Bacanu, Soine, Lange, Röttgen",1:0 (29.) Niederau; 2:1 (64.) Röttgen; 3:1 (88.) Soine,home,M,4-2-3-1,"Stroehlke, Schick, Schramm, Schoeneich, J. Greiner, Olsowski, Schulze, Cernescu, Chafra, Karadayi, Kascha","+1 Mbile Sanchez, +1 Gündogdu, Smolarkiewicz, Glaser, L. Greiner"
1,SC Staaken,Berlin Türkspor,2,3,5-3-2,"Oberbach, Lampert, Hackbarth, Aksakal, Förster, Younes, Ufak, Tutzschke, El Dayekh, Walter, Gakpeto","Hamid, Stein, Heumer, Flemming, Bahceci",1:1 (38.) Förster;  2:3 (88.) Bahceci,home,S,3-6-1,"Bätge, Kahraman, Turan, Vassiliadis, Bacak, Heymann, Korntre, Rmieh, Williams, Zardoshtian, Zola","Krien, Dougalis"
1,TSV Mariendorf 1897,1. FC Wilmersdorf,2,2,4-4-2,"Chaw, Tutic, Rosner, Austermann, Fürst, Veilert, Pfannschmidt, Kasola, Kromat, Senocak, Krieger","Kadiji, Montoya, Van-Dunem, Ulusoy, Yorguner",1:0 (8.) Senocak;,home,L,4-5-1,"Samake, Akpinar, Aydin, Baumann, Techie-Menson, El- Meguid, Henneke, Akyol, Flores Kaya, Izal, Kupfer","Russo, Okech, Loch, Cinar, Ilskens"
1,Polar Pinguin Berlin,Sp.Vg. Blau Weiß 1890 Berlin,0,3,5-4-1,"Erbilgin, Culubali, Kahra, Hardt, Ouattara, Abasi, Will, Broll, Löhmann, Faizli, Ndubueze","Kaplan, Riebel, Zeidler, Schwabe, Mizani",,away,L,4-2-3-1,"Hinz, Wiebach, Banze, Köhne, Salla, Engel, Rausch, Touré, Lopes de Oliveira, Grabow, Brömer","Igkmpinompa, Todorov, Rocktäschel, Maurer, Geurts"
