"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
1,"Sp.Vg. Blau Weiß 1890 Berlin","Polar Pinguin Berlin",3,0,NA,NA,NA
1,"VSG Altglienicke II","TSV Rudow Berlin",3,1,NA,NA,NA
1,"VfB Fortuna Biesdorf","FSV Spandauer Kickers",1,1,NA,NA,NA
1,"SV Empor Berlin","Füchse Berlin",2,4,NA,NA,NA
1,"Frohnauer SC","SFC Stern 1900",3,1,NA,NA,NA
1,"Berliner SC","SC Charlottenburg",3,1,NA,NA,NA
1,"SV BW Hohen Neuendorf","SSC Südwest 1947",3,1,NA,NA,NA
1,"SC Staaken","erlin Türkspor",2,3,NA,NA,NA
1,"TSV Mariendorf 1897","1. FC Wilmersdorf",2,2,NA,NA,NA
2,"SSC Südwest 1947","Sp.Vg. Blau Weiß 1890 Berlin",0,4,NA,NA,NA
2,"1. FC Wilmersdorf","SV BW Hohen Neuendorf",1,2,NA,NA,NA
2,"Polar Pinguin Berlin","SV Empor Berlin",3,3,NA,NA,NA
2,"FSV Spandauer Kickers","Berliner SC",2,1,NA,NA,NA
2,"TSV Rudow Berlin","Frohnauer SC",2,2,NA,NA,NA
2,"erlin Türkspor","VfB Fortuna Biesdorf",4,1,NA,NA,NA
2,"SC Staaken","VSG Altglienicke II",NA,NA,0.343,0.342,0.315
2,"SC Charlottenburg","Füchse Berlin",1,2,NA,NA,NA
2,"SFC Stern 1900","TSV Mariendorf 1897",3,2,NA,NA,NA
3,"SSC Südwest 1947","VSG Altglienicke II",1,0,NA,NA,NA
3,"1. FC Wilmersdorf","SC Staaken",0,0,NA,NA,NA
3,"TSV Rudow Berlin","VfB Fortuna Biesdorf",1,2,NA,NA,NA
3,"erlin Türkspor","SV BW Hohen Neuendorf",2,4,NA,NA,NA
3,"Füchse Berlin","TSV Mariendorf 1897",0,2,NA,NA,NA
3,"SFC Stern 1900","Berliner SC",0,0,NA,NA,NA
3,"FSV Spandauer Kickers","Sp.Vg. Blau Weiß 1890 Berlin",2,1,NA,NA,NA
3,"SC Charlottenburg","SV Empor Berlin",2,1,NA,NA,NA
3,"Polar Pinguin Berlin","Frohnauer SC",1,2,NA,NA,NA
4,"SSC Südwest 1947","TSV Rudow Berlin",NA,NA,0.394,0.318,0.287
4,"erlin Türkspor","FSV Spandauer Kickers",NA,NA,0.356,0.336,0.308
4,"VSG Altglienicke II","SC Charlottenburg",NA,NA,0.369,0.33,0.302
4,"VfB Fortuna Biesdorf","Füchse Berlin",NA,NA,0.343,0.342,0.315
4,"Sp.Vg. Blau Weiß 1890 Berlin","TSV Mariendorf 1897",NA,NA,0.394,0.318,0.287
4,"SV BW Hohen Neuendorf","SFC Stern 1900",NA,NA,0.434,0.301,0.264
4,"Frohnauer SC","SV Empor Berlin",NA,NA,0.448,0.296,0.257
4,"Berliner SC","1. FC Wilmersdorf",NA,NA,0.394,0.318,0.287
4,"SC Staaken","Polar Pinguin Berlin",NA,NA,0.369,0.33,0.302
5,"1. FC Wilmersdorf","TSV Rudow Berlin",NA,NA,0.381,0.324,0.294
5,"Füchse Berlin","VSG Altglienicke II",NA,NA,0.408,0.313,0.28
5,"SFC Stern 1900","SC Staaken",NA,NA,0.408,0.313,0.28
5,"SV Empor Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.315,0.341,0.343
5,"FSV Spandauer Kickers","SSC Südwest 1947",NA,NA,0.421,0.307,0.272
5,"SC Charlottenburg","SV BW Hohen Neuendorf",NA,NA,0.309,0.336,0.356
5,"Berliner SC","Frohnauer SC",NA,NA,0.331,0.347,0.322
5,"Polar Pinguin Berlin","erlin Türkspor",NA,NA,0.315,0.341,0.343
5,"TSV Mariendorf 1897","VfB Fortuna Biesdorf",NA,NA,0.369,0.33,0.302
6,"SV Empor Berlin","SFC Stern 1900",NA,NA,0.331,0.347,0.322
6,"Sp.Vg. Blau Weiß 1890 Berlin","TSV Rudow Berlin",NA,NA,0.434,0.301,0.264
6,"Frohnauer SC","FSV Spandauer Kickers",NA,NA,0.369,0.33,0.302
6,"Berliner SC","Polar Pinguin Berlin",NA,NA,0.408,0.313,0.28
6,"TSV Mariendorf 1897","SC Charlottenburg",NA,NA,0.381,0.324,0.294
6,"Füchse Berlin","1. FC Wilmersdorf",NA,NA,0.421,0.307,0.272
6,"SV BW Hohen Neuendorf","SC Staaken",NA,NA,0.474,0.285,0.241
6,"VSG Altglienicke II","erlin Türkspor",NA,NA,0.331,0.347,0.322
6,"VfB Fortuna Biesdorf","SSC Südwest 1947",NA,NA,0.381,0.324,0.294
7,"SSC Südwest 1947","Polar Pinguin Berlin",NA,NA,0.394,0.318,0.287
7,"TSV Rudow Berlin","FSV Spandauer Kickers",NA,NA,0.309,0.336,0.356
7,"erlin Türkspor","SFC Stern 1900",NA,NA,0.394,0.318,0.287
7,"Sp.Vg. Blau Weiß 1890 Berlin","Berliner SC",NA,NA,0.394,0.318,0.287
7,"VSG Altglienicke II","TSV Mariendorf 1897",NA,NA,0.356,0.336,0.308
7,"VfB Fortuna Biesdorf","SV Empor Berlin",NA,NA,0.408,0.313,0.28
7,"Frohnauer SC","1. FC Wilmersdorf",NA,NA,0.434,0.301,0.264
7,"SV BW Hohen Neuendorf","Füchse Berlin",NA,NA,0.408,0.313,0.28
7,"SC Staaken","SC Charlottenburg",NA,NA,0.343,0.342,0.315
8,"SC Charlottenburg","erlin Türkspor",NA,NA,0.331,0.347,0.322
8,"1. FC Wilmersdorf","FSV Spandauer Kickers",NA,NA,0.315,0.341,0.343
8,"Füchse Berlin","SC Staaken",NA,NA,0.434,0.301,0.264
8,"SFC Stern 1900","SSC Südwest 1947",NA,NA,0.381,0.324,0.294
8,"SV Empor Berlin","VSG Altglienicke II",NA,NA,0.343,0.342,0.315
8,"Frohnauer SC","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.381,0.324,0.294
8,"Berliner SC","VfB Fortuna Biesdorf",NA,NA,0.369,0.33,0.302
8,"Polar Pinguin Berlin","TSV Rudow Berlin",NA,NA,0.369,0.33,0.302
8,"TSV Mariendorf 1897","SV BW Hohen Neuendorf",NA,NA,0.315,0.341,0.343
9,"SSC Südwest 1947","SC Charlottenburg",NA,NA,0.369,0.33,0.302
9,"TSV Rudow Berlin","SFC Stern 1900",NA,NA,0.331,0.347,0.322
9,"erlin Türkspor","Füchse Berlin",NA,NA,0.369,0.33,0.302
9,"VSG Altglienicke II","Berliner SC",NA,NA,0.356,0.336,0.308
9,"VfB Fortuna Biesdorf","Frohnauer SC",NA,NA,0.331,0.347,0.322
9,"Sp.Vg. Blau Weiß 1890 Berlin","1. FC Wilmersdorf",NA,NA,0.421,0.307,0.272
9,"FSV Spandauer Kickers","Polar Pinguin Berlin",NA,NA,0.448,0.296,0.257
9,"SV BW Hohen Neuendorf","SV Empor Berlin",NA,NA,0.474,0.285,0.241
9,"SC Staaken","TSV Mariendorf 1897",NA,NA,0.331,0.347,0.322
10,"SSC Südwest 1947","SC Staaken",NA,NA,0.394,0.318,0.287
10,"1. FC Wilmersdorf","erlin Türkspor",NA,NA,0.322,0.347,0.331
10,"TSV Rudow Berlin","SV BW Hohen Neuendorf",NA,NA,0.295,0.325,0.38
10,"Füchse Berlin","Berliner SC",NA,NA,0.394,0.318,0.287
10,"SC Charlottenburg","Frohnauer SC",NA,NA,0.322,0.347,0.331
10,"SFC Stern 1900","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.343,0.342,0.315
10,"FSV Spandauer Kickers","VSG Altglienicke II",NA,NA,0.421,0.307,0.272
10,"Polar Pinguin Berlin","VfB Fortuna Biesdorf",NA,NA,0.331,0.347,0.322
10,"TSV Mariendorf 1897","SV Empor Berlin",NA,NA,0.408,0.313,0.28
11,"erlin Türkspor","SSC Südwest 1947",NA,NA,0.408,0.313,0.28
11,"Sp.Vg. Blau Weiß 1890 Berlin","SC Charlottenburg",NA,NA,0.408,0.313,0.28
11,"VSG Altglienicke II","Polar Pinguin Berlin",NA,NA,0.394,0.318,0.287
11,"VfB Fortuna Biesdorf","SFC Stern 1900",NA,NA,0.369,0.33,0.302
11,"SV Empor Berlin","1. FC Wilmersdorf",NA,NA,0.356,0.336,0.308
11,"Frohnauer SC","Füchse Berlin",NA,NA,0.381,0.324,0.294
11,"Berliner SC","TSV Mariendorf 1897",NA,NA,0.369,0.33,0.302
11,"SV BW Hohen Neuendorf","FSV Spandauer Kickers",NA,NA,0.394,0.318,0.287
11,"SC Staaken","TSV Rudow Berlin",NA,NA,0.369,0.33,0.302
12,"1. FC Wilmersdorf","Polar Pinguin Berlin",NA,NA,0.381,0.324,0.294
12,"Füchse Berlin","SSC Südwest 1947",NA,NA,0.408,0.313,0.28
12,"SC Charlottenburg","TSV Rudow Berlin",NA,NA,0.394,0.318,0.287
12,"Sp.Vg. Blau Weiß 1890 Berlin","VfB Fortuna Biesdorf",NA,NA,0.394,0.318,0.287
12,"SFC Stern 1900","FSV Spandauer Kickers",NA,NA,0.331,0.347,0.322
12,"SV Empor Berlin","SC Staaken",NA,NA,0.369,0.33,0.302
12,"Frohnauer SC","VSG Altglienicke II",NA,NA,0.421,0.307,0.272
12,"Berliner SC","SV BW Hohen Neuendorf",NA,NA,0.315,0.341,0.343
12,"TSV Mariendorf 1897","erlin Türkspor",NA,NA,0.343,0.342,0.315
13,"1. FC Wilmersdorf","SFC Stern 1900",NA,NA,0.343,0.342,0.315
13,"Füchse Berlin","FSV Spandauer Kickers",NA,NA,0.356,0.336,0.308
13,"SC Charlottenburg","Polar Pinguin Berlin",NA,NA,0.394,0.318,0.287
13,"Sp.Vg. Blau Weiß 1890 Berlin","SV BW Hohen Neuendorf",NA,NA,0.331,0.347,0.322
13,"SV Empor Berlin","SSC Südwest 1947",NA,NA,0.343,0.342,0.315
13,"VfB Fortuna Biesdorf","VSG Altglienicke II",NA,NA,0.381,0.324,0.294
13,"Frohnauer SC","SC Staaken",NA,NA,0.448,0.296,0.257
13,"Berliner SC","erlin Türkspor",NA,NA,0.343,0.342,0.315
13,"TSV Mariendorf 1897","TSV Rudow Berlin",NA,NA,0.408,0.313,0.28
14,"SSC Südwest 1947","Berliner SC",NA,NA,0.356,0.336,0.308
14,"1. FC Wilmersdorf","VSG Altglienicke II",NA,NA,0.356,0.336,0.308
14,"TSV Rudow Berlin","SV Empor Berlin",NA,NA,0.369,0.33,0.302
14,"erlin Türkspor","Frohnauer SC",NA,NA,0.356,0.336,0.308
14,"SFC Stern 1900","SC Charlottenburg",NA,NA,0.381,0.324,0.294
14,"FSV Spandauer Kickers","TSV Mariendorf 1897",NA,NA,0.408,0.313,0.28
14,"SV BW Hohen Neuendorf","VfB Fortuna Biesdorf",NA,NA,0.434,0.301,0.264
14,"Polar Pinguin Berlin","Füchse Berlin",NA,NA,0.315,0.341,0.343
14,"SC Staaken","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.315,0.341,0.343
15,"VfB Fortuna Biesdorf","1. FC Wilmersdorf",NA,NA,0.394,0.318,0.287
15,"SSC Südwest 1947","TSV Mariendorf 1897",NA,NA,0.356,0.336,0.308
15,"VSG Altglienicke II","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.331,0.347,0.322
15,"Polar Pinguin Berlin","SFC Stern 1900",NA,NA,0.331,0.347,0.322
15,"FSV Spandauer Kickers","SC Charlottenburg",NA,NA,0.421,0.307,0.272
15,"TSV Rudow Berlin","Füchse Berlin",NA,NA,0.315,0.341,0.343
15,"erlin Türkspor","SV Empor Berlin",NA,NA,0.434,0.301,0.264
15,"SC Staaken","Berliner SC",NA,NA,0.331,0.347,0.322
15,"SV BW Hohen Neuendorf","Frohnauer SC",NA,NA,0.394,0.318,0.287
16,"Füchse Berlin","SFC Stern 1900",NA,NA,0.394,0.318,0.287
16,"VSG Altglienicke II","SV BW Hohen Neuendorf",NA,NA,0.309,0.336,0.356
16,"Sp.Vg. Blau Weiß 1890 Berlin","erlin Türkspor",NA,NA,0.369,0.33,0.302
16,"SV Empor Berlin","FSV Spandauer Kickers",NA,NA,0.309,0.336,0.356
16,"VfB Fortuna Biesdorf","SC Staaken",NA,NA,0.408,0.313,0.28
16,"SC Charlottenburg","1. FC Wilmersdorf",NA,NA,0.381,0.324,0.294
16,"Frohnauer SC","SSC Südwest 1947",NA,NA,0.421,0.307,0.272
16,"Berliner SC","TSV Rudow Berlin",NA,NA,0.408,0.313,0.28
16,"TSV Mariendorf 1897","Polar Pinguin Berlin",NA,NA,0.408,0.313,0.28
17,"1. FC Wilmersdorf","SSC Südwest 1947",NA,NA,0.356,0.336,0.308
17,"TSV Rudow Berlin","erlin Türkspor",NA,NA,0.315,0.341,0.343
17,"Füchse Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.369,0.33,0.302
17,"SC Charlottenburg","VfB Fortuna Biesdorf",NA,NA,0.356,0.336,0.308
17,"SFC Stern 1900","VSG Altglienicke II",NA,NA,0.381,0.324,0.294
17,"SV Empor Berlin","Berliner SC",NA,NA,0.331,0.347,0.322
17,"FSV Spandauer Kickers","SC Staaken",NA,NA,0.448,0.296,0.257
17,"Polar Pinguin Berlin","SV BW Hohen Neuendorf",NA,NA,0.295,0.325,0.38
17,"TSV Mariendorf 1897","Frohnauer SC",NA,NA,0.331,0.347,0.322
18,"Polar Pinguin Berlin","Sp.Vg. Blau Weiß 1890 Berlin",NA,NA,0.315,0.341,0.343
18,"TSV Rudow Berlin","VSG Altglienicke II",NA,NA,0.343,0.342,0.315
18,"FSV Spandauer Kickers","VfB Fortuna Biesdorf",NA,NA,0.408,0.313,0.28
18,"Füchse Berlin","SV Empor Berlin",NA,NA,0.434,0.301,0.264
18,"SFC Stern 1900","Frohnauer SC",NA,NA,0.331,0.347,0.322
18,"SC Charlottenburg","Berliner SC",NA,NA,0.356,0.336,0.308
18,"SSC Südwest 1947","SV BW Hohen Neuendorf",NA,NA,0.309,0.336,0.356
18,"erlin Türkspor","SC Staaken",NA,NA,0.434,0.301,0.264
