ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,team_goals,scorerpoints_ratio,match_played,playtime_ratio,total_points,matches_played,match_diff,points_per_game,best_player_appearances,best_player_ratio,weighted_score,most_position,second_position,position_percentage,second_position_percentage
1084793,Max-Fabian Wölker,Berliner SC,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1104327,Jonas Wortmann,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1119773,Lion Schumann,Berliner SC,1,0,1,0,0,0,1,0,11,0,NA,3,0.333,1,0.122,3,1,0,1,0,0,0.59,NA,NA,0%,0%
1151008,Nathanel Osaroboh Simon,Berliner SC,1,0,0,0,0,0,0,1,59,0,NA,3,0,1,0.656,3,1,0,1,0,0,0.7,NA,NA,0%,0%
1310952,Kota Murakami,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1405724,Stephan Ngah,Berliner SC,1,0,1,0,0,0,0,1,79,0,NA,3,0.333,1,0.878,3,1,0,1,1,1,0.86,NA,NA,0%,0%
1771229,Luis-Raymond Bossard,Berliner SC,1,0,0,0,0,0,0,0,90,0,NA,3,0,1,1,3,1,0,1,0,0,0.8,NA,NA,0%,0%
1822043,Tom Köster,Berliner SC,1,0,0,0,0,0,0,0,90,0,1,3,0,1,1,3,1,0,1,1,1,0.85,NA,NA,0%,0%
1873241,Bara Abu Hamid,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1890439,Jeff Nnaemeka-Chukwurah,Berliner SC,1,0,0,0,0,0,0,0,90,0,NA,3,0,1,1,3,1,0,1,1,1,0.85,NA,NA,0%,0%
1892007,Ermal Thaci,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1892786,Ali Hammoud,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1892806,Lucky Ugbogbo,Berliner SC,1,0,1,0,0,0,0,1,89,0,20,3,0.333,1,0.989,3,1,0,1,0,0,0.85,NA,NA,0%,0%
1892817,Nikola Markovic,Berliner SC,1,0,0,0,0,0,0,0,90,0,NA,3,0,1,1,3,1,0,1,0,0,0.8,NA,NA,0%,0%
1933230,Fabian Niedenhoff,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2023168,Vincent Spiegel,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2338815,Eric Ekandille,Berliner SC,1,0,0,0,0,0,0,1,59,0,NA,3,0,1,0.656,3,1,0,1,0,0,0.7,NA,NA,0%,0%
2341240,Immanuel Neunteufel,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2378543,Konstantin Joseski,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2378545,Alexander Lorenz,Berliner SC,1,1,0,0,0,0,1,0,31,0,NA,3,0.333,1,0.344,3,1,0,1,0,0,0.65,NA,NA,0%,0%
43431,Nico Pellatz,Berliner SC,0,0,0,0,0,0,0,0,0,0,NA,3,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
681366,Leon Cheung,Berliner SC,1,1,0,0,0,0,0,0,90,0,8,3,0.333,1,1,3,1,0,1,0,0,0.85,NA,NA,0%,0%
740710,Oktay Öztürk,Berliner SC,1,0,0,0,0,0,1,0,31,0,NA,3,0,1,0.344,3,1,0,1,0,0,0.6,NA,NA,0%,0%
821205,Justin Maximilian Neumann,Berliner SC,1,1,0,0,0,0,0,0,90,0,NA,3,0.333,1,1,3,1,0,1,0,0,0.85,NA,NA,0%,0%
902391,Benjamin Trojahn,Berliner SC,1,0,0,0,0,0,0,0,90,0,NA,3,0,1,1,3,1,0,1,0,0,0.8,NA,NA,0%,0%
906586,Hossein Jafari,Berliner SC,1,0,0,0,0,0,1,0,1,0,NA,3,0,1,0.011,3,1,0,1,0,0,0.5,NA,NA,0%,0%
