#,team,S,G,U,N,Tore,Dif,Pkt
1,Frohnauer SC,2,2,0,0,10:2,8,3
2,FSV Spandauer Kickers,3,3,0,0,6:2,4,3
3,SV BW Hohen Neuendorf,3,2,1,0,9:5,4,2.3
4,1. FC Wilmersdorf,2,1,1,0,3:2,1,2
5,Füchse Berlin,3,2,0,1,6:5,1,2
6,TSV Mariendorf 1897,3,1,2,0,7:5,2,1.7
7,Sp.Vg. Blau Weiß 1890 Berlin,3,1,1,1,7:5,2,1.3
8,Berliner SC,3,1,0,2,4:4,0,1
9,Berlin Türkspor,3,1,0,2,6:7,-1,1
10,SC Charlottenburg,3,1,0,2,4:6,-2,1
11,SFC Stern 1900,2,0,1,1,3:5,-2,0.5
12,SSC Südwest 1947,1,0,0,1,1:3,-2,0
13,Polar Pinguin Berlin,1,0,0,1,0:3,-3,0
14,VfB Fortuna Biesdorf,1,0,0,1,1:4,-3,0
15,SV Empor Berlin,3,0,0,3,4:13,-9,0
