ID,Name,Team,Nummer
1012823,Danilo Arsic,Berliner SC II,11
1084756,Leon Ibrom,Berliner SC II,4
1084792,Rene Lohmeier,Berliner SC II,
114904,Bene Brecht,Berliner SC II,16
1185789,Jakob Oevermann,Berliner SC II,15
1338125,Nikolaos Kaggelidids,Berliner SC II,3
1362203,Stefan Glaser,Berliner SC II,9
1447154,Bryan Lilja,Berliner SC II,18
1556419,Jesse Kreuschner,Berliner SC II,31
1585477,Ben Fidanboy,Berliner SC II,28
1611107,Erhan Kücükosman,Berliner SC II,10
1756662,Paul Schlicht,Berliner SC II,1
1844094,Zahm Rad,Berliner SC II,
1928266,Felix Klebe,Berliner SC II,26
2023168,Vincent Spiegel,Berliner SC II,15
2058677,Moritz Brune,Berliner SC II,17
2071635,Yigit Öncü,Berliner SC II,24
2133061,Simon Riedel,Berliner SC II,14
2267120,Ezher Akbulut,Berliner SC II,23
2338815,Eric Ekandille,Berliner SC II,28
2339579,Eike Barth,Berliner SC II,25
2378543,Konstantin Joseski,Berliner SC II,
2378545,Alexander Lorenz,Berliner SC II,11
2378546,Nino Zamorano,Berliner SC II,22
302249,Nicolas Wolski,Berliner SC II,8
555710,Kevin Uwe Einspannier,Berliner SC II,6
555713,Nelson Antoniofrancisco,Berliner SC II,7
555745,Max Vincent Bolz,Berliner SC II,20
589795,Noah Peter,Berliner SC II,12
589922,Alexander Huse,Berliner SC II,13
627402,Jakob Heilmann,Berliner SC II,2
849598,Tim Niedenhoff,Berliner SC II,19
849622,Dominique Leitner,Berliner SC II,5
872446,Oguz Rencber,Berliner SC II,
1102215,Amin Malik Chahed,FC Internationale Berlin 1980,77
1119437,Jasper Büll,FC Internationale Berlin 1980,
1186665,Thomaz Klingl,FC Internationale Berlin 1980,10
1326499,Stefan Nicola,FC Internationale Berlin 1980,
1370831,Moreno Schneider,FC Internationale Berlin 1980,19
1713621,Marcos Adrian Castro Barbera,FC Internationale Berlin 1980,12
1754454,Jim Bratschke,FC Internationale Berlin 1980,77
1878754,Giovanni Marigo,FC Internationale Berlin 1980,2
1987343,Matteo Topal,FC Internationale Berlin 1980,31
2071667,Nicolas Costa Echeverria,FC Internationale Berlin 1980,4
2099301,Juan José Swett Barros,FC Internationale Berlin 1980,23
2115448,Dominic Kranz,FC Internationale Berlin 1980,7
2189087,Cristobal Del Fierro,FC Internationale Berlin 1980,1
2189090,Ryan Max Robert French,FC Internationale Berlin 1980,14
2204177,Maximilian De Rosnay,FC Internationale Berlin 1980,17
2221430,Roger Gonzalez I Hermosa,FC Internationale Berlin 1980,40
2279859,Nicholas Cartwright Stanley,FC Internationale Berlin 1980,18
2294556,Oscar Reinaldo Avendano Leon,FC Internationale Berlin 1980,30
2294557,Sebastian Basaure Larrain,FC Internationale Berlin 1980,
2341687,Jamie Dell Bullock,FC Internationale Berlin 1980,3
2341689,Joel Broughton Weeks,FC Internationale Berlin 1980,
2356828,Zachariah Mohamed Dukuly,FC Internationale Berlin 1980,21
2369259,Marlon Mayen Guzman,FC Internationale Berlin 1980,16
610525,Antonio Boeddinghaus,FC Internationale Berlin 1980,6
824144,Niklas Schindler,FC Internationale Berlin 1980,11
849601,Enrique Freitag,FC Internationale Berlin 1980,8
906538,Albert Bauder,FC Internationale Berlin 1980,9
946160,Milan Daus,FC Internationale Berlin 1980,10
1091094,Luca Wojan,SV Stern Britz 1889,22
1325188,Marcel Frobenius,SV Stern Britz 1889,37
1358063,Tommes Diallo,SV Stern Britz 1889,2
1359284,Dennis Pyplatz,SV Stern Britz 1889,24
1624952,Stephane Franklin Yoko,SV Stern Britz 1889,12
1764241,Benis Leci,SV Stern Britz 1889,30
1764242,Leonit Leci,SV Stern Britz 1889,17
1836112,Miran Aykus,SV Stern Britz 1889,5
1873208,Shaker Shawrdi,SV Stern Britz 1889,20
1935153,Joshua Ridzewski,SV Stern Britz 1889,
2075030,Cliff Boanu,SV Stern Britz 1889,29
2110511,Jonas Lück,SV Stern Britz 1889,18
2328786,Timo Brei,SV Stern Britz 1889,
438761,Andre Schulz,SV Stern Britz 1889,23
494672,Oguzhan Duman,SV Stern Britz 1889,19
554138,Christopher Schneider,SV Stern Britz 1889,
557280,Fabio Zielske,SV Stern Britz 1889,
564117,Dustin Sik,SV Stern Britz 1889,7
564200,Yusuf Yildirim,SV Stern Britz 1889,
572496,Bartosz Palubski,SV Stern Britz 1889,21
611139,Marc Anthony Weisse,SV Stern Britz 1889,
636409,Okan Özkaya,SV Stern Britz 1889,3
656966,Naim Senay,SV Stern Britz 1889,26
780838,Timo Höhna,SV Stern Britz 1889,6
821531,Luca Ehrich,SV Stern Britz 1889,27
848940,Patrick Kübler,SV Stern Britz 1889,21
849578,Timo Ziebarth,SV Stern Britz 1889,1
860630,Kamil Ryszard Borowski,SV Stern Britz 1889,
877594,Nico Hauf,SV Stern Britz 1889,13
1021635,Patrick Büch,FC Viktoria 1889 Berlin II,
1109767,Oskar Schlembach,FC Viktoria 1889 Berlin II,21
1135576,Jakob Klautzsch,FC Viktoria 1889 Berlin II,
1151082,Simon Stefanovic,FC Viktoria 1889 Berlin II,7
1338340,David Nagel,FC Viktoria 1889 Berlin II,4
1395099,Marvin Knape,FC Viktoria 1889 Berlin II,20
1442249,Jeremy Herrmann,FC Viktoria 1889 Berlin II,26
1442312,Lukas-Noah Littler,FC Viktoria 1889 Berlin II,2
1442314,Mirko Wach,FC Viktoria 1889 Berlin II,
1485731,Chae-Hyun Jeong,FC Viktoria 1889 Berlin II,11
1556587,Vito Everett Dieckert,FC Viktoria 1889 Berlin II,9
1613808,Lucien Littbarski,FC Viktoria 1889 Berlin II,
1658864,Nico Pohlan,FC Viktoria 1889 Berlin II,
1695576,Nico Starkowski,FC Viktoria 1889 Berlin II,29
