#,team,S,G,U,N,Tore,Dif,Pkt
1,BSV 1892,1,1,0,0,4:0,4,3
2,BSV Hürtürkel,1,1,0,0,4:1,3,3
3,1.FC Schöneberg,1,1,0,0,3:1,2,3
4,DJK Schwarz-Weiß Neukölln,1,1,0,0,4:2,2,3
5,FC Internationale Berlin,1,1,0,0,2:0,2,3
6,Friedenauer TSC,1,1,0,0,2:0,2,3
7,SC Borsigwalde,1,1,0,0,3:1,2,3
8,SF Johannisthal,1,1,0,0,4:2,2,3
9,SC Berliner Amateure,1,0,0,1,1:3,-2,0
10,BFC Preussen II,1,0,0,1,1:4,-3,0
11,Berolina Mitte,1,0,0,1,1:4,-3,0
12,Pfeffersport,1,0,0,1,1:4,-3,0
13,SF Charlottenburg-Wilmersdorf 03,1,0,0,1,0:3,-3,0
14,SV Empor Berlin II,1,0,0,1,2:6,-4,0
15,Berlin Hilalspor,1,0,0,1,2:7,-5,0
16,Berliner SC II,1,0,0,1,0:8,-8,0
