Rank,Team,Nr,Name,Pos,Spielzeit,Score
1,Berliner SC II,6,Kevin Uwe Einspannier,ZM,90,0.92
2,Friedenauer TSC,NA,Dominik Plohmann,NA,90,0.9
3,Pfeffersport,NA,Paul Oskar Schirp,ZM,90,0.9
4,Berliner SC II,19,Tim Niedenhoff,ZM,90,0.88
5,Berliner SC II,21,Jesse Kreuschner,TW,90,0.85
6,Friedenauer TSC,NA,Louis Anthony Guske,NA,90,0.85
7,Pfeffersport,NA,Philipp Pilz,IV,90,0.85
8,Pfeffersport,NA,Heinrich Sander,IV,90,0.85
9,Berliner SC II,NA,Konstantin Joseski,RV,89,0.83
10,Friedenauer TSC,NA,Ihab Al-Khalaf,NA,55,0.83
11,Pfeffersport,NA,Jonathan Grunert,ST,84,0.83
12,Berliner SC II,4,Leon Ibrom,IV,90,0.8
13,Berliner SC II,18,Bryan Lilja,RM,89,0.8
14,Berliner SC II,2,Jakob Heilmann,LV,90,0.8
15,Berliner SC II,5,Dominique Leitner,IV,90,0.8
16,Friedenauer TSC,NA,Niklas Rother,NA,90,0.8
17,Friedenauer TSC,NA,Paul Kleinfeldt,NA,90,0.8
18,Friedenauer TSC,NA,Marten Niemeyer,NA,89,0.8
19,Friedenauer TSC,NA,Kenney Kojo Sey,NA,90,0.8
20,Pfeffersport,NA,Julian Marcell,ZM,90,0.8
21,Pfeffersport,NA,Carl Zimmering,RV,89,0.8
22,Pfeffersport,NA,Mohamed Boudlal,LV,90,0.8
23,Pfeffersport,NA,Elias Aguigah,LM,90,0.8
24,Pfeffersport,NA,Zorc Kolfenbach,TW,90,0.8
25,Berliner SC II,10,Erhan Kücükosman,ST,87,0.79
26,Friedenauer TSC,NA,Joshua Fuchs,NA,87,0.79
27,Pfeffersport,NA,William Scarlett,NA,66,0.77
28,Friedenauer TSC,NA,Lionel Vowinckel,NA,78,0.76
29,Pfeffersport,NA,Benedict Klenk,ZM,72,0.74
30,Berliner SC II,20,Jakob Baum,LM,69,0.73
31,Berliner SC II,NA,Alexander Lorenz,ST,69,0.73
32,Friedenauer TSC,NA,Iven Stritzke,NA,66,0.72
33,Friedenauer TSC,NA,Tim Gandert,NA,35,0.67
34,Friedenauer TSC,NA,Tarkan Taskiran,NA,24,0.63
35,Berlin Hilalspor,NA,Mohamad-Ali Chawraba,RM,90,0.62
36,BSV Hürtürkel,NA,Dursun Tunahan Akdag,NA,90,0.6
37,SC Berliner Amateure,NA,Lars Werner,NA,90,0.6
38,BFC Preussen II,NA,Leo Sommerfeld,IV,90,0.6
39,BFC Preussen II,NA,Abdallah Ferchichi,LV,90,0.6
40,BFC Preussen II,NA,Magnus Stahlberg,IV,90,0.6
41,SF Charlottenburg-Wilmersdorf 03,NA,Bakary Diakite,LM,90,0.6
42,Pfeffersport,NA,Jannik Kremer,RM,24,0.58
43,Berliner SC II,15,Nikolaos Kaggelidids,NA,21,0.57
44,Berliner SC II,NA,Alwin Hunger,NA,21,0.57
45,Pfeffersport,NA,Mohammad Barakat,NA,18,0.56
46,Berlin Hilalspor,NA,Mohamed Marouwane,IV,89,0.55
47,Berlin Hilalspor,NA,Volkan Neziroglu,ST,90,0.55
48,Berlin Hilalspor,NA,Davut Kösker,TW,90,0.55
49,Berlin Hilalspor,NA,Bilgehan Hancer,ST,90,0.55
50,BSV Hürtürkel,NA,David Langer,NA,90,0.55
51,BSV Hürtürkel,NA,Leopold Antonius Bussmann,NA,90,0.55
52,BSV Hürtürkel,NA,Emre Kücükodabasi,NA,90,0.55
53,BSV Hürtürkel,NA,Ali Tanis,NA,90,0.55
54,BSV Hürtürkel,NA,Furkan Arslan,NA,90,0.55
55,BSV Hürtürkel,NA,Serkan Türkoglu,NA,90,0.55
56,SC Berliner Amateure,NA,Nerzihoua Moussa Kone,NA,90,0.55
57,SC Berliner Amateure,NA,Nikolai Kemlein,NA,90,0.55
58,SC Berliner Amateure,NA,Jaromil Essers,NA,90,0.55
59,SC Berliner Amateure,NA,Lars Tasche,NA,90,0.55
60,SC Berliner Amateure,NA,Soulemane Imorou,NA,90,0.55
61,SV Empor Berlin II,NA,Jannick Wollmann,NA,90,0.55
62,SV Empor Berlin II,NA,Rafael Mentrup,NA,90,0.55
63,SV Empor Berlin II,NA,Anushan Rajaratnam,NA,90,0.55
64,SV Empor Berlin II,NA,Reyaj Shrestha,NA,90,0.55
65,SV Empor Berlin II,NA,Marian Popp,NA,90,0.55
66,SV Empor Berlin II,NA,Maurice Meyer,NA,90,0.55
67,BFC Preussen II,NA,Jerome Kortebusch,RV,90,0.55
68,BFC Preussen II,NA,Atacan Özcan,ZDM,90,0.55
69,BFC Preussen II,NA,Hugo Timur,LM,90,0.55
70,BFC Preussen II,NA,Dan Feldmann,ST,90,0.55
71,SF Charlottenburg-Wilmersdorf 03,NA,Erik Kosky,RV,90,0.55
72,SF Charlottenburg-Wilmersdorf 03,NA,Nicholas Jean-Louis,LV,90,0.55
73,SF Charlottenburg-Wilmersdorf 03,NA,Maximilian Kocher,ZM,90,0.55
74,SF Charlottenburg-Wilmersdorf 03,NA,Johannes Gehring,ZM,90,0.55
75,SF Charlottenburg-Wilmersdorf 03,NA,Niklas Höhne,TW,90,0.55
76,SF Charlottenburg-Wilmersdorf 03,NA,Janek Wendt,IV,90,0.55
77,SF Charlottenburg-Wilmersdorf 03,NA,Lucas Dziadek,IV,90,0.55
78,Friedenauer TSC,NA,Dominik Vukoja,NA,12,0.54
79,SC Berliner Amateure,NA,Lucian Ewald,NA,85,0.53
80,SF Charlottenburg-Wilmersdorf 03,NA,Oskar Dornheim,ZM,84,0.53
81,Berlin Hilalspor,NA,Armin Asotic,RV,82,0.52
82,Pfeffersport,NA,Oskar Schmiedel,NA,6,0.52
83,SV Empor Berlin II,NA,Leon Drannaschk,NA,80,0.52
84,Berliner SC II,NA,Alessandro Tamburo,NA,3,0.51
85,SC Berliner Amateure,NA,Julian Fleige,NA,78,0.51
86,Friedenauer TSC,NA,Kevin Woithe,NA,3,0.51
87,SF Charlottenburg-Wilmersdorf 03,NA,Koffi Ange Mickael Hermann Yao,RM,77,0.51
88,Berlin Hilalspor,NA,Willy Akanakimana,ZM,61,0.5
89,BSV Hürtürkel,NA,Harun Efe Kurnaz,NA,75,0.5
90,Pfeffersport,NA,Marius Schreiber,NA,1,0.5
91,SV Empor Berlin II,NA,Philipp Macketanz,NA,76,0.5
92,BFC Preussen II,NA,Rommel Abou-Chaker,NA,28,0.49
93,Berlin Hilalspor,NA,Taha Aslan,ZM,70,0.48
94,SV Empor Berlin II,NA,Nico Bochnia,NA,45,0.48
95,BFC Preussen II,NA,Julian Loder,NA,65,0.47
96,BFC Preussen II,NA,Tim Henseler,ZDM,62,0.46
97,BSV Hürtürkel,NA,Ilker Samed Yigit,NA,60,0.45
98,SC Berliner Amateure,NA,Tom Kozak,NA,61,0.45
99,SC Berliner Amateure,NA,Carlos Frei,NA,61,0.45
100,SV Empor Berlin II,NA,Julian Duczmal,NA,59,0.45
101,Berlin Hilalspor,NA,Ramdane Wahabou,LM,54,0.43
102,SV Empor Berlin II,NA,Pascal Bräkow,NA,45,0.4
103,SV Empor Berlin II,NA,Emile Ako,NA,45,0.4
104,SF Charlottenburg-Wilmersdorf 03,NA,Robin Gorr,NA,45,0.4
105,SF Charlottenburg-Wilmersdorf 03,NA,Nuno Tyrese Nuamah Dos Santos,NA,45,0.4
106,BSV Hürtürkel,NA,Umut Yüksek,NA,90,0.38
107,Berlin Hilalspor,NA,Onur Eren,NA,36,0.37
108,Berlin Hilalspor,NA,Hasan Köse,NA,29,0.35
109,BSV Hürtürkel,NA,Kubilay Yilmaz,NA,30,0.35
110,SC Berliner Amateure,NA,Ismaila Njie,NA,29,0.35
111,SV Empor Berlin II,NA,Laurens Cerny,NA,31,0.35
112,BFC Preussen II,NA,Ahmad El-Mustapha,RM,25,0.33
113,FC Internationale Berlin 1980,NA,Jascha Robin Wörteler,IV,90,0.3
114,FC Internationale Berlin 1980,NA,Nicolas Costa Echeverria,IV,90,0.3
115,FC Internationale Berlin 1980,NA,Nicholas Cartwright Stanley,ST,90,0.3
116,FC Internationale Berlin 1980,NA,Alexander Schulze,TW,90,0.3
117,FC Internationale Berlin 1980,NA,Luis Driemel,IV,90,0.3
118,FC Internationale Berlin 1980,NA,Milan Daus,NA,90,0.3
119,Sportfreunde Johannisthal,NA,Nikolas Müller,ZM,90,0.3
120,Sportfreunde Johannisthal,NA,Max Mittelstädt,ZM,90,0.3
121,Sportfreunde Johannisthal,NA,Yoshua Lüdtke,LM,90,0.3
122,Sportfreunde Johannisthal,NA,Toni Ölke,TW,90,0.3
123,Sportfreunde Johannisthal,NA,Jakob Dörre,LV,90,0.3
124,Sportfreunde Johannisthal,NA,Marvin Pawel,ZM,90,0.3
125,Sportfreunde Johannisthal,NA,Yannik Pilz,IV,90,0.3
126,Sportfreunde Johannisthal,NA,Lars Walden,IV,90,0.3
127,Sportfreunde Johannisthal,NA,Lukas Olff,RV,90,0.3
128,Berlin Hilalspor,NA,Sadri Can Ekmekci,NA,90,0.3
129,Berlin Hilalspor,NA,Görkem Yilmaz,NA,90,0.3
130,BSV Hürtürkel,NA,Onur Yüksek,NA,90,0.3
131,BSV Hürtürkel,NA,Ismail Ülke,NA,15,0.3
132,1. FC Schöneberg 1913,NA,Radovan-Damjan Stojanovic,NA,90,0.3
133,1. FC Schöneberg 1913,NA,Zafer Kaan Göksar,NA,90,0.3
134,1. FC Schöneberg 1913,NA,Yildiray Demir,NA,90,0.3
135,1. FC Schöneberg 1913,NA,Dogukan Degirmenci,NA,90,0.3
136,1. FC Schöneberg 1913,NA,Kani Özdil,NA,90,0.3
137,1. FC Schöneberg 1913,NA,Burak Cabuk,NA,90,0.3
138,1. FC Schöneberg 1913,NA,Sean Franz,NA,90,0.3
139,1. FC Schöneberg 1913,NA,Enes Uzun,NA,90,0.3
140,Berliner SV 1892,NA,Niklas Jost,IV,90,0.3
141,Berliner SV 1892,NA,Paul Busche,ST,90,0.3
142,Berliner SV 1892,NA,Yunus Malik,LV,90,0.3
143,Berliner SV 1892,NA,Hendrik Lüttschwager,TW,90,0.3
144,Berliner SV 1892,NA,Nick Bechler,IV,90,0.3
145,Berliner SV 1892,NA,Karl Anker,RV,90,0.3
146,Berliner SV 1892,NA,Lennard Schleifenbaum,ZM,90,0.3
147,Berliner SV 1892,NA,David Bellin,ST,90,0.3
148,SV BW Berolina Mitte 49,NA,Floris Lucas Georgi,IV,90,0.3
149,SV BW Berolina Mitte 49,NA,Yann Metzmacher,ZDM,90,0.3
150,SV BW Berolina Mitte 49,NA,Valentin Wiegand,ZDM,90,0.3
151,SV BW Berolina Mitte 49,NA,Daiwy Chioccarelli,LM,90,0.3
152,SV BW Berolina Mitte 49,NA,Steven Buchweitz,ZOM,90,0.3
153,SV BW Berolina Mitte 49,NA,Andreas Gefnider,LV,90,0.3
154,SV BW Berolina Mitte 49,NA,Henning Stötefalke,NA,90,0.3
155,SV BW Berolina Mitte 49,NA,Marc Oliver Schlarmann,RV,90,0.3
156,SV Empor Berlin II,NA,Mavin Wandel,NA,14,0.3
157,SC Borsigwalde 1910,NA,Khaled El-Okkla,IV,90,0.3
158,SC Borsigwalde 1910,NA,Prince Selemani Angali,RV,90,0.3
159,SC Borsigwalde 1910,NA,Nick Thalke,RM,90,0.3
160,SC Borsigwalde 1910,NA,Sadjad Rassuli,ZOM,90,0.3
161,SC Borsigwalde 1910,NA,Nikola Siljanoski,TW,90,0.3
162,SC Borsigwalde 1910,NA,Kevin Kummer,ZDM,90,0.3
163,SC Borsigwalde 1910,NA,Mohammed Mustafa Acar,IV,90,0.3
164,BFC Preussen II,NA,Adam Lamkaddam,NA,90,0.3
165,BFC Preussen II,NA,Can Kelesoglu,NA,90,0.3
166,DJK Schwarz-Weiß Neukölln,NA,Julian Kirsch,ZDM,90,0.3
167,DJK Schwarz-Weiß Neukölln,NA,Dorian Kühn,LV,90,0.3
168,DJK Schwarz-Weiß Neukölln,NA,Bekar Hoeri,NA,90,0.3
169,DJK Schwarz-Weiß Neukölln,NA,Tobias Schmidt,RM,90,0.3
170,DJK Schwarz-Weiß Neukölln,NA,Patrick Boel,TW,90,0.3
171,DJK Schwarz-Weiß Neukölln,NA,Christoph Ruden,ZDM,90,0.3
172,SC Berliner Amateure,NA,Joscha Schulte-Holtey,NA,12,0.29
173,SC Berliner Amateure,NA,Moritz Willkomm,NA,11,0.29
174,SC Borsigwalde 1910,NA,Mostafa Kassem,LV,88,0.29
175,SC Borsigwalde 1910,NA,Marcel Bubner,ST,88,0.29
176,Berlin Hilalspor,NA,Kassem El-Ahmad,NA,8,0.28
177,SV Empor Berlin II,NA,Malte Bohn,NA,10,0.28
178,1. FC Schöneberg 1913,NA,Emin Musa Cetintas,NA,80,0.27
179,SC Berliner Amateure,NA,Abdallah Soliman,NA,5,0.27
180,SV BW Berolina Mitte 49,NA,Felix Opoku,ST,80,0.27
181,SV BW Berolina Mitte 49,NA,Julius Meier,TW,80,0.27
182,SF Charlottenburg-Wilmersdorf 03,NA,Mohammad Sabra,NA,6,0.27
183,FC Internationale Berlin 1980,NA,Giovanni Marigo,LM,79,0.26
184,FC Internationale Berlin 1980,NA,Gaston Ignacio Nieto,ST,79,0.26
185,SC Berliner Amateure,NA,Paul Linus van Bürck,NA,79,0.26
186,SC Borsigwalde 1910,NA,David Mpembele Nzongo,NA,79,0.26
187,1. FC Schöneberg 1913,NA,Salih Uzun,NA,76,0.25
188,Berliner SV 1892,NA,Julius Zauner,RM,76,0.25
189,Berliner SV 1892,NA,Tim Paschke,LM,76,0.25
190,SC Berliner Amateure,NA,Asbjørn Kistrup Barfod,NA,29,0.25
191,DJK Schwarz-Weiß Neukölln,NA,Norman Guski,ST,74,0.25
192,DJK Schwarz-Weiß Neukölln,NA,Vittorio Achour,LM,72,0.24
193,Berliner SV 1892,NA,El-Amin Elsaadawi,NA,69,0.23
194,FC Internationale Berlin 1980,NA,Santiago Henrich Paya,RM,67,0.22
195,FC Internationale Berlin 1980,NA,Enrique Freitag,ZM,67,0.22
196,Sportfreunde Johannisthal,NA,Eric Warncke,RM,66,0.22
197,SV Empor Berlin II,NA,Billy Bradley Tuckerman,NA,45,0.22
198,SV BW Berolina Mitte 49,NA,Jhon Fernando Garces Daza,NA,64,0.21
199,Sportfreunde Johannisthal,NA,Tom Franke,ST,57,0.19
200,DJK Schwarz-Weiß Neukölln,NA,Guillermo Ernesto Padilla Cross,NA,57,0.19
201,DJK Schwarz-Weiß Neukölln,NA,Josip Ramljak,IV,57,0.19
202,FC Internationale Berlin 1980,NA,Akiyasu Tsuchiya,ZM,55,0.18
203,1. FC Schöneberg 1913,NA,Samer Abou Khalil,NA,44,0.15
204,1. FC Schöneberg 1913,NA,Morrez Nhacuonga,NA,46,0.15
205,SC Borsigwalde 1910,NA,Daniel Mpembele Nzongo,NA,45,0.15
206,SC Borsigwalde 1910,NA,Marcel Knaack,ZOM,45,0.15
207,DJK Schwarz-Weiß Neukölln,NA,Barkan Köprülügil,NA,45,0.15
208,DJK Schwarz-Weiß Neukölln,NA,Justin Jakob,RV,45,0.15
