Team,Formation,Anzahl,Total_Spiele,Wahrscheinlichkeit,dreier_kette,vierer_kette,Starting11_Team,Starting11_Position,Starting11_Nummer,Starting11_Name,Starting11_Weighted_Score
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,ZDM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.847
BFC Meteor 06,4-1-3-2,1,29,3%,Nein,Ja,BFC Meteor 06,ZOM,17,Oktay Ugur,0.844
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.958
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-2-2-2,6,29,21%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.847
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,ZDM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,ZOM,17,Oktay Ugur,0.844
BFC Meteor 06,4-2-3-1,15,29,52%,Nein,Ja,BFC Meteor 06,ZDM,27,Jannik Jantzen,0.826
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.958
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-3-3,2,29,7%,Nein,Ja,BFC Meteor 06,ZM,17,Oktay Ugur,0.844
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.958
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-4-2,2,29,7%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.847
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.03
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.99
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.977
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.975
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.958
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.934
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.908
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.902
BFC Meteor 06,4-5-1,1,29,3%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.855
