#,team,Spiele,E5,E4,E3,E2,E1,Tore,Dif,Pkt
1,FC Internationale Berlin,4,NA,S,S,S,S,19:3,16,2.80
2,SF Johannisthal,4,NA,S,S,S,S,19:3,16,2.80
3,Berliner SC II,4,NA,S,N,S,S,7:9,-2,2.20
4,1.FC Schöneberg,4,NA,S,S,N,S,14:8,6,2.00
5,Friedenauer TSC,4,NA,S,S,N,S,10:8,2,2.00
6,Berlin Hilalspor,4,NA,N,S,N,S,9:12,-3,1.60
7,BSV 1892,4,NA,N,S,S,N,12:9,3,1.40
8,Pfeffersport,4,NA,S,N,N,S,7:9,-2,1.40
9,SC Berliner Amateure,4,NA,N,N,U,S,5:8,-3,1.27
10,SC Borsigwalde,4,NA,S,N,S,N,7:6,1,1.20
11,BFC Preussen II,4,NA,N,N,S,N,5:11,-6,0.80
12,Berolina Mitte,4,NA,N,N,S,N,7:13,-6,0.80
13,BSV Hürtürkel,4,NA,N,S,N,N,7:11,-4,0.60
14,SV Empor Berlin II,4,NA,N,S,N,N,6:11,-5,0.60
15,DJK Schwarz-Weiß Neukölln,4,NA,S,N,N,N,4:10,-6,0.40
16,SF Charlottenburg-Wilmersdorf 03,4,NA,N,N,U,N,3:10,-7,0.27
