#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,30,22,6,2,71:19,52,72
2,BFC Meteor 06,29,20,4,5,91:40,51,64
3,Berliner SV 1892,28,18,1,9,72:39,33,55
4,FC Viktoria 1889 Berlin II,29,16,4,9,79:64,15,52
5,BFC Preussen II,29,16,3,10,70:56,14,51
6,FC Internationale Berlin 1980,29,13,5,11,70:43,27,44
7,Köpenicker FC,28,12,5,11,76:52,24,41
8,BSV Eintracht Mahlsdorf II,28,12,3,13,56:61,-5,39
9,SC Borsigwalde 1910,29,9,10,10,53:68,-15,37
10,Berliner SC II,28,10,5,13,41:42,-1,35
11,FSV Berolina Stralau 1901,28,10,5,13,46:60,-14,35
12,Türkiyemspor Berlin,29,9,4,16,44:54,-10,31
13,BSV Al-Dersimspor,29,8,6,15,43:72,-29,30
14,SV Empor Berlin II,28,7,8,13,51:64,-13,29
15,VfB Concordia Britz 1916,28,7,2,19,40:80,-40,23
16,SV Stern Britz 1889,29,4,1,24,29:118,-89,13
