Rank,Team,Name,Nr,Pos,Spiele,Tore
1,BFC Meteor 06,Simon Böhm,11,ST,24,26
2,TSV Rudow Berlin,Matteo Günther,9,ST,28,22
3,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,23,17
4,BSV Al-Dersimspor,Merdan Baba,10,ST,18,16
5,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,26,16
6,Köpenicker FC,Felix Hartmann,15,TW,25,15
7,Köpenicker FC,Dennis Bohnsack,9,ST,24,15
8,Köpenicker FC,Roman Ilinseer,18,ST,20,13
9,Berliner SV 1892,Julius Zauner,11,ST,26,12
10,BFC Meteor 06,Serkan Karasu,3,IV,28,11
11,TSV Rudow Berlin,Talha Sennur,24,ST,23,11
12,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,21,11
13,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,10
14,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,21,9
15,Berliner SV 1892,David Bellin,28,ST,25,9
16,Berliner SV 1892,Paul Busche,7,LM,26,9
17,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,23,9
18,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,22,9
19,Türkiyemspor Berlin,Omid Saberdest,5,ZOM,25,8
20,Berliner SV 1892,Lennard Schleifenbaum,21,ZM,27,8
21,BFC Meteor 06,Tim Riese,4,IV,23,8
22,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,8
23,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,15,8
24,FC Viktoria 1889 Berlin II,Joan Schäfers Llauger,8,LM,19,8
25,BFC Preussen II,Lucky Ugbogbo,NA,RM,14,8
26,Berliner SC II,Alexander Lorenz,11,ST,12,8
27,Türkiyemspor Berlin,Enes Uzun,25,RM,23,7
28,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,23,7
29,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,13,7
30,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,19,7
31,BFC Preussen II,Hugo Timur,7,ST,16,6
32,SC Borsigwalde 1910,Marcel Knaack,NA,ST,11,6
33,TSV Rudow Berlin,Patrick Maykowski,20,RM,28,6
34,Berliner SC II,Kevin Uwe Einspannier,6,ZM,23,6
35,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,19,6
36,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,16,6
37,BFC Meteor 06,Ayham Heimur,92,LM,23,6
38,FC Internationale Berlin 1980,Moreno Schneider,19,RM,18,6
39,TSV Rudow Berlin,Elias Burda,13,IV,26,6
40,Köpenicker FC,Nicolas Tauschwitz,10,LM,20,6
41,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,24,6
42,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,27,6
43,BFC Meteor 06,Jean Paul Ajala-Alexis,NA,ST,9,6
44,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,23,6
45,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,26,6
46,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,21,6
47,Köpenicker FC,Alexander Foth,11,RM,13,5
48,BFC Preussen II,Magnus Stahlberg,16,IV,19,5
49,Berliner SV 1892,Nikita Charkov,20,IV,21,5
50,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,12,5
51,SC Borsigwalde 1910,Magnus Crone,14,RM,22,5
52,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,21,5
53,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,14,5
54,SV Empor Berlin II,Demba Mendy,9,ST,18,5
55,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,20,5
56,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,23,5
57,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RM,15,5
58,SV Empor Berlin II,Suraj Faizi,NA,ZOM,10,5
59,BFC Preussen II,Lasse Engelsing,12,LV,19,5
60,SV Empor Berlin II,Nico Bochnia,23,ST,15,5
61,FC Internationale Berlin 1980,Dominic Kranz,7,LM,19,5
62,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,21,5
63,FC Internationale Berlin 1980,Ryan Max Robert French,14,RM,21,5
64,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,20,5
65,VfB Concordia Britz 1916,Piet Kühn,21,TW,25,5
66,Köpenicker FC,Felix Wittenburg,24,ZM,18,5
67,BFC Preussen II,Levent Mucuk,55,IV,21,4
68,TSV Rudow Berlin,Melih Hortum,10,ZOM,19,4
69,SC Borsigwalde 1910,Marcel Bubner,19,LM,22,4
70,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,4
71,Berliner SV 1892,El-Amin Elsaadawi,17,ST,20,4
72,BSV Al-Dersimspor,Sam Diokhane,4,IV,22,4
73,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,4
74,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,4
75,FC Internationale Berlin 1980,Milan Daus,10,ST,23,4
76,Berliner SV 1892,Tim Paschke,13,ST,15,4
77,Berliner SC II,Leon Ibrom,4,IV,24,4
78,Berliner SC II,Nikolaos Kaggelidids,3,LV,20,4
79,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,4
80,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,13,4
81,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,20,4
82,BFC Preussen II,Gani Gashi,33,ZDM,6,4
83,SV Empor Berlin II,Leon Drannaschk,10,LM,18,4
84,BFC Meteor 06,Eriseld Tafilaj,69,NA,19,4
85,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,8,4
86,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,9,4
87,TSV Rudow Berlin,Ahmad Haj Youssef,19,RM,27,4
88,FSV Berolina Stralau 1901,Robert Adler,3,ST,11,3
89,TSV Rudow Berlin,Lucas Robbin Bähr,NA,IV,10,3
90,BFC Meteor 06,Tugay Adigüzel,61,LV,22,3
91,Berliner SV 1892,Nick Bechler,27,IV,22,3
92,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,3
93,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,20,3
94,BFC Preussen II,Lukas Kohlmann,20,IV,21,3
95,BSV Al-Dersimspor,Milos Savkovic,8,LM,25,3
96,BFC Preussen II,Rommel Abou-Chaker,13,ST,12,3
97,Berliner SV 1892,Robin Wolff,25,ST,8,3
98,SV Stern Britz 1889,Dustin Sik,7,RM,13,3
99,VfB Concordia Britz 1916,Jerry Gase,7,ST,22,3
100,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,12,3
101,SC Borsigwalde 1910,Kevin Kummer,29,IV,22,3
102,FC Internationale Berlin 1980,Niklas Schindler,11,IV,24,3
103,BFC Meteor 06,Oktay Ugur,17,ZOM,23,3
104,Berliner SC II,Dominique Leitner,5,IV,26,3
105,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,29,3
106,Berliner SV 1892,Stefano Tedesco,22,IV,23,3
107,Berliner SC II,Danilo Arsic,11,ST,7,3
108,SV Empor Berlin II,David Schäfer,NA,LV,3,3
109,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,3
110,FSV Berolina Stralau 1901,Eric Stier,5,ST,20,3
111,SV Empor Berlin II,Jonathan Stolp,7,RM,10,3
112,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,3
113,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,3
114,BFC Meteor 06,Mohammed Hamiss,99,LM,13,3
115,SV Stern Britz 1889,Shaker Shawrdi,20,LM,20,3
116,BFC Preussen II,Atacan Özcan,22,RV,18,3
117,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,3
118,SV Stern Britz 1889,Cliff Boanu,29,LM,24,3
119,SV Empor Berlin II,Luis Ploschenz,NA,RM,6,3
120,FSV Berolina Stralau 1901,Adrian Welch,7,ST,7,3
121,Köpenicker FC,Tobias Brandt,7,RM,19,3
122,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,18,3
123,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,2
124,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,23,2
125,BFC Meteor 06,Soner Demiryürek,21,ZM,6,2
126,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,7,2
127,BFC Preussen II,Marcel Berner,15,RV,17,2
128,FSV Berolina Stralau 1901,Tom Jonach,16,IV,16,2
129,BFC Preussen II,Dan Feldmann,NA,ST,10,2
130,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,20,2
131,SV Empor Berlin II,Daniel Schneidawind,13,IV,3,2
132,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,15,2
133,SV Empor Berlin II,Dennis Seiler,11,IV,14,2
134,SV Stern Britz 1889,Luca Ehrich,27,ZDM,21,2
135,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,2
136,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,10,2
137,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,26,2
138,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,13,2
139,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,2
140,VfB Concordia Britz 1916,Jordy Gase,25,ST,23,2
