#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,15,14,0,1,40:5,35,42
2,BFC Meteor 06,15,12,2,1,55:18,37,38
3,FC Viktoria 1889 Berlin II,14,10,1,3,48:28,20,31
4,BFC Preussen II,15,10,1,4,43:32,11,31
5,Berliner SV 1892,14,10,0,4,34:14,20,30
6,FC Internationale Berlin 1980,14,8,2,4,46:20,26,26
7,FSV Berolina Stralau 1901,14,7,2,5,26:25,1,23
8,BSV Eintracht Mahlsdorf II,14,7,2,5,28:29,-1,23
9,Berliner SC II,14,6,3,5,22:17,5,21
10,Köpenicker FC,14,5,4,5,38:24,14,19
11,Türkiyemspor Berlin,14,5,4,5,24:20,4,19
12,BSV Al-Dersimspor,14,5,4,5,25:25,0,19
13,SC Borsigwalde 1910,14,4,6,4,30:27,3,18
14,VfB Concordia Britz 1916,15,5,1,9,25:33,-8,16
15,SV Empor Berlin II,14,4,4,6,25:36,-11,16
16,SV Stern Britz 1889,15,4,0,11,18:52,-34,12
