#,team,S,G,U,N,Tore,Dif,Pkt
1,BFC Preussen II,21,13,3,5,54:38,16,2
2,FC Viktoria 1889 Berlin II,20,12,2,6,61:44,17,1.9
3,BFC Meteor 06,8,5,0,3,24:15,9,1.9
4,Köpenicker FC,7,4,1,2,20:15,5,1.9
5,FC Internationale Berlin 1980,19,10,3,6,58:29,29,1.7
6,TSV Rudow Berlin,8,3,4,1,14:8,6,1.6
7,Berliner SV 1892,10,5,1,4,19:18,1,1.6
8,SC Borsigwalde 1910,22,6,9,7,44:47,-3,1.2
9,Berliner SC II,17,6,2,9,20:28,-8,1.2
10,VfB Concordia Britz 1916,5,2,0,3,9:17,-8,1.2
11,BSV Al-Dersimspor,22,7,5,10,33:43,-10,1.2
12,SV Empor Berlin II,22,6,8,8,43:53,-10,1.2
13,FSV Berolina Stralau 1901,17,5,4,8,29:38,-9,1.1
14,Türkiyemspor Berlin,9,3,0,6,15:20,-5,1
15,BSV Eintracht Mahlsdorf II,15,4,3,8,29:43,-14,1
16,SV Stern Britz 1889,7,0,1,6,6:25,-19,0.1
