#,team,S,G,U,N,Tore,Dif,Pkt
1,SF Johannisthal,1,1,0,0,8:0,8,3
2,FC Internationale Berlin,1,1,0,0,7:2,5,3
3,1.FC Schöneberg,1,1,0,0,6:2,4,3
4,BSV 1892,1,1,0,0,4:0,4,3
5,Friedenauer TSC,2,2,0,0,5:1,4,3
6,Pfeffersport,2,1,0,1,4:4,0,1.5
7,SC Borsigwalde,2,1,0,1,3:3,0,1.5
8,SV Empor Berlin II,2,1,0,1,6:7,-1,1.5
9,Berlin Hilalspor,2,1,0,1,6:8,-2,1.5
10,Berliner SC II,2,1,0,1,4:9,-5,1.5
11,SC Berliner Amateure,1,0,0,1,1:3,-2,0
12,SF Charlottenburg-Wilmersdorf 03,1,0,0,1,0:3,-3,0
13,BFC Preussen II,2,0,0,2,2:7,-5,0
14,Berolina Mitte,2,0,0,2,1:8,-7,0
