Spieltag,Heim,Auswärts,H_tore,A_tore
30,Friedenauer TSC,1.FC Schöneberg,NA,NA
30,Berlin Hilalspor,BFC Preussen II,NA,NA
30,Berolina Mitte,SF Johannisthal,NA,NA
30,DJK Schwarz-Weiß Neukölln,SC Berliner Amateure,NA,NA
30,FC Internationale Berlin,SC Borsigwalde,NA,NA
30,BSV 1892,SV Empor Berlin II,NA,NA
30,Berliner SC II,SF Charlottenburg-Wilmersdorf 03,NA,NA
30,BSV Hürtürkel,Pfeffersport,NA,NA
29,SF Charlottenburg-Wilmersdorf 03,BFC Preussen II,NA,NA
29,Berolina Mitte,FC Internationale Berlin,NA,NA
29,SC Berliner Amateure,Berliner SC II,NA,NA
29,Berlin Hilalspor,DJK Schwarz-Weiß Neukölln,NA,NA
29,SF Johannisthal,BSV 1892,NA,NA
29,SC Borsigwalde,BSV Hürtürkel,NA,NA
29,Pfeffersport,1.FC Schöneberg,NA,NA
29,SV Empor Berlin II,Friedenauer TSC,NA,NA
28,BFC Preussen II,Pfeffersport,NA,NA
28,BSV Hürtürkel,SV Empor Berlin II,NA,NA
28,Friedenauer TSC,SF Charlottenburg-Wilmersdorf 03,NA,NA
28,1.FC Schöneberg,Berlin Hilalspor,NA,NA
28,BSV 1892,SC Berliner Amateure,NA,NA
28,FC Internationale Berlin,SF Johannisthal,NA,NA
28,Berliner SC II,SC Borsigwalde,NA,NA
28,DJK Schwarz-Weiß Neukölln,Berolina Mitte,NA,NA
27,SV Empor Berlin II,FC Internationale Berlin,NA,NA
27,SC Borsigwalde,DJK Schwarz-Weiß Neukölln,NA,NA
27,SF Charlottenburg-Wilmersdorf 03,BSV 1892,NA,NA
27,1.FC Schöneberg,BSV Hürtürkel,NA,NA
27,Pfeffersport,Berliner SC II,NA,NA
27,SF Johannisthal,Berlin Hilalspor,NA,NA
27,BFC Preussen II,Friedenauer TSC,NA,NA
27,SC Berliner Amateure,Berolina Mitte,NA,NA
26,BFC Preussen II,SV Empor Berlin II,NA,NA
26,FC Internationale Berlin,DJK Schwarz-Weiß Neukölln,NA,NA
26,1.FC Schöneberg,SF Charlottenburg-Wilmersdorf 03,NA,NA
26,Pfeffersport,Berlin Hilalspor,NA,NA
26,BSV Hürtürkel,SC Berliner Amateure,NA,NA
26,Berliner SC II,SF Johannisthal,NA,NA
26,Friedenauer TSC,SC Borsigwalde,NA,NA
26,BSV 1892,Berolina Mitte,NA,NA
25,BSV Hürtürkel,BFC Preussen II,NA,NA
25,BSV 1892,Pfeffersport,NA,NA
25,DJK Schwarz-Weiß Neukölln,SV Empor Berlin II,NA,NA
25,Berliner SC II,1.FC Schöneberg,NA,NA
25,FC Internationale Berlin,SF Charlottenburg-Wilmersdorf 03,NA,NA
25,SF Johannisthal,SC Berliner Amateure,NA,NA
25,Berlin Hilalspor,Friedenauer TSC,NA,NA
25,Berolina Mitte,SC Borsigwalde,NA,NA
24,Pfeffersport,FC Internationale Berlin,NA,NA
24,BFC Preussen II,Berliner SC II,NA,NA
