ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,team_goals,scorerpoints_ratio,matches_played_ratio,playtime_ratio,total_points,matches_played,games_played,match_diff,points_per_game,best_player_appearances,best_player_ratio,weighted_score,most_position,second_position,position_percentage,second_position_percentage
1012823,Danilo Arsic,Berliner SC II,1,0,0,0,0,0,1,0,33,0,11,6,0,0.3333333333333333,0.367,0,1,1,0,0,0,0,0.19,NA,NA,0%,0%
1084756,Leon Ibrom,Berliner SC II,1,0,0,0,0,0,0,0,90,0,4,6,0,0.3333333333333333,1,3,1,1,0,1,0,0,0.63,IV,NA,100%,0%
1117044,Eric Herbst,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1117134,Jakob Baum,Berliner SC II,3,0,0,0,0,0,0,3,152,0,20,6,0,1,0.563,6,3,3,0,0.667,0,0,0.59,LM,NA,100%,0%
1338125,Nikolaos Kaggelidids,Berliner SC II,3,1,0,0,0,0,1,1,137,0,15,6,0.167,1,0.507,6,3,3,0,0.667,0,0,0.59,LV,ZM,33%,33%
1355414,Alwin Hunger,Berliner SC II,1,0,0,0,0,0,1,0,21,0,22,6,0,0.3333333333333333,0.233,3,1,1,0,1,0,0,0.4,NA,NA,0%,0%
1362203,Stefan Glaser,Berliner SC II,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1447154,Bryan Lilja,Berliner SC II,2,0,0,0,0,0,0,2,160,0,18,6,0,0.6666666666666666,0.889,3,2,2,0,0.5,0,0,0.56,RM,NA,100%,0%
1556419,Jesse Kreuschner,Berliner SC II,3,0,0,0,0,0,0,0,270,0,21,6,0,1,1,6,3,3,0,0.667,2,0.667,0.75,TW,NA,100%,0%
1585477,Ben Fidanboy,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1611107,Erhan Kücükosman,Berliner SC II,2,0,0,0,0,0,0,1,177,0,10,6,0,0.6666666666666666,0.983,6,2,2,0,1,0,0,0.71,ST,ZM,50%,50%
1756662,Paul Schlicht,Berliner SC II,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1928266,Felix Klebe,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
1933230,Fabian Niedenhoff,Berliner SC II,1,1,0,0,0,0,0,1,71,0,NA,6,0.167,0.3333333333333333,0.789,3,2,2,-1,0.5,0,0,0.47,IV,ZM,100%,100%
1992306,Lennard Schröder,Berliner SC II,2,0,0,0,0,0,2,0,20,0,16,6,0,0.6666666666666666,0.111,0,1,1,1,0,0,0,0.2,NA,NA,0%,0%
1993494,Alessandro Tamburo,Berliner SC II,3,0,0,0,0,0,2,0,98,0,33,6,0,1,0.363,6,3,3,0,0.667,0,0,0.53,ST,NA,33%,0%
2058677,Moritz Brune,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2071635,Yigit Öncü,Berliner SC II,2,0,0,0,0,0,2,0,83,0,8,6,0,0.6666666666666666,0.461,3,2,2,0,0.5,0,0,0.43,NA,NA,0%,0%
2133061,Simon Riedel,Berliner SC II,1,0,0,0,0,0,0,0,90,0,0,6,0,0.3333333333333333,1,3,1,1,0,1,1,1,0.68,RV,NA,100%,0%
2215683,Carlos Huambo,Berliner SC II,2,0,0,0,0,0,2,0,20,0,17,6,0,0.6666666666666666,0.111,0,1,1,1,0,0,0,0.2,NA,NA,0%,0%
224507,Jannis Gabrielides,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2327553,Yakup Yasar,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2339579,Eike Barth,Berliner SC II,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0%,0%
2349129,Daniel Brüggemann,Berliner SC II,1,0,0,0,0,0,1,0,33,0,31,6,0,0.3333333333333333,0.367,0,1,1,0,0,0,0,0.19,NA,NA,0%,0%
2378543,Konstantin Joseski,Berliner SC II,3,1,0,0,0,0,0,2,264,0,14,6,0.167,1,0.978,6,3,3,0,0.667,0,0,0.74,RV,RM,67%,33%
