Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
1,BFC Meteor 06,Simon Böhm,11,ST,24,1.292
2,BSV Al-Dersimspor,Merdan Baba,10,ST,18,1.167
3,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,23,1
4,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,26,0.923
5,BFC Meteor 06,Jean Paul Ajala-Alexis,NA,ST,9,0.889
6,Berliner SC II,Alexander Lorenz,11,ST,12,0.833
7,TSV Rudow Berlin,Matteo Günther,9,ST,28,0.821
8,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,0.769
9,BFC Meteor 06,Tugay Adigüzel,61,LV,22,0.727
10,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,0.714
11,Köpenicker FC,Roman Ilinseer,18,ST,20,0.7
12,BFC Meteor 06,Ayham Heimur,92,LM,23,0.696
13,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,12,0.667
14,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,0.667
15,BFC Preussen II,Lucky Ugbogbo,NA,RM,14,0.643
16,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,19,0.632
17,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,0.625
18,Köpenicker FC,Dennis Bohnsack,9,ST,24,0.625
19,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,23,0.609
20,Köpenicker FC,Felix Hartmann,15,TW,25,0.6
21,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0.571
22,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,0.571
23,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,0.571
24,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,23,0.565
25,SC Borsigwalde 1910,Marcel Knaack,NA,ST,11,0.545
26,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,13,0.538
27,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,15,0.533
28,FC Viktoria 1889 Berlin II,Joan Schäfers Llauger,8,LM,19,0.526
