"#","team","Pred","Pkt","50%","75%","90%","100%"
1,"TSV Rudow Berlin",72,72,0,0,0,0
2,"BFC Meteor 06",66,64,0,0,0,0
3,"Berliner SV 1892",59,55,0,0,0,0
4,"FC Viktoria 1889 Berlin II",55,52,0,0,0,0
5,"BFC Preussen II",53,51,0,0,0,0
6,"Köpenicker FC",44,41,0,0,0,0
7,"FC Internationale Berlin 1980",45,44,0,0,0,0
8,"BSV Eintracht Mahlsdorf II",41,39,0,0,0,0
9,"SC Borsigwalde 1910",38,37,0,0,0,0
10,"FSV Berolina Stralau 1901",37,35,0,0,0,0
11,"Berliner SC II",38,35,0,0,0,0
12,"Türkiyemspor Berlin",32,31,0,0,0,2
13,"SV Empor Berlin II",31,29,1,2,2,4
14,"BSV Al-Dersimspor",31,30,0,1,1,3
15,"VfB Concordia Britz 1916",25,23,7,8,8,10
16,"SV Stern Britz 1889",13,13,17,18,18,20
