team,pitch1,size1,L1,W1,pitch2,size2,L2,W2
BFC Preussen II,KuRa,S,90,60,,,,
FC Internationale Berlin,KuRa,S,90,60,,,,
Berliner SC II,KuRa,S,92,60,Ra,L,105,68
Friedenauer TSC,KuRa,S,90,60,Ra,L,103,68
Pfeffersport,KuRa,S,92,60,,,,
BSV 1892,KuRa,M,100,65,Ra,L,105,60
1.FC Schöneberg,KuRa,S,92,62,,,,
BSV Hürtürkel,Ra,M,98,65,,,,
SC Borsigwalde,KuRa,S,90,60,,,,
Berlin Hilalspor,KuRa,S,90,60,,,,
Berolina Mitte,KuRa,S,90,60,,,,
SC Berliner Amateure,KuRa,M,98,65,,,,
SF Charlottenburg-Wilmersdorf 03,KuRa,M,100,65,Ra,L,105,60
DJK SW Neukölln 1920 e.V.,KuRa,M,98,65,Ra,L,105,65
SV Empor Berlin II,KuRa,S,90,60,,,,
SF Johannisthal,KuRa,S,90,60,,,,
,,,,,,,,
