#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,12,6,5,1,25:13,12,23
2,BFC Meteor 06,12,7,1,4,33:20,13,22
3,Berliner SV 1892,13,7,1,5,30:23,7,22
4,BFC Preussen II,10,6,1,3,24:14,10,19
5,SC Borsigwalde 1910,11,5,4,2,23:23,0,19
6,FC Viktoria 1889 Berlin II,11,5,2,4,25:27,-2,17
7,BSV Eintracht Mahlsdorf II,10,5,1,4,24:14,10,16
8,Köpenicker FC,11,5,1,5,21:23,-2,16
9,Berliner SC II,13,4,2,7,19:23,-4,14
10,FC Internationale Berlin 1980,12,3,3,6,17:20,-3,12
11,Türkiyemspor Berlin,11,4,0,7,16:21,-5,12
12,FSV Berolina Stralau 1901,12,3,3,6,19:27,-8,12
13,BSV Al-Dersimspor,12,3,1,8,14:36,-22,10
14,SV Empor Berlin II,12,1,4,7,18:26,-8,7
15,VfB Concordia Britz 1916,11,1,1,9,12:43,-31,4
16,SV Stern Britz 1889,11,0,1,10,11:46,-35,1
