Rank,Team,Nr,Name,Pos,Spielzeit,Score
1,TSV Rudow Berlin,4,Linus Fürstenow,IV,1350,0.792
2,BFC Preussen II,16,Magnus Stahlberg,IV,1080,0.763
3,BFC Preussen II,20,Lukas Kohlmann,IV,1170,0.756
4,BFC Meteor 06,4,Tim Riese,IV,1170,0.745
5,BFC Meteor 06,5,Lennart Nerlich,IV,1260,0.733
6,TSV Rudow Berlin,13,Elias Burda,IV,1170,0.733
7,BFC Preussen II,55,Levent Mucuk,IV,1020,0.731
8,SC Borsigwalde 1910,2,Joao Victor Braga De Souza,IV,1258,0.726
9,SC Borsigwalde 1910,10,Pedro Lucas Santanna Miranda Silva,ST,1149,0.718
10,BFC Meteor 06,11,Simon Böhm,ST,974,0.709
11,TSV Rudow Berlin,17,Mohammed Hassane,ZDM,1215,0.706
12,BSV Eintracht Mahlsdorf II,16,Christian Preiss,ZM,1170,0.704
13,BFC Preussen II,31,Malte Hartmann,TW,1080,0.694
14,TSV Rudow Berlin,20,Patrick Maykowski,RM,1198,0.694
15,TSV Rudow Berlin,9,Matteo Günther,ST,1164,0.685
16,Berliner SV 1892,24,Joshua Tröger,RV,800,0.685
17,Köpenicker FC,15,Felix Hartmann,TW,1221,0.685
18,BFC Meteor 06,6,Ahmad Zahlan,ZDM,1016,0.671
19,TSV Rudow Berlin,44,Martin Gromotka,TW,1080,0.67
20,TSV Rudow Berlin,24,Talha Sennur,ST,869,0.66
21,BFC Preussen II,12,Lasse Engelsing,LV,778,0.66
22,Berliner SC II,5,Dominique Leitner,IV,1260,0.659
23,FC Viktoria 1889 Berlin II,15,Daniel Hölbling,ST,360,0.657
24,TSV Rudow Berlin,8,Alexander Wuthe,ZDM,1033,0.656
25,TSV Rudow Berlin,10,Melih Hortum,ZOM,661,0.653
26,TSV Rudow Berlin,3,Jonas Becker,IV,909,0.647
27,BFC Meteor 06,27,Jannik Jantzen,ZDM,860,0.646
28,TSV Rudow Berlin,7,Nana Kwame Badu-Amoah,LM,635,0.646
29,Berliner SV 1892,4,Niklas Jost,IV,1260,0.642
30,FC Viktoria 1889 Berlin II,6,Justin Thiele,IV,1079,0.642
31,BFC Meteor 06,15,Julian Schröder,RV,1080,0.628
32,BFC Meteor 06,3,Serkan Karasu,ZDM,1215,0.628
33,BSV Eintracht Mahlsdorf II,22,Phillip Streiter,TW,1350,0.628
34,FC Viktoria 1889 Berlin II,7,Simon Stefanovic,LV,1179,0.623
35,BFC Preussen II,18,Kevin Anderson Moreira Godinho,RM,630,0.622
36,Türkiyemspor Berlin,25,Enes Uzun,RM,1161,0.612
37,FC Internationale Berlin 1980,31,Matteo Topal,ZDM,994,0.612
38,BFC Preussen II,24,Maximilian Schatz,ZM,332,0.61
39,BFC Meteor 06,17,Oktay Ugur,ZOM,789,0.609
40,FC Internationale Berlin 1980,7,Dominic Kranz,LV,977,0.609
41,Türkiyemspor Berlin,NA,Abdoulaye Djibril Diallo,ZM,439,0.607
42,FC Viktoria 1889 Berlin II,25,Fonseca Pereira Mendes,RV,914,0.607
43,BSV Eintracht Mahlsdorf II,7,Reto Reichenberger,ST,1042,0.606
44,Köpenicker FC,6,Luca Carius,IV,1153,0.602
45,Türkiyemspor Berlin,4,Görkem Yilmaz,ZOM,1099,0.6
46,Berliner SV 1892,20,Nikita Charkov,IV,927,0.599
47,BSV Eintracht Mahlsdorf II,20,Justin Engfer,RV,488,0.596
48,Türkiyemspor Berlin,5,Omid Saberdest,ZOM,1293,0.595
49,FC Internationale Berlin 1980,10,Milan Daus,ST,1007,0.594
