Team,Formation,Anzahl,Total_Spiele,Wahrscheinlichkeit,dreier_kette,vierer_kette,Starting11_Team,Starting11_Position,Starting11_Nummer,Starting11_Name,Starting11_Weighted_Score
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.963
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,0.786
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,IV,4,Tim Riese,0.766
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.745
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,ZDM,6,Ahmad Zahlan,0.723
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,LV,3,Serkan Karasu,0.686
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,ZOM,27,Jannik Jantzen,0.65
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.608
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,LM,17,Oktay Ugur,0.585
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,RM,92,Ayham Heimur,0.557
BFC Meteor 06,4-1-3-2,1,19,5%,Nein,Ja,BFC Meteor 06,ST,18,Farouk Ben Mustapha,0.539
BFC Meteor 06,4-2-2-2,1,19,5%,Nein,Ja,BFC Meteor 06,ZM,NA,Abdoulaye Djibril Diallo,0.963
BFC Meteor 06,4-2-2-2,1,19,5%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,0.786
BFC Meteor 06,4-2-2-2,1,19,5%,Nein,Ja,BFC Meteor 06,IV,4,Tim Riese,0.766
BFC Meteor 06,4-2-2-2,1,19,5%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.745
BFC Meteor 06,4-2-2-2,1,19,5%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.723
