Spieltag,Team,Gegner,Tore,Gegentore,Wo,Platz,Kader,Formation,Wechsel
1,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,1,2,home,L,"Gromotka – Frank (70. Maykowski), Fürstenow, Burda, Rötzscher (62. Haj Youssef) – Hassane, Hortum, Thonfeld (46. T. Sennur), Wuthe – Günther, S. Sennur (46. Badu-Amoah)",4-4-2,4
1,BFC Meteor 06,VfB Concordia Britz 1916,3,2,home,M,"Suilman – Terzopulos-Koutsoubas, Riese, Nerlich, Karasu – Jantzen, Zahlan – Saunders (46. Ugur), Okoronkwo, Heimur (80. Balde) – Böhm (81. Hamiss)",4-2-3-1,3
1,BFC Preussen II,Berliner SV 1892,3,1,home,S,"Hartmann – Berner (75. Gajda), Kohlmann, Mucuk, Stahlberg – Demir (74. Henseler), Müller (46. Hesse) – Gashi, Fikic, Ugbogbo – Timur (65. Szerwinski)",4-2-3-1,4
1,SV Stern Britz 1889,Türkiyemspor Berlin,1,0,home,L,"Ziebarth – Diallo, Brei, Schulz, Boanu (85. Frobenius) – Weisse (85. Ehrich), Wojan (90. Höhna), Pyplatz (65. Hauf) – Sik, Schneider, Shawrdi",4-3-3,4
1,Köpenicker FC,FC Internationale Berlin 1980,1,1,home,NR,"Thiemann – Möhle (84. Will), Nischwitz, Dietrich (76. Hildebrand), Süring (46. O. Ondo Mangue) – J. Ondo Mangue, Neumann, Borchmeier, Rostock (76. Hamann), Tauschwitz – Ilinseer (84. Brunow)",4-5-1,5
1,BSV Eintracht Mahlsdorf II,Berliner SC II,3,1,home,M,"Streiter – Engfer, Mansour, Bothe (46. Schröter), Reinke – Müller (46. Halilcevic), Michas (80. Grund), Preiss, Pötig (83. Greif) – Heydemann, Völckert (71. Koyuncu)",4-4-2,5
1,SC Borsigwalde 1910,BSV Al-Dersimspor,1,0,home,S,"Kräft –  Braga De Souza, Motuk, Akkaoui, Chukwu – Rondinelli (81. Nzongo), Ciao, Stefaniszin, Bubner (90. El-Okkla) – Miranda Silva (81. Yildirim) – Crone (81. Djekonbe)",4-4-1-1,4
1,FSV Berolina Stralau 1901,SV Empor Berlin II,1,1,home,S,"Pothoff – Häberle, Nikolajewski, Reuter – Jonach, Schwarz (87. Heßler), Guillen (73. Bode), Maiß, Rolke (62. Saiti) – Jradi (46. Stier), Bravo (62. Adler)",3-5-2,5
1,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,2,1,away,L,"Kühn – Stefanovic, Nagel (86. Stefanov), Thiele, Mendes – Herrmann, Manssour, Dieckert (80. Bendjelloul), Llauger (24. Almedom) – Jeong, Weinlein",4-4-2,3
1,VfB Concordia Britz 1916,BFC Meteor 06,2,3,away,M,"Meißner – Weglöhner (80. Röchert), Auctun, Wenke, Eschert – Schmidtmann (65. Wieser), Gassen, Jerry Gase (46. Wenke), Jordy Gase (65. Yassine) – Bruns, Kühn (65. Tatli)",4-4-2,5
