team,Spiele,E5,E4,E3,E2,E1,Tore,Dif,Pkt,#
Berliner SV 1892,5,S,N,S,S,S,16:6,10,2.4,1
FC Viktoria 1889 Berlin II,5,S,S,N,S,S,14:7,7,2.4,2
BFC Preussen II,5,S,S,S,N,S,11:8,3,2.4,3
BFC Meteor 06,5,S,U,S,U,S,22:6,16,2.2,4
TSV Rudow Berlin,5,S,U,S,N,S,12:10,2,2,5
SC Borsigwalde 1910,5,U,S,S,U,N,14:13,1,1.6,6
VfB Concordia Britz 1916,5,N,S,N,U,S,8:6,2,1.4,7
FSV Berolina Stralau 1901,5,S,S,N,U,N,10:14,-4,1.4,8
BSV Al-Dersimspor,5,N,S,S,U,N,10:18,-8,1.4,9
Köpenicker FC,5,N,N,S,S,N,13:12,1,1.2,10
Berliner SC II,5,S,N,N,N,S,9:11,-2,1.2,11
Türkiyemspor Berlin,5,N,N,S,S,N,8:10,-2,1.2,12
SV Empor Berlin II,5,N,N,N,U,S,10:10,0,0.8,13
BSV Eintracht Mahlsdorf II,5,U,N,N,S,N,9:19,-10,0.8,14
FC Internationale Berlin 1980,5,N,S,N,N,N,8:12,-4,0.6,15
SV Stern Britz 1889,5,N,N,N,N,N,4:16,-12,0,16
