#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,17,12,4,1,34:7,27,40
2,BFC Meteor 06,17,12,0,5,47:26,21,36
3,BFC Preussen II,17,11,2,4,51:30,21,35
4,BSV Eintracht Mahlsdorf II,17,10,2,5,39:20,19,32
5,SC Borsigwalde 1910,17,7,7,3,37:31,6,28
6,Berliner SV 1892,17,9,1,7,31:27,4,28
7,FC Viktoria 1889 Berlin II,17,8,3,6,46:42,4,27
8,FC Internationale Berlin 1980,17,7,5,5,38:23,15,26
9,Köpenicker FC,17,7,4,6,41:30,11,25
10,Türkiyemspor Berlin,17,6,3,8,30:29,1,21
11,Berliner SC II,17,5,5,7,17:22,-5,20
12,BSV Al-Dersimspor,17,5,3,9,24:38,-14,18
13,FSV Berolina Stralau 1901,17,4,4,9,23:35,-12,16
14,SV Empor Berlin II,17,2,7,8,26:43,-17,13
15,SV Stern Britz 1889,17,3,1,13,19:59,-40,10
16,VfB Concordia Britz 1916,17,2,1,14,19:60,-41,7
