Rank,Team,Name,Nr,Pos,Spiele,Tore
1,TSV Rudow Berlin,Matteo Günther,9,ST,14,10
2,Köpenicker FC,Roman Ilinseer,18,ST,13,10
3,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,14,10
4,Köpenicker FC,Dennis Bohnsack,9,ST,13,10
5,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,10
6,BFC Meteor 06,Simon Böhm,11,ST,13,9
7,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,13,9
8,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,16,9
9,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,8
10,Türkiyemspor Berlin,Omid Saberdest,5,ZOM,16,7
11,BFC Meteor 06,Serkan Karasu,3,ZDM,15,7
12,TSV Rudow Berlin,Talha Sennur,24,ST,12,7
13,Köpenicker FC,Felix Hartmann,15,TW,15,7
14,Türkiyemspor Berlin,Enes Uzun,25,RM,14,6
15,BFC Preussen II,Hugo Timur,7,ST,11,6
16,BSV Al-Dersimspor,Merdan Baba,10,ST,8,6
17,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,11,5
18,BFC Meteor 06,Tim Riese,4,IV,14,5
19,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,12,5
20,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,15,5
21,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,12,5
22,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,14,4
23,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,4
24,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,4
25,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,9,4
26,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,4
27,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,6,4
28,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,7,4
29,BFC Preussen II,Lucky Ugbogbo,NA,LM,5,4
30,BFC Preussen II,Gani Gashi,33,RM,6,4
31,FC Internationale Berlin 1980,Ryan Max Robert French,14,LM,14,4
32,BFC Preussen II,Levent Mucuk,55,IV,13,3
33,Berliner SV 1892,Nick Bechler,27,IV,13,3
34,BFC Preussen II,Magnus Stahlberg,16,IV,12,3
35,SC Borsigwalde 1910,Marcel Bubner,19,LM,13,3
36,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,6,3
37,BFC Preussen II,Lukas Kohlmann,20,IV,14,3
38,BFC Preussen II,Rommel Abou-Chaker,13,ST,8,3
39,TSV Rudow Berlin,Patrick Maykowski,20,RM,16,3
40,Berliner SC II,Kevin Uwe Einspannier,6,ST,14,3
