team,#,Ges_Bilanz,Rank_H,H_Bilanz,Rank_A,A_Bilanz,Rank_NR,NR_Bilanz,Rank_KR,KR_Bilanz,Rank_kKR,kKR_Bilanz,E5,E4,E3,E2,E1,Tore,Formation,Wahrscheinlichkeit,dreierKette,viererKette
TSV Rudow Berlin,1,14-4-1,2,8-0-1,1,6-4-0,5,1-1-0,1,13-3-1,3,2-3-0,U,S,S,S,S,9:3,3-4-1-2,32%,Ja,Ja
BFC Meteor 06,2,13-0-5,1,8-0-1,4,5-0-4,3,1-0-0,2,12-0-5,5,4-0-3,NA,S,S,S,S,19:3,4-2-3-1,67%,Nein,Ja
BFC Preussen II,3,12-2-4,4,7-1-2,2,5-1-2,2,1-0-0,3,11-2-4,1,9-2-2,NA,U,S,N,S,8:7,4-2-3-1,67%,Ja,Ja
BSV Eintracht Mahlsdorf II,4,11-3-5,3,7-2-2,7,4-1-3,1,2-0-0,5,9-3-5,6,3-3-2,N,S,N,S,U,8:8,4-4-2,47%,Ja,Ja
Berliner SV 1892,5,11-1-7,6,6-0-2,3,5-1-5,4,6-0-1,9,5-1-6,10,4-1-4,U,S,N,S,S,12:7,4-4-2,37%,Ja,Ja
FC Viktoria 1889 Berlin II,6,10-3-6,5,6-1-2,6,4-2-4,11,0-1-1,4,10-2-5,2,7-2-4,S,S,N,S,S,19:10,4-2-3-1,58%,Nein,Ja
SC Borsigwalde 1910,7,7-8-4,9,3-5-2,5,4-3-2,9,0-1-0,6,7-7-4,9,5-7-4,U,N,S,N,U,11:12,4-2-3-1,68%,Ja,Ja
FC Internationale Berlin 1980,8,7-5-7,8,4-2-3,8,3-3-4,6,1-2-0,8,6-3-7,8,4-3-4,N,N,N,S,N,8:12,4-2-3-1,42%,Ja,Ja
Köpenicker FC,9,7-4-8,7,4-3-4,12,3-1-4,7,5-3-5,12,2-1-3,4,2-1-1,S,N,S,S,N,10:7,4-4-2,68%,Nein,Ja
Türkiyemspor Berlin,10,7-3-9,10,3-3-3,9,4-0-6,8,4-3-5,10,3-0-4,7,3-0-3,S,S,N,N,N,9:10,4-2-3-1,58%,Ja,Ja
Berliner SC II,11,6-5-7,11,3-3-2,11,3-2-5,10,0-3-2,7,6-2-5,11,3-2-4,S,N,N,N,S,5:11,4-4-2,78%,Nein,Ja
FSV Berolina Stralau 1901,12,6-4-9,13,3-2-5,10,3-2-4,12,0-1-2,11,6-3-7,12,4-3-6,U,S,S,U,S,14:9,3-4-3,42%,Ja,Ja
BSV Al-Dersimspor,13,5-3-11,12,3-2-3,13,2-1-8,15,0-0-1,13,5-3-10,13,4-3-8,U,N,N,U,N,5:19,4-2-3-1,37%,Ja,Ja
SV Empor Berlin II,14,2-7-9,14,2-3-4,14,0-4-5,14,0-0-1,14,2-7-8,14,2-7-6,NA,N,S,N,N,7:13,4-3-3,39%,Ja,Ja
SV Stern Britz 1889,15,3-1-15,15,3-0-7,15,0-1-8,16,0-0-1,15,3-1-14,15,0-1-4,N,N,N,N,N,7:19,4-2-3-1,47%,Ja,Ja
VfB Concordia Britz 1916,16,2-1-16,16,2-0-8,16,0-1-8,13,0-1-3,16,2-0-13,16,0-0-2,S,N,S,N,N,7:8,4-5-1,47%,Nein,Ja
