#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,9,8,0,1,20:4,16,24
2,BFC Meteor 06,8,7,0,1,25:9,16,21
3,FC Viktoria 1889 Berlin II,9,6,1,2,29:18,11,19
4,BFC Preussen II,9,6,1,2,30:22,8,19
5,BSV Eintracht Mahlsdorf II,9,6,1,2,18:10,8,19
6,Berliner SV 1892,8,6,0,2,14:7,7,18
7,Köpenicker FC,9,4,3,2,30:14,16,15
8,FC Internationale Berlin 1980,8,4,2,2,25:11,14,14
9,SC Borsigwalde 1910,9,3,5,1,21:14,7,14
10,Türkiyemspor Berlin,9,3,3,3,17:13,4,12
11,Berliner SC II,8,3,3,2,7:8,-1,12
12,BSV Al-Dersimspor,8,3,2,3,14:15,-1,11
13,SV Empor Berlin II,8,2,3,3,15:23,-8,9
14,SV Stern Britz 1889,9,3,0,6,10:20,-10,9
15,VfB Concordia Britz 1916,8,2,0,6,11:20,-9,6
16,FSV Berolina Stralau 1901,8,1,2,5,9:19,-10,5
