#,team,S,G,U,N,Tore,Dif,Pkt
1,BFC Preussen II,13,9,2,2,37:24,13,2.2
2,FC Viktoria 1889 Berlin II,13,7,2,4,39:30,9,1.8
3,TSV Rudow Berlin,5,2,3,0,7:3,4,1.8
4,Köpenicker FC,4,2,1,1,10:8,2,1.8
5,BFC Meteor 06,7,4,0,3,18:14,4,1.7
6,BSV Eintracht Mahlsdorf II,8,3,3,2,19:11,8,1.5
7,Türkiyemspor Berlin,6,3,0,3,11:11,0,1.5
8,FC Internationale Berlin 1980,11,4,3,4,29:18,11,1.4
9,SC Borsigwalde 1910,16,5,7,4,33:30,3,1.4
10,Berliner SV 1892,9,4,1,4,16:17,-1,1.4
11,Berliner SC II,9,3,2,4,8:12,-4,1.2
12,FSV Berolina Stralau 1901,13,4,3,6,22:26,-4,1.2
13,BSV Al-Dersimspor,15,4,3,8,19:31,-12,1
14,SV Empor Berlin II,15,2,7,6,26:41,-15,0.9
15,SV Stern Britz 1889,5,0,1,4,5:16,-11,0.2
16,VfB Concordia Britz 1916,2,0,0,2,2:12,-10,0
