#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,16,12,3,1,34:7,27,2.4
2,BFC Meteor 06,16,11,0,5,43:24,19,2.1
3,BFC Preussen II,16,10,2,4,45:28,17,2
4,BSV Eintracht Mahlsdorf II,15,8,2,5,31:19,12,1.7
5,SC Borsigwalde 1910,16,7,6,3,36:30,6,1.7
6,FC Viktoria 1889 Berlin II,15,8,2,5,42:37,5,1.7
7,FC Internationale Berlin 1980,14,6,3,5,34:21,13,1.5
8,Berliner SC II,12,5,2,5,14:16,-2,1.4
9,Türkiyemspor Berlin,5,2,0,3,9:10,-1,1.2
10,Köpenicker FC,6,2,1,3,10:12,-2,1.2
11,Berliner SV 1892,11,4,1,6,19:22,-3,1.2
12,FSV Berolina Stralau 1901,14,4,3,7,21:26,-5,1.1
13,BSV Al-Dersimspor,16,5,3,8,23:33,-10,1.1
14,SV Empor Berlin II,16,2,7,7,25:40,-15,0.8
15,SV Stern Britz 1889,16,3,1,12,19:54,-35,0.6
16,VfB Concordia Britz 1916,13,2,0,11,16:41,-25,0.5
