"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
1,"TSV Rudow Berlin","FC Viktoria 1889 Berlin II",1,2,NA,NA,NA
1,"BFC Meteor 06","VfB Concordia Britz 1916",3,2,NA,NA,NA
1,"BFC Preussen II","Berliner SV 1892",3,1,NA,NA,NA
1,"SV Stern Britz 1889","Türkiyemspor Berlin",1,0,NA,NA,NA
1,"Köpenicker FC","FC Internationale Berlin 1980",1,1,NA,NA,NA
1,"BSV Eintracht Mahlsdorf II","Berliner SC II",3,1,NA,NA,NA
1,"SC Borsigwalde 1910","BSV Al-Dersimspor",1,0,NA,NA,NA
1,"FSV Berolina Stralau 1901","SV Empor Berlin II",1,1,NA,NA,NA
1,"FC Viktoria 1889 Berlin II","TSV Rudow Berlin",2,1,NA,NA,NA
1,"VfB Concordia Britz 1916","BFC Meteor 06",2,3,NA,NA,NA
1,"Berliner SV 1892","BFC Preussen II",1,3,NA,NA,NA
1,"Türkiyemspor Berlin","SV Stern Britz 1889",0,1,NA,NA,NA
1,"FC Internationale Berlin 1980","Köpenicker FC",1,1,NA,NA,NA
1,"Berliner SC II","BSV Eintracht Mahlsdorf II",1,3,NA,NA,NA
1,"BSV Al-Dersimspor","SC Borsigwalde 1910",0,1,NA,NA,NA
1,"SV Empor Berlin II","FSV Berolina Stralau 1901",1,1,NA,NA,NA
2,"FC Internationale Berlin 1980","BFC Preussen II",1,2,NA,NA,NA
2,"FC Viktoria 1889 Berlin II","BFC Meteor 06",3,2,NA,NA,NA
2,"Berliner SC II","SC Borsigwalde 1910",1,0,NA,NA,NA
2,"Türkiyemspor Berlin","TSV Rudow Berlin",0,0,NA,NA,NA
2,"Berliner SV 1892","BSV Eintracht Mahlsdorf II",0,4,NA,NA,NA
2,"VfB Concordia Britz 1916","FSV Berolina Stralau 1901",1,2,NA,NA,NA
2,"BSV Al-Dersimspor","SV Stern Britz 1889",4,1,NA,NA,NA
2,"SV Empor Berlin II","Köpenicker FC",1,2,NA,NA,NA
2,"BFC Preussen II","FC Internationale Berlin 1980",2,1,NA,NA,NA
2,"BFC Meteor 06","FC Viktoria 1889 Berlin II",2,3,NA,NA,NA
2,"SC Borsigwalde 1910","Berliner SC II",0,1,NA,NA,NA
2,"TSV Rudow Berlin","Türkiyemspor Berlin",0,0,NA,NA,NA
2,"BSV Eintracht Mahlsdorf II","Berliner SV 1892",4,0,NA,NA,NA
2,"FSV Berolina Stralau 1901","VfB Concordia Britz 1916",2,1,NA,NA,NA
2,"SV Stern Britz 1889","BSV Al-Dersimspor",1,4,NA,NA,NA
2,"Köpenicker FC","SV Empor Berlin II",2,1,NA,NA,NA
3,"BFC Preussen II","TSV Rudow Berlin",1,4,NA,NA,NA
3,"SV Empor Berlin II","FC Internationale Berlin 1980",2,2,NA,NA,NA
3,"BFC Meteor 06","Berliner SC II",1,2,NA,NA,NA
3,"Köpenicker FC","Türkiyemspor Berlin",3,4,NA,NA,NA
3,"BSV Eintracht Mahlsdorf II","SV Stern Britz 1889",2,1,NA,NA,NA
3,"SC Borsigwalde 1910","FC Viktoria 1889 Berlin II",3,3,NA,NA,NA
3,"VfB Concordia Britz 1916","Berliner SV 1892",1,5,NA,NA,NA
3,"FSV Berolina Stralau 1901","BSV Al-Dersimspor",0,1,NA,NA,NA
3,"TSV Rudow Berlin","BFC Preussen II",4,1,NA,NA,NA
3,"FC Internationale Berlin 1980","SV Empor Berlin II",2,2,NA,NA,NA
3,"Berliner SC II","BFC Meteor 06",2,1,NA,NA,NA
3,"Türkiyemspor Berlin","Köpenicker FC",4,3,NA,NA,NA
3,"SV Stern Britz 1889","BSV Eintracht Mahlsdorf II",1,2,NA,NA,NA
3,"FC Viktoria 1889 Berlin II","SC Borsigwalde 1910",3,3,NA,NA,NA
3,"Berliner SV 1892","VfB Concordia Britz 1916",5,1,NA,NA,NA
3,"BSV Al-Dersimspor","FSV Berolina Stralau 1901",1,0,NA,NA,NA
4,"BSV Al-Dersimspor","BFC Meteor 06",0,2,NA,NA,NA
4,"SV Stern Britz 1889","BFC Preussen II",0,6,NA,NA,NA
4,"TSV Rudow Berlin","Köpenicker FC",1,0,NA,NA,NA
4,"FC Viktoria 1889 Berlin II","FC Internationale Berlin 1980",1,2,NA,NA,NA
4,"Berliner SC II","VfB Concordia Britz 1916",1,1,NA,NA,NA
4,"Berliner SV 1892","SV Empor Berlin II",3,1,NA,NA,NA
4,"SC Borsigwalde 1910","BSV Eintracht Mahlsdorf II",3,3,NA,NA,NA
4,"Türkiyemspor Berlin","FSV Berolina Stralau 1901",5,0,NA,NA,NA
4,"BFC Meteor 06","BSV Al-Dersimspor",2,0,NA,NA,NA
4,"BFC Preussen II","SV Stern Britz 1889",6,0,NA,NA,NA
4,"Köpenicker FC","TSV Rudow Berlin",0,1,NA,NA,NA
4,"FC Internationale Berlin 1980","FC Viktoria 1889 Berlin II",2,1,NA,NA,NA
4,"VfB Concordia Britz 1916","Berliner SC II",1,1,NA,NA,NA
4,"SV Empor Berlin II","Berliner SV 1892",1,3,NA,NA,NA
4,"BSV Eintracht Mahlsdorf II","SC Borsigwalde 1910",3,3,NA,NA,NA
4,"FSV Berolina Stralau 1901","Türkiyemspor Berlin",0,5,NA,NA,NA
5,"Köpenicker FC","SV Stern Britz 1889",5,0,NA,NA,NA
5,"BFC Preussen II","SC Borsigwalde 1910",3,5,NA,NA,NA
5,"BFC Meteor 06","Türkiyemspor Berlin",2,1,NA,NA,NA
5,"SV Empor Berlin II","Berliner SC II",1,1,NA,NA,NA
5,"BSV Eintracht Mahlsdorf II","FC Viktoria 1889 Berlin II",4,0,NA,NA,NA
5,"VfB Concordia Britz 1916","BSV Al-Dersimspor",2,4,NA,NA,NA
5,"FC Internationale Berlin 1980","Berliner SV 1892",0,2,NA,NA,NA
5,"FSV Berolina Stralau 1901","TSV Rudow Berlin",0,4,NA,NA,NA
5,"SV Stern Britz 1889","Köpenicker FC",0,5,NA,NA,NA
5,"SC Borsigwalde 1910","BFC Preussen II",5,3,NA,NA,NA
5,"Türkiyemspor Berlin","BFC Meteor 06",1,2,NA,NA,NA
5,"Berliner SC II","SV Empor Berlin II",1,1,NA,NA,NA
