matchday,H,A,Tore_H,Tore_A,where
1,TSV Rudow Berlin,FC Viktoria 1889 Berlin II,1,2,home
1,BFC Meteor 06,VfB Concordia Britz 1916,3,2,home
1,BFC Preussen II,Berliner SV 1892,3,1,home
1,SV Stern Britz 1889,Türkiyemspor Berlin,1,0,home
1,Köpenicker FC,FC Internationale Berlin 1980,1,1,home
1,BSV Eintracht Mahlsdorf II,Berliner SC II,3,1,home
1,SC Borsigwalde 1910,BSV Al-Dersimspor,1,0,home
1,FSV Berolina Stralau 1901,SV Empor Berlin II,1,1,home
1,FC Viktoria 1889 Berlin II,TSV Rudow Berlin,2,1,away
1,VfB Concordia Britz 1916,BFC Meteor 06,2,3,away
1,Berliner SV 1892,BFC Preussen II,1,3,away
1,Türkiyemspor Berlin,SV Stern Britz 1889,0,1,away
1,FC Internationale Berlin 1980,Köpenicker FC,1,1,away
1,Berliner SC II,BSV Eintracht Mahlsdorf II,1,3,away
1,BSV Al-Dersimspor,SC Borsigwalde 1910,0,1,away
1,SV Empor Berlin II,FSV Berolina Stralau 1901,1,1,away
2,FC Internationale Berlin 1980,BFC Preussen II,1,2,home
2,FC Viktoria 1889 Berlin II,BFC Meteor 06,3,2,home
2,Berliner SC II,SC Borsigwalde 1910,1,0,home
2,Türkiyemspor Berlin,TSV Rudow Berlin,0,0,home
2,Berliner SV 1892,BSV Eintracht Mahlsdorf II,0,4,home
2,VfB Concordia Britz 1916,FSV Berolina Stralau 1901,1,2,home
2,BSV Al-Dersimspor,SV Stern Britz 1889,4,1,home
2,SV Empor Berlin II,Köpenicker FC,1,2,home
2,BFC Preussen II,FC Internationale Berlin 1980,2,1,away
2,BFC Meteor 06,FC Viktoria 1889 Berlin II,2,3,away
2,SC Borsigwalde 1910,Berliner SC II,0,1,away
2,TSV Rudow Berlin,Türkiyemspor Berlin,0,0,away
2,BSV Eintracht Mahlsdorf II,Berliner SV 1892,4,0,away
2,FSV Berolina Stralau 1901,VfB Concordia Britz 1916,2,1,away
