#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,13,7,5,1,29:13,16,26
2,BFC Meteor 06,13,8,1,4,34:20,14,25
3,Berliner SV 1892,13,7,1,5,30:23,7,22
4,BFC Preussen II,12,6,2,4,26:19,7,20
5,Köpenicker FC,12,6,1,5,31:23,8,19
6,SC Borsigwalde 1910,12,5,4,3,23:29,-6,19
7,FC Viktoria 1889 Berlin II,12,5,2,5,25:29,-4,17
8,BSV Eintracht Mahlsdorf II,12,5,1,6,26:23,3,16
9,Berliner SC II,13,4,2,7,19:23,-4,14
10,FC Internationale Berlin 1980,13,3,3,7,18:22,-4,12
11,Türkiyemspor Berlin,12,4,0,8,17:23,-6,12
12,FSV Berolina Stralau 1901,13,3,3,7,19:32,-13,12
13,SV Empor Berlin II,13,2,4,7,22:26,-4,10
14,BSV Al-Dersimspor,13,3,1,9,15:43,-28,10
15,VfB Concordia Britz 1916,12,1,1,10,12:46,-34,4
16,SV Stern Britz 1889,12,0,1,11,11:50,-39,1
