Rank,Team,Nr,Name,Pos,Spielzeit,Score
1,TSV Rudow Berlin,13,Elias Burda,IV,2049,1.031
2,BFC Meteor 06,11,Simon Böhm,ST,1990,1.03
3,SV Stern Britz 1889,2,Tommes Diallo,RV,630,1.019
4,BFC Preussen II,16,Magnus Stahlberg,IV,1620,1.018
5,TSV Rudow Berlin,4,Linus Fürstenow,IV,2160,1.004
6,TSV Rudow Berlin,17,Mohammed Hassane,ZDM,2275,0.995
7,TSV Rudow Berlin,9,Matteo Günther,ST,2191,0.993
8,BFC Meteor 06,5,Lennart Nerlich,IV,2200,0.987
9,SC Borsigwalde 1910,2,Joao Victor Braga De Souza,IV,1258,0.98
10,SC Borsigwalde 1910,10,Pedro Lucas Santanna Miranda Silva,ST,1149,0.976
11,BFC Meteor 06,6,Ahmad Zahlan,ZDM,1940,0.964
12,BFC Meteor 06,3,Serkan Karasu,IV,2294,0.962
13,TSV Rudow Berlin,3,Jonas Becker,IV,1798,0.961
14,TSV Rudow Berlin,20,Patrick Maykowski,RM,1965,0.96
15,BFC Meteor 06,4,Tim Riese,IV,1733,0.954
16,TSV Rudow Berlin,10,Melih Hortum,ZOM,1348,0.946
17,TSV Rudow Berlin,44,Martin Gromotka,TW,2025,0.93
18,BFC Preussen II,20,Lukas Kohlmann,IV,1727,0.928
19,BFC Meteor 06,61,Tugay Adigüzel,LV,1713,0.922
20,TSV Rudow Berlin,7,Nana Kwame Badu-Amoah,LM,1084,0.915
21,TSV Rudow Berlin,24,Talha Sennur,ST,1589,0.912
22,BFC Meteor 06,NA,Abdoulaye Djibril Diallo,RV,923,0.903
23,BFC Preussen II,55,Levent Mucuk,IV,1676,0.897
24,BFC Meteor 06,15,Julian Schröder,RV,2005,0.892
25,TSV Rudow Berlin,21,Abdullah Bayram,LM,1168,0.887
26,BFC Meteor 06,22,Selvedin Begzadic,TW,1766,0.882
27,FC Viktoria 1889 Berlin II,1,Patrick Kühn,TW,2070,0.879
28,TSV Rudow Berlin,8,Alexander Wuthe,ZDM,1627,0.874
29,FC Viktoria 1889 Berlin II,25,Fonseca Pereira Mendes,RV,1833,0.87
30,Berliner SV 1892,24,Joshua Tröger,RV,1174,0.867
31,SV Empor Berlin II,23,Oskar Kühn,TW,428,0.866
32,FC Viktoria 1889 Berlin II,9,Vito Everett Dieckert,ZDM,1255,0.865
33,FC Viktoria 1889 Berlin II,6,Justin Thiele,IV,1981,0.864
