Team,Formation,Anzahl,Total_Spiele,Wahrscheinlichkeit,dreier_kette,vierer_kette,Starting11_Team,Starting11_Position,Starting11_Nummer,Starting11_Name,Starting11_Weighted_Score
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,ZDM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.84
BFC Meteor 06,4-1-3-2,1,24,4%,Nein,Ja,BFC Meteor 06,ZOM,17,Oktay Ugur,0.824
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.92
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Meteor 06,4-2-2-2,4,24,17%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.84
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,ZDM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,ZDM,27,Jannik Jantzen,0.846
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Meteor 06,4-2-3-1,14,24,58%,Nein,Ja,BFC Meteor 06,ZOM,17,Oktay Ugur,0.824
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.92
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,ZM,27,Jannik Jantzen,0.846
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-3-3,2,24,8%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.92
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Meteor 06,4-4-2,2,24,8%,Nein,Ja,BFC Meteor 06,ST,NA,Jean Paul Ajala-Alexis,0.84
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,ST,11,Simon Böhm,1.033
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,IV,5,Lennart Nerlich,0.978
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,RV,NA,Abdoulaye Djibril Diallo,0.941
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,IV,3,Serkan Karasu,0.935
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,ZM,4,Tim Riese,0.92
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,ZM,6,Ahmad Zahlan,0.917
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,LV,61,Tugay Adigüzel,0.879
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,RM,NA,Metin Aktürk,0.854
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,ZM,27,Jannik Jantzen,0.846
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,TW,22,Selvedin Begzadic,0.845
BFC Meteor 06,4-5-1,1,24,4%,Nein,Ja,BFC Meteor 06,LM,84,Pascal-Rene Jüterbock,0.844
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,IV,NA,Oliver Schill,1.207
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,IV,16,Magnus Stahlberg,1.018
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,IV,20,Lukas Kohlmann,0.943
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,TW,1,Dominik Dietzel,0.928
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,LM,NA,Arda Isik,0.919
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,RM,18,Kevin Anderson Moreira Godinho,0.795
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,ST,21,Nils Szerwinski,0.791
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,ZOM,48,Ugurcan Yilmaz,0.787
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,ZDM,6,Meiko Hesse,0.784
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,ZDM,28,Jeff Nnaemeka-Chukwurah,0.758
BFC Preussen II,3-2-3-2,1,24,4%,Ja,Nein,BFC Preussen II,ST,8,Paul Miggel,0.729
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,IV,NA,Oliver Schill,1.207
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,IV,16,Magnus Stahlberg,1.018
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,ZM,20,Lukas Kohlmann,0.943
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,TW,1,Dominik Dietzel,0.928
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,LM,NA,Arda Isik,0.919
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,ZM,24,Maximilian Schatz,0.898
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,LV,12,Lasse Engelsing,0.869
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,RM,18,Kevin Anderson Moreira Godinho,0.795
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,ST,21,Nils Szerwinski,0.791
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,ST,48,Ugurcan Yilmaz,0.787
BFC Preussen II,4-2-2-2,2,24,8%,Nein,Ja,BFC Preussen II,RV,22,Atacan Özcan,0.755
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,IV,NA,Oliver Schill,1.207
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,IV,16,Magnus Stahlberg,1.018
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,TW,1,Dominik Dietzel,0.928
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,LM,NA,Arda Isik,0.919
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,LV,12,Lasse Engelsing,0.869
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,RM,18,Kevin Anderson Moreira Godinho,0.795
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,ST,21,Nils Szerwinski,0.791
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,ZOM,48,Ugurcan Yilmaz,0.787
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,ZDM,6,Meiko Hesse,0.784
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,ZDM,28,Jeff Nnaemeka-Chukwurah,0.758
BFC Preussen II,4-2-3-1,16,24,67%,Nein,Ja,BFC Preussen II,RV,22,Atacan Özcan,0.755
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,IV,NA,Oliver Schill,1.207
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,IV,16,Magnus Stahlberg,1.018
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,ZM,20,Lukas Kohlmann,0.943
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,TW,1,Dominik Dietzel,0.928
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,LM,NA,Arda Isik,0.919
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,ZM,24,Maximilian Schatz,0.898
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,LV,12,Lasse Engelsing,0.869
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,RM,18,Kevin Anderson Moreira Godinho,0.795
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,ST,21,Nils Szerwinski,0.791
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,ST,48,Ugurcan Yilmaz,0.787
BFC Preussen II,4-4-1-1,1,24,4%,Nein,Ja,BFC Preussen II,RV,22,Atacan Özcan,0.755
BFC Preussen II,4-4-2,2,24,8%,Nein,Ja,BFC Preussen II,IV,NA,Oliver Schill,1.207
BFC Preussen II,4-4-2,2,24,8%,Nein,Ja,BFC Preussen II,IV,16,Magnus Stahlberg,1.018
