team,Spiele,E5,E4,E3,E2,E1,Tore,Dif,Pkt,#
TSV Rudow Berlin,5,S,S,S,S,S,15:2,13,3,1
BFC Meteor 06,5,S,S,S,S,U,18:3,15,2.6,2
Berliner SV 1892,5,S,S,S,N,S,22:7,15,2.4,3
SV Empor Berlin II,5,S,N,S,S,S,15:6,9,2.4,4
VfB Concordia Britz 1916,5,S,S,N,S,S,13:6,7,2.4,5
FC Internationale Berlin 1980,5,N,S,N,S,S,14:5,9,1.8,6
FC Viktoria 1889 Berlin II,5,S,N,S,S,N,11:7,4,1.8,7
Berliner SC II,5,S,S,N,S,N,7:7,0,1.8,8
FSV Berolina Stralau 1901,5,N,S,N,S,S,9:10,-1,1.8,9
Köpenicker FC,5,N,S,S,N,U,16:8,8,1.4,10
BFC Preussen II,5,S,N,U,N,N,6:11,-5,0.8,11
BSV Al-Dersimspor,5,N,N,S,N,U,8:14,-6,0.8,12
Türkiyemspor Berlin,5,N,N,N,N,U,3:10,-7,0.2,13
SC Borsigwalde 1910,5,N,N,U,N,N,3:18,-15,0.2,14
BSV Eintracht Mahlsdorf II,5,N,N,N,N,N,6:21,-15,0,15
SV Stern Britz 1889,5,N,N,N,N,N,2:33,-31,0,16
