#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,24,17,5,2,53:18,35,56
2,BFC Meteor 06,24,17,2,5,79:34,45,53
3,BFC Preussen II,24,16,2,6,65:43,22,50
4,Berliner SV 1892,24,15,1,8,57:34,23,46
5,FC Viktoria 1889 Berlin II,24,13,3,8,63:53,10,42
6,BSV Eintracht Mahlsdorf II,24,12,3,9,51:43,8,39
7,SC Borsigwalde 1910,24,9,9,6,51:51,0,36
8,Köpenicker FC,24,10,4,10,57:45,12,34
9,FC Internationale Berlin 1980,24,9,5,10,49:39,10,32
10,Türkiyemspor Berlin,24,9,3,12,40:41,-1,30
11,Berliner SC II,24,8,5,11,30:36,-6,29
12,FSV Berolina Stralau 1901,24,8,5,11,40:51,-11,29
13,BSV Al-Dersimspor,24,7,4,13,35:65,-30,25
14,SV Empor Berlin II,24,3,8,13,38:61,-23,17
15,VfB Concordia Britz 1916,24,5,2,17,33:69,-36,17
16,SV Stern Britz 1889,24,3,1,20,24:82,-58,10
