Rank,Team,Name,Nr,Pos,Spiele,Tore
1,BFC Meteor 06,Simon Böhm,11,ST,21,24
2,TSV Rudow Berlin,Matteo Günther,9,ST,22,17
3,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,20,14
4,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,23,14
5,BSV Al-Dersimspor,Merdan Baba,10,ST,15,13
6,Köpenicker FC,Dennis Bohnsack,9,ST,20,13
7,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,19,11
8,Köpenicker FC,Roman Ilinseer,18,ST,16,10
9,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,10
10,BFC Meteor 06,Serkan Karasu,3,IV,23,9
11,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,20,9
12,Köpenicker FC,Felix Hartmann,15,TW,22,9
13,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,18,8
14,TSV Rudow Berlin,Talha Sennur,24,ST,18,8
15,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,8
16,Türkiyemspor Berlin,Enes Uzun,25,RM,19,7
17,Türkiyemspor Berlin,Omid Saberdest,5,ZOM,22,7
18,Berliner SV 1892,Julius Zauner,11,ST,23,7
19,Berliner SV 1892,Lennard Schleifenbaum,21,ZM,23,7
20,Berliner SV 1892,David Bellin,28,ST,21,7
21,BFC Meteor 06,Tim Riese,4,IV,19,7
22,Berliner SV 1892,Paul Busche,7,LM,22,7
23,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,13,7
24,FC Viktoria 1889 Berlin II,Joan Schäfers Llauger,8,LM,16,7
25,BFC Preussen II,Lucky Ugbogbo,NA,RM,12,7
26,FC Internationale Berlin 1980,Nicholas Cartwright Stanley,18,ZOM,19,7
27,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,20,6
28,BFC Preussen II,Hugo Timur,7,ST,14,6
29,SC Borsigwalde 1910,Marcel Knaack,NA,ST,8,6
30,BFC Meteor 06,Ayham Heimur,92,LM,19,6
31,TSV Rudow Berlin,Elias Burda,13,IV,21,6
32,FC Internationale Berlin 1980,Matteo Topal,31,ZDM,18,6
33,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,18,6
34,Berliner SC II,Alexander Lorenz,11,ST,9,6
35,Köpenicker FC,Alexander Foth,11,RM,13,5
36,BFC Preussen II,Magnus Stahlberg,16,IV,18,5
37,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,9,5
38,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,16,5
39,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,12,5
40,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,9,5
41,BFC Preussen II,Lasse Engelsing,12,LV,16,5
42,VfB Concordia Britz 1916,Felix Weglöhner,6,RM,21,5
43,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,23,5
44,BSV Eintracht Mahlsdorf II,Carl-Lennart Stöver,19,LV,20,5
45,FC Internationale Berlin 1980,Ryan Max Robert French,14,LM,19,5
46,SC Borsigwalde 1910,Marcel Bubner,19,LM,19,4
47,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,4
48,TSV Rudow Berlin,Patrick Maykowski,20,RM,24,4
49,Berliner SC II,Kevin Uwe Einspannier,6,ZM,19,4
50,Berliner SV 1892,Nikita Charkov,20,IV,17,4
51,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,4
52,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,4
53,FC Internationale Berlin 1980,Milan Daus,10,ST,21,4
54,SC Borsigwalde 1910,Magnus Crone,14,RM,19,4
55,SC Borsigwalde 1910,Fabio Rondinelli,9,RM,17,4
56,Berliner SV 1892,Tim Paschke,13,ST,11,4
57,SV Empor Berlin II,Demba Mendy,9,ST,15,4
58,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,4
59,FC Viktoria 1889 Berlin II,Justin Thiele,6,IV,20,4
60,FC Viktoria 1889 Berlin II,Alican Ali,29,ST,12,4
61,BFC Preussen II,Gani Gashi,33,RM,6,4
62,SV Empor Berlin II,Nico Bochnia,23,ST,12,4
63,BFC Meteor 06,Jean Paul Ajala-Alexis,NA,ST,5,4
64,FC Internationale Berlin 1980,Nicolas Costa Echeverria,4,IV,20,4
65,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,9,4
66,FC Viktoria 1889 Berlin II,Joshua Isaias Almedom,3,RM,17,4
67,BSV Al-Dersimspor,Argjent Krasniqi,12,ST,21,4
68,VfB Concordia Britz 1916,Piet Kühn,21,TW,21,4
69,Köpenicker FC,Felix Wittenburg,24,ZM,14,4
70,BFC Meteor 06,Tugay Adigüzel,61,LV,19,3
71,BFC Preussen II,Levent Mucuk,55,IV,18,3
72,Berliner SV 1892,Nick Bechler,27,IV,19,3
73,TSV Rudow Berlin,Melih Hortum,10,ZOM,16,3
74,BFC Preussen II,Ugurcan Yilmaz,48,ZOM,12,3
75,SV Stern Britz 1889,Oguzhan Duman,19,ZOM,19,3
76,BFC Preussen II,Lukas Kohlmann,20,IV,19,3
77,BSV Al-Dersimspor,Milos Savkovic,8,LM,20,3
78,BFC Preussen II,Rommel Abou-Chaker,13,ST,10,3
79,Berliner SV 1892,Robin Wolff,25,ST,8,3
80,SV Stern Britz 1889,Dustin Sik,7,RM,13,3
81,VfB Concordia Britz 1916,Jerry Gase,7,ST,19,3
82,VfB Concordia Britz 1916,Lionel Krampah,NA,ZM,9,3
83,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,10,3
84,SC Borsigwalde 1910,Kevin Kummer,29,IV,18,3
85,BFC Meteor 06,Oktay Ugur,17,ZOM,19,3
86,Berliner SC II,Dominique Leitner,5,IV,23,3
87,Berliner SV 1892,Stefano Tedesco,22,IV,20,3
88,Berliner SC II,Danilo Arsic,11,ST,7,3
89,Berliner SC II,Leon Ibrom,4,IV,22,3
90,SV Empor Berlin II,David Schäfer,NA,LV,2,3
91,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,3
92,FSV Berolina Stralau 1901,Eric Stier,5,ST,19,3
93,SV Empor Berlin II,Jonathan Stolp,7,RM,10,3
94,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,15,3
95,FC Viktoria 1889 Berlin II,Vito Everett Dieckert,9,ZDM,16,3
96,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,3
97,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RV,11,3
98,Türkiyemspor Berlin,Deren Yoldas Emre,36,LV,17,3
99,Köpenicker FC,Nicolas Tauschwitz,10,LM,17,3
100,SV Stern Britz 1889,Shaker Shawrdi,20,LM,15,3
101,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,3
102,FC Internationale Berlin 1980,Dominic Kranz,7,LV,15,3
103,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,5,3
104,SV Empor Berlin II,Luis Ploschenz,NA,RM,5,3
105,TSV Rudow Berlin,Ahmad Haj Youssef,19,LM,21,3
106,VfB Concordia Britz 1916,Joao Victor Souza Rosa,24,NA,14,3
107,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,2
108,TSV Rudow Berlin,Alexander Wuthe,8,ZDM,18,2
109,BFC Meteor 06,Soner Demiryürek,21,ZM,6,2
110,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,5,2
111,BFC Preussen II,Marcel Berner,15,RV,14,2
112,Berliner SV 1892,El-Amin Elsaadawi,17,ST,16,2
113,FSV Berolina Stralau 1901,Tom Jonach,16,IV,16,2
114,BFC Preussen II,Dan Feldmann,NA,NA,6,2
115,SV Empor Berlin II,Daniel Schneidawind,13,IV,3,2
116,FC Internationale Berlin 1980,Antonio Boeddinghaus,6,LV,13,2
117,BSV Al-Dersimspor,Sam Diokhane,4,ZDM,17,2
118,SV Empor Berlin II,Dennis Seiler,11,IV,14,2
119,FC Internationale Berlin 1980,Niklas Schindler,11,IV,20,2
120,FC Internationale Berlin 1980,Albert Bauder,9,ST,10,2
121,TSV Rudow Berlin,Mohammed Hassane,17,ZDM,23,2
122,SC Borsigwalde 1910,Daniel Mpembele Nzongo,NA,ST,8,2
123,FSV Berolina Stralau 1901,Tobias Reuter,4,ZM,22,2
124,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,2
125,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,8,2
126,SV Empor Berlin II,Falk Marquard,NA,ZDM,4,2
127,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,2
128,Berliner SC II,Nikolaos Kaggelidids,3,LV,16,2
129,FC Viktoria 1889 Berlin II,David Nagel,4,IV,10,2
130,FC Internationale Berlin 1980,Moreno Schneider,19,RM,14,2
131,BFC Meteor 06,Jannik Jantzen,27,ZDM,18,2
132,FSV Berolina Stralau 1901,Georg Schönfelder,3,IV,21,2
133,Berliner SC II,Erhan Kücükosman,10,ST,17,2
134,BFC Preussen II,Tim Eymann,19,LV,4,2
135,BFC Meteor 06,Mohammed Hamiss,99,NA,10,2
136,SV Stern Britz 1889,Leonit Leci,17,IV,15,2
137,SV Empor Berlin II,Suraj Faizi,NA,ZOM,6,2
138,BFC Preussen II,Jeff Nnaemeka-Chukwurah,28,ZDM,13,2
139,BSV Eintracht Mahlsdorf II,Loide Simao Macave,13,ST,4,2
140,SV Empor Berlin II,Leon Drannaschk,10,LM,16,2
141,BFC Preussen II,Atacan Özcan,22,RV,17,2
142,BFC Meteor 06,Eriseld Tafilaj,69,NA,15,2
143,BFC Preussen II,Arda Isik,NA,LM,8,2
144,BSV Eintracht Mahlsdorf II,Yulian Andres Cordoba Moreno,NA,NA,3,2
145,SV Stern Britz 1889,Cliff Boanu,29,RM,20,2
146,BFC Preussen II,Theo Kagoue,45,RM,11,2
147,Türkiyemspor Berlin,Mohamad Faramarzi,20,RM,14,2
148,FSV Berolina Stralau 1901,Adrian Welch,7,ST,5,2
149,BFC Meteor 06,Farouk Ben Mustapha,18,ST,9,2
150,FC Internationale Berlin 1980,Oscar Reinaldo Avendano Leon,30,LM,7,2
151,SV Stern Britz 1889,Timo Brei,NA,IV,4,2
152,Köpenicker FC,Tobias Brandt,7,ST,16,2
153,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,1
154,BFC Preussen II,Moris Fikic,10,ZOM,7,1
155,BSV Al-Dersimspor,Karsten Schleifring,25,ST,10,1
156,TSV Rudow Berlin,Lucas Robbin Bähr,NA,IV,5,1
157,SV Empor Berlin II,Maurice Peitz,NA,IV,1,1
158,Berliner SC II,Linus Dersch,NA,RM,6,1
159,SV Stern Britz 1889,Andre Schulz,23,IV,20,1
160,BSV Eintracht Mahlsdorf II,Kay Szczech,18,ZM,18,1
161,SV Stern Britz 1889,Resul Hirik,NA,ST,5,1
162,TSV Rudow Berlin,Leonard Kirschner,NA,ST,5,1
163,SV Stern Britz 1889,Philipp Kemkes,NA,NA,3,1
164,Berliner SC II,Nelson Antoniofrancisco,7,LM,7,1
165,SC Borsigwalde 1910,Kenneth Weise,49,IV,13,1
166,BSV Eintracht Mahlsdorf II,Lukas Grützner,8,IV,15,1
167,Köpenicker FC,Philip Möhle,28,RV,16,1
168,VfB Concordia Britz 1916,Björn Röchert,30,IV,9,1
169,BSV Al-Dersimspor,Welton Pereira Dos Santos,94,NA,16,1
170,BSV Al-Dersimspor,Mücahid Kahraman,3,RV,19,1
171,Berliner SC II,Noah Peter,12,ZM,13,1
172,SC Borsigwalde 1910,Riccardo Ciao,18,ZDM,20,1
173,BFC Preussen II,Romario Hartwig,NA,ST,2,1
174,BSV Al-Dersimspor,Amir Awag,5,IV,21,1
175,Berliner SV 1892,Göktug Özsoy,19,ZM,16,1
176,SC Borsigwalde 1910,Michel Stefaniszin,8,ZDM,22,1
177,SV Stern Britz 1889,Timo Höhna,6,LV,19,1
178,SV Stern Britz 1889,Luca Ehrich,27,ZDM,18,1
179,BSV Al-Dersimspor,Karim Zagmouz,6,IV,12,1
180,BSV Al-Dersimspor,Hakan Günaydin,NA,RM,3,1
181,Berliner SC II,Tim Niedenhoff,19,ZM,17,1
182,Türkiyemspor Berlin,Görkem Yilmaz,4,ZOM,21,1
183,SV Empor Berlin II,Elias Thürigen,5,IV,15,1
184,BSV Eintracht Mahlsdorf II,Marc Michas,10,ST,16,1
185,BSV Eintracht Mahlsdorf II,Niklas Isberner,4,IV,21,1
186,SV Empor Berlin II,Joris Möller,NA,LM,1,1
187,SV Stern Britz 1889,Ali Mert Koca,15,ZOM,8,1
188,BSV Eintracht Mahlsdorf II,Devis Meißner,NA,TW,2,1
189,FC Internationale Berlin 1980,Akiyasu Tsuchiya,6,ZM,7,1
190,VfB Concordia Britz 1916,Darnell Bruns,11,ST,8,1
191,SV Stern Britz 1889,Luca Wojan,22,ZDM,17,1
192,Köpenicker FC,Tarek Borchmeier,13,ZM,18,1
193,Berliner SV 1892,Niklas Jost,4,IV,22,1
194,FC Viktoria 1889 Berlin II,Oskar Schlembach,21,ZDM,11,1
195,Berliner SV 1892,Joshua Tröger,24,RV,16,1
196,TSV Rudow Berlin,Samet Sennur,11,ST,12,1
197,VfB Concordia Britz 1916,Jordy Gase,25,ST,19,1
198,Berliner SC II,Jakob Oevermann,15,IV,4,1
199,SV Stern Britz 1889,Marcel Frobenius,37,RV,15,1
200,BFC Meteor 06,Fredy Balde,8,LM,7,1
201,BFC Preussen II,Alexander Gajda,14,RV,10,1
202,BFC Preussen II,Nils Szerwinski,21,ST,9,1
203,SV Stern Britz 1889,Dennis Pyplatz,24,ZDM,20,1
204,BFC Preussen II,Omar Hajjaj,NA,ZDM,2,1
205,VfB Concordia Britz 1916,Arne-Luca Auctun,19,IV,16,1
206,Türkiyemspor Berlin,Ömer Tanis,8,ZDM,23,1
207,SV Empor Berlin II,Paul Nickel,NA,ZDM,1,1
208,FSV Berolina Stralau 1901,Alfredo-Manuel Villanueva Bravo,10,LM,3,1
209,FC Viktoria 1889 Berlin II,Jeremy Herrmann,26,ZDM,18,1
210,BFC Meteor 06,Lennart Nerlich,5,IV,22,1
211,VfB Concordia Britz 1916,Amir-Mohamad Yassine,26,LM,11,1
212,BSV Eintracht Mahlsdorf II,Björn Heydemann,NA,ST,2,1
213,Köpenicker FC,Tom-Niclas Hamann,23,IV,17,1
214,Berliner SC II,Ben Fidanboy,28,RV,6,1
215,FC Viktoria 1889 Berlin II,Lucien Littbarski,NA,ZOM,1,1
216,FSV Berolina Stralau 1901,Noah Maiß,21,ZM,7,1
217,BFC Preussen II,Serhan Arslani,NA,NA,2,1
218,TSV Rudow Berlin,Nana Kwame Badu-Amoah,7,LM,14,1
219,BSV Eintracht Mahlsdorf II,Tom Bothe,12,IV,15,1
220,FC Viktoria 1889 Berlin II,Konstantin- Alexander Westhäußer,13,RV,21,1
221,BSV Al-Dersimspor,William Essel,9,LM,15,1
222,FC Viktoria 1889 Berlin II,Ismail Bendjelloul,5,ZDM,18,1
223,Türkiyemspor Berlin,Deniz Karakus,32,IV,4,1
224,TSV Rudow Berlin,Yannick Emanuel Wöhle,16,ST,13,1
225,BFC Preussen II,Ali Hammoud,NA,RV,9,1
226,SC Borsigwalde 1910,Mohammed Yaqoobi,3,LV,19,1
227,SV Empor Berlin II,Milo Lippe,8,ZM,17,1
228,FC Internationale Berlin 1980,Tiago de Sousa Oliveira,NA,NA,5,1
229,SC Borsigwalde 1910,Hebun Aslan,NA,RV,3,1
230,BSV Eintracht Mahlsdorf II,Mohammad Mansour,5,IV,13,1
231,Türkiyemspor Berlin,Mustafa Kemal Karaman,11,LV,15,1
232,FC Internationale Berlin 1980,Saif Merabti,NA,RM,6,1
233,FC Viktoria 1889 Berlin II,Fonseca Pereira Mendes,25,RV,20,1
234,FC Viktoria 1889 Berlin II,Nana Nkrumah,12,ST,14,1
235,TSV Rudow Berlin,Abdullah Bayram,21,LM,19,1
236,Köpenicker FC,Luca Munsky,3,LV,18,1
237,Köpenicker FC,Osben-Dario Ondo Mangue,2,NA,10,1
238,Berliner SC II,Ezher Akbulut,23,LM,21,1
239,FC Viktoria 1889 Berlin II,Daniel Hölbling,15,ST,4,1
240,Berliner SV 1892,Lewi Dawit Molalegn,15,ST,13,1
241,BFC Meteor 06,Ibrahim Celik,47,RM,19,1
242,FC Internationale Berlin 1980,Joel Broughton Weeks,NA,NA,1,1
243,FC Internationale Berlin 1980,Marlon Mayen Guzman,16,LM,11,1
244,Türkiyemspor Berlin,Manuel Pereira,NA,NA,1,1
245,TSV Rudow Berlin,Aron Murseli,NA,LM,7,1
246,FSV Berolina Stralau 1901,Robert Adler,3,IV,9,0
247,BSV Al-Dersimspor,Max Kruse,30,NA,1,0
248,Berliner SC II,Bene Brecht,16,ZM,5,0
249,BFC Meteor 06,Selvedin Begzadic,22,TW,18,0
250,Berliner SC II,Jannis Gabrielides,NA,NA,1,0
251,BFC Preussen II,Vahit Engin,11,NA,6,0
252,Türkiyemspor Berlin,Kenan Demir,3,IV,18,0
253,Berliner SV 1892,Hendrik Lüttschwager,1,TW,18,0
254,BSV Al-Dersimspor,Kerem Filiz,NA,IV,6,0
255,FSV Berolina Stralau 1901,Jannes Potthoff,1,TW,8,0
256,Berliner SC II,Nicolas Wolski,8,RV,9,0
257,FSV Berolina Stralau 1901,Denis Rolke,15,RM,20,0
258,BSV Al-Dersimspor,Yasin Baki,NA,TW,2,0
259,TSV Rudow Berlin,Dmitri Zabavin,1,TW,3,0
260,Köpenicker FC,Jonas Weigelt,8,IV,14,0
261,TSV Rudow Berlin,Martin Gromotka,44,TW,20,0
262,VfB Concordia Britz 1916,Yevgen Igorovic Lozynsky,27,NA,19,0
263,BFC Preussen II,Paul Miggel,8,LV,7,0
264,SV Empor Berlin II,Daniel Alankus,NA,IV,2,0
265,FSV Berolina Stralau 1901,Daniel Fischer,19,LV,13,0
266,BFC Meteor 06,Julian Schröder,15,RV,22,0
267,SV Empor Berlin II,Dennis Wegner,NA,RV,1,0
268,TSV Rudow Berlin,Dennis Rötzscher,18,ZDM,9,0
269,BSV Al-Dersimspor,Patrick Boel,1,TW,16,0
270,BFC Preussen II,Malte Hartmann,31,TW,15,0
271,BFC Meteor 06,Metin Aktürk,NA,RM,3,0
272,SC Borsigwalde 1910,Mahmoud Akkaoui,4,IV,4,0
273,SC Borsigwalde 1910,Tobias Knetsch,23,TW,10,0
274,BSV Eintracht Mahlsdorf II,Tom Greif,14,RV,5,0
275,Köpenicker FC,Till Dietrich,27,LV,19,0
276,VfB Concordia Britz 1916,Dennis Sarnewski,NA,NA,1,0
277,BFC Preussen II,Yasin Demir,30,IV,17,0
278,BFC Preussen II,Nicolas Michalke,NA,RV,3,0
279,BFC Preussen II,Julian von Gliszczynski,NA,NA,1,0
280,FSV Berolina Stralau 1901,Maximilian Weber,NA,ZM,7,0
281,VfB Concordia Britz 1916,Daniel Michael Brüning,22,IV,6,0
282,VfB Concordia Britz 1916,Fabian Kolditz,13,NA,1,0
283,VfB Concordia Britz 1916,Patrick Wenke,29,IV,12,0
284,SV Stern Britz 1889,Christopher Schneider,NA,RM,5,0
285,BSV Al-Dersimspor,Caglar Halici,NA,ST,1,0
286,BSV Al-Dersimspor,Hüseyin Ali Kaloglu,NA,IV,1,0
287,BSV Al-Dersimspor,Önder Senkaya,NA,NA,1,0
288,VfB Concordia Britz 1916,Tim Wenke,5,IV,12,0
289,Berliner SC II,Lukas Strehlke,NA,NA,1,0
290,Berliner SC II,Max Vincent Bolz,20,ZM,8,0
291,BFC Meteor 06,Yusuf Abouri,NA,RV,4,0
292,SV Stern Britz 1889,Fabio Zielske,NA,NA,0,0
293,SV Stern Britz 1889,Marcel Lieker,NA,NA,1,0
294,VfB Concordia Britz 1916,Robin Eschert,14,LV,4,0
295,Berliner SV 1892,Benjamin Schnack,NA,IV,9,0
296,Köpenicker FC,Kevin Wesolek,16,NA,2,0
297,SV Stern Britz 1889,Yusuf Yildirim,NA,ZDM,1,0
298,Köpenicker FC,Tom Nischwitz,5,IV,15,0
299,SC Borsigwalde 1910,Jeffrey Kräft,37,TW,11,0
300,SV Stern Britz 1889,Bartosz Palubski,21,NA,0,0
301,BSV Al-Dersimspor,Aziz Ökten,NA,NA,0,0
302,BSV Al-Dersimspor,Sercan-Günay Seyyidoglu,17,LM,9,0
303,Berliner SV 1892,Karl Anker,8,IV,20,0
304,BFC Meteor 06,Bahadir Katirci,7,NA,6,0
305,Berliner SC II,Alexander Huse,13,ST,15,0
306,SC Borsigwalde 1910,Antonio Ciao,22,ZDM,3,0
307,VfB Concordia Britz 1916,Yannic Behrendt,NA,IV,7,0
308,BSV Al-Dersimspor,Mustafa Arslan,1,TW,6,0
309,BFC Meteor 06,Ahmad Zahlan,6,ZDM,22,0
310,SV Stern Britz 1889,Marc Anthony Weisse,NA,ZM,1,0
311,SV Stern Britz 1889,Suphi Tekin,NA,NA,1,0
312,BSV Eintracht Mahlsdorf II,Ian Kroh,NA,IV,2,0
313,Berliner SC II,Jakob Heilmann,2,LV,16,0
314,SV Stern Britz 1889,Okan Özkaya,3,NA,5,0
