#,team,S,G,U,N,Tore,Dif,Pkt
1,BFC Meteor 06,12,10,1,1,46:14,32,31
2,BFC Preussen II,13,10,1,2,41:26,15,31
3,TSV Rudow Berlin,11,10,0,1,24:5,19,30
4,FC Viktoria 1889 Berlin II,12,8,1,3,38:24,14,25
5,Berliner SV 1892,11,8,0,3,27:11,16,24
6,BSV Eintracht Mahlsdorf II,13,7,2,4,26:25,1,23
7,FC Internationale Berlin 1980,12,6,2,4,32:19,13,20
8,Köpenicker FC,13,5,3,5,36:22,14,18
9,Türkiyemspor Berlin,12,5,3,4,23:18,5,18
10,SC Borsigwalde 1910,12,4,5,3,28:22,6,17
11,FSV Berolina Stralau 1901,12,5,2,5,21:24,-3,17
12,BSV Al-Dersimspor,11,4,3,4,20:22,-2,15
13,Berliner SC II,11,4,3,4,11:13,-2,15
14,VfB Concordia Britz 1916,13,4,1,8,21:26,-5,13
15,SV Empor Berlin II,12,2,4,6,20:35,-15,10
16,SV Stern Britz 1889,12,3,0,9,13:32,-19,9
