#,team,S,G,U,N,Tore,Dif,Pkt
1,TSV Rudow Berlin,21,15,4,2,46:16,30,2.3
2,BFC Preussen II,21,15,2,4,59:33,26,2.2
3,BFC Meteor 06,22,15,2,5,69:32,37,2.1
4,FC Viktoria 1889 Berlin II,20,12,2,6,56:45,11,1.9
5,BSV Eintracht Mahlsdorf II,21,10,3,8,42:38,4,1.6
6,SC Borsigwalde 1910,21,8,8,5,48:43,5,1.5
7,Berliner SV 1892,13,6,1,6,25:24,1,1.5
8,Köpenicker FC,9,4,1,4,20:19,1,1.4
9,Berliner SC II,18,7,2,9,25:30,-5,1.3
10,FC Internationale Berlin 1980,20,7,3,10,43:36,7,1.2
11,FSV Berolina Stralau 1901,20,7,4,9,34:41,-7,1.2
12,Türkiyemspor Berlin,8,3,0,5,12:15,-3,1.1
13,BSV Al-Dersimspor,22,7,4,11,33:53,-20,1.1
14,SV Empor Berlin II,21,3,8,10,36:52,-16,0.8
15,VfB Concordia Britz 1916,19,4,1,14,26:50,-24,0.7
16,SV Stern Britz 1889,21,3,1,17,24:70,-46,0.5
