"matchday","H","A","Tore_H","Tore_A","prob_home_win","prob_draw","prob_away_win"
1,"TSV Rudow Berlin","FC Viktoria 1889 Berlin II",1,2,NA,NA,NA
1,"BFC Meteor 06","VfB Concordia Britz 1916",3,2,NA,NA,NA
1,"BFC Preussen II","Berliner SV 1892",3,1,NA,NA,NA
1,"SV Stern Britz 1889","Türkiyemspor Berlin",1,0,NA,NA,NA
1,"Köpenicker FC","FC Internationale Berlin 1980",1,1,NA,NA,NA
1,"BSV Eintracht Mahlsdorf II","Berliner SC II",3,1,NA,NA,NA
1,"SC Borsigwalde 1910","BSV Al-Dersimspor",1,0,NA,NA,NA
1,"FSV Berolina Stralau 1901","SV Empor Berlin II",1,1,NA,NA,NA
2,"FC Internationale Berlin 1980","BFC Preussen II",1,2,NA,NA,NA
2,"FC Viktoria 1889 Berlin II","BFC Meteor 06",3,2,NA,NA,NA
2,"Berliner SC II","SC Borsigwalde 1910",1,0,NA,NA,NA
2,"Türkiyemspor Berlin","TSV Rudow Berlin",0,0,NA,NA,NA
2,"Berliner SV 1892","BSV Eintracht Mahlsdorf II",0,4,NA,NA,NA
2,"VfB Concordia Britz 1916","FSV Berolina Stralau 1901",1,2,NA,NA,NA
2,"BSV Al-Dersimspor","SV Stern Britz 1889",4,1,NA,NA,NA
2,"SV Empor Berlin II","Köpenicker FC",1,2,NA,NA,NA
3,"BFC Preussen II","TSV Rudow Berlin",1,4,NA,NA,NA
3,"SV Empor Berlin II","FC Internationale Berlin 1980",2,2,NA,NA,NA
3,"BFC Meteor 06","Berliner SC II",1,2,NA,NA,NA
3,"Köpenicker FC","Türkiyemspor Berlin",3,4,NA,NA,NA
3,"BSV Eintracht Mahlsdorf II","SV Stern Britz 1889",2,1,NA,NA,NA
3,"SC Borsigwalde 1910","FC Viktoria 1889 Berlin II",3,3,NA,NA,NA
3,"VfB Concordia Britz 1916","Berliner SV 1892",1,5,NA,NA,NA
3,"FSV Berolina Stralau 1901","BSV Al-Dersimspor",0,1,NA,NA,NA
4,"BSV Al-Dersimspor","BFC Meteor 06",0,2,NA,NA,NA
4,"SV Stern Britz 1889","BFC Preussen II",0,6,NA,NA,NA
4,"TSV Rudow Berlin","Köpenicker FC",1,0,NA,NA,NA
4,"FC Viktoria 1889 Berlin II","FC Internationale Berlin 1980",1,2,NA,NA,NA
4,"Berliner SC II","VfB Concordia Britz 1916",1,1,NA,NA,NA
4,"Berliner SV 1892","SV Empor Berlin II",3,1,NA,NA,NA
4,"SC Borsigwalde 1910","BSV Eintracht Mahlsdorf II",3,3,NA,NA,NA
4,"Türkiyemspor Berlin","FSV Berolina Stralau 1901",5,0,NA,NA,NA
5,"Köpenicker FC","SV Stern Britz 1889",5,0,NA,NA,NA
5,"BFC Preussen II","SC Borsigwalde 1910",3,5,NA,NA,NA
5,"BFC Meteor 06","Türkiyemspor Berlin",2,1,NA,NA,NA
5,"SV Empor Berlin II","Berliner SC II",1,1,NA,NA,NA
5,"BSV Eintracht Mahlsdorf II","FC Viktoria 1889 Berlin II",4,0,NA,NA,NA
5,"VfB Concordia Britz 1916","BSV Al-Dersimspor",2,4,NA,NA,NA
5,"FC Internationale Berlin 1980","Berliner SV 1892",0,2,NA,NA,NA
5,"FSV Berolina Stralau 1901","TSV Rudow Berlin",0,4,NA,NA,NA
6,"TSV Rudow Berlin","BFC Meteor 06",1,0,NA,NA,NA
6,"SV Stern Britz 1889","FSV Berolina Stralau 1901",2,1,NA,NA,NA
6,"FC Viktoria 1889 Berlin II","Berliner SV 1892",4,2,NA,NA,NA
6,"BSV Eintracht Mahlsdorf II","BFC Preussen II",3,2,NA,NA,NA
6,"Berliner SC II","FC Internationale Berlin 1980",1,1,NA,NA,NA
6,"SC Borsigwalde 1910","Köpenicker FC",2,2,NA,NA,NA
6,"Türkiyemspor Berlin","VfB Concordia Britz 1916",6,1,NA,NA,NA
6,"BSV Al-Dersimspor","SV Empor Berlin II",3,3,NA,NA,NA
7,"FC Internationale Berlin 1980","BSV Al-Dersimspor",7,1,NA,NA,NA
7,"BFC Preussen II","FC Viktoria 1889 Berlin II",5,2,NA,NA,NA
7,"BFC Meteor 06","SV Stern Britz 1889",9,2,NA,NA,NA
7,"Köpenicker FC","BSV Eintracht Mahlsdorf II",1,4,NA,NA,NA
7,"SV Empor Berlin II","Türkiyemspor Berlin",2,0,NA,NA,NA
7,"Berliner SV 1892","Berliner SC II",1,0,NA,NA,NA
7,"VfB Concordia Britz 1916","TSV Rudow Berlin",0,3,NA,NA,NA
7,"FSV Berolina Stralau 1901","SC Borsigwalde 1910",0,2,NA,NA,NA
8,"SC Borsigwalde 1910","BFC Meteor 06",3,1,NA,NA,NA
8,"SV Stern Britz 1889","VfB Concordia Britz 1916",3,0,NA,NA,NA
8,"BFC Preussen II","Köpenicker FC",4,1,NA,NA,NA
8,"TSV Rudow Berlin","SV Empor Berlin II",1,0,NA,NA,NA
8,"FC Viktoria 1889 Berlin II","Berliner SC II",2,1,NA,NA,NA
8,"BSV Eintracht Mahlsdorf II","FSV Berolina Stralau 1901",0,2,NA,NA,NA
8,"Türkiyemspor Berlin","FC Internationale Berlin 1980",0,2,NA,NA,NA
8,"BSV Al-Dersimspor","Berliner SV 1892",3,0,NA,NA,NA
9,"TSV Rudow Berlin","SV Stern Britz 1889",9,2,NA,NA,NA
9,"FC Viktoria 1889 Berlin II","VfB Concordia Britz 1916",5,1,NA,NA,NA
9,"SV Empor Berlin II","BFC Meteor 06",2,5,NA,NA,NA
9,"Berliner SC II","BFC Preussen II",0,0,NA,NA,NA
9,"Türkiyemspor Berlin","SC Borsigwalde 1910",1,1,NA,NA,NA
9,"Berliner SV 1892","Köpenicker FC",4,0,NA,NA,NA
9,"FC Internationale Berlin 1980","FSV Berolina Stralau 1901",2,1,NA,NA,NA
9,"BSV Al-Dersimspor","BSV Eintracht Mahlsdorf II",1,0,NA,NA,NA
10,"FC Viktoria 1889 Berlin II","BSV Al-Dersimspor",3,2,NA,NA,NA
10,"BFC Preussen II","BFC Meteor 06",5,2,NA,NA,NA
10,"SV Stern Britz 1889","FC Internationale Berlin 1980",0,3,NA,NA,NA
10,"TSV Rudow Berlin","Berliner SV 1892",2,0,NA,NA,NA
