ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
16444,Robert Adler,FSV Berolina Stralau 1901,11,3,1,0,0,0,7,4,344,0,3,0.127,0.347,0.364,1,0.091,7,4,7,1.75,0.583,0.53,ST,IV,27%,9%
26811,Max Kruse,BSV Al-Dersimspor,1,0,0,0,0,0,0,1,45,1,30,0.017,0.5,0,0,0,0,1,0,0,0,0.103,NA,NA,100%,0%
43191,Solomon Okoronkwo,BFC Meteor 06,5,1,2,2,0,0,2,2,247,0,NA,0.091,0.549,0.6,0,0,3,3,2,1,0.333,0.361,ZOM,ST,40%,20%
58814,Enes Uzun,Türkiyemspor Berlin,21,7,0,0,0,0,3,2,1734,0,25,0.642,0.917,0.333,5,0.238,25,18,3,1.389,0.463,0.707,RM,ZOM,33%,33%
114840,Moris Fikic,BFC Preussen II,7,1,0,0,0,0,0,1,596,0,10,0.221,0.946,0.143,0,0,10,7,0,1.429,0.476,0.567,ZOM,LM,57%,14%
114904,Bene Brecht,Berliner SC II,5,0,1,0,0,0,0,0,450,0,16,0.167,1,0.2,1,0.2,7,5,0,1.4,0.467,0.62,ZM,LM,60%,20%
114923,Omid Saberdest,Türkiyemspor Berlin,24,7,1,0,0,0,1,12,1884,2,5,0.698,0.872,0.333,5,0.208,28,22,2,1.273,0.424,0.673,ZOM,RM,54%,12%
202674,Selvedin Begzadic,BFC Meteor 06,20,0,0,0,0,0,0,1,1766,0,22,0.654,0.981,0,2,0.1,45,20,0,2.25,0.75,0.882,TW,NA,100%,0%
224507,Jannis Gabrielides,Berliner SC II,1,0,0,0,0,0,0,0,90,0,NA,0.033,1,0,0,0,0,0,1,0,0,0.207,NA,NA,NA%,0%
258670,Karsten Schleifring,BSV Al-Dersimspor,10,1,0,0,0,0,8,2,201,0,25,0.074,0.223,0.1,0,0,3,2,8,1.5,0.5,0.409,ST,NA,10%,0%
273926,Vahit Engin,BFC Preussen II,7,0,0,0,0,0,7,0,154,0,11,0.057,0.244,0,0,0,0,0,7,0,0,0.06,NA,NA,NA%,0%
275904,Kenan Demir,Türkiyemspor Berlin,21,0,0,0,0,0,9,2,1202,0,3,0.445,0.636,0,2,0.095,30,19,2,1.579,0.526,0.613,ZDM,IV,48%,43%
282924,Hendrik Lüttschwager,Berliner SV 1892,21,0,0,0,0,0,0,1,1811,2,1,0.671,0.958,0,2,0.095,36,19,2,1.895,0.632,0.796,TW,NA,76%,0%
282968,Kerem Filiz,BSV Al-Dersimspor,7,0,0,0,0,0,5,0,264,0,NA,0.098,0.419,0,0,0,3,2,5,1.5,0.5,0.453,IV,NA,29%,0%
284753,Jannes Potthoff,FSV Berolina Stralau 1901,9,0,0,0,0,0,0,0,810,0,1,0.3,1,0,0,0,10,6,3,1.667,0.556,0.649,TW,NA,56%,0%
289951,Lucas Robbin Bähr,TSV Rudow Berlin,7,1,0,0,0,0,0,2,543,1,NA,0.201,0.862,0.143,1,0.143,18,7,0,2.571,0.857,0.855,IV,LV,71%,14%
294576,Christian Preiss,BSV Eintracht Mahlsdorf II,22,7,5,0,0,0,0,0,1980,1,16,0.733,1,0.545,5,0.227,23,14,8,1.643,0.548,0.798,ZM,RM,50%,5%
302247,Maurice Peitz,SV Empor Berlin II,1,1,0,0,0,0,0,0,90,0,NA,0.033,1,1,0,0,0,1,0,0,0,0.207,IV,NA,100%,0%
302249,Nicolas Wolski,Berliner SC II,12,0,0,1,1,0,6,5,560,0,8,0.207,0.519,0,0,0,7,6,6,1.167,0.389,0.418,RV,LM,25%,8%
309623,Tugay Adigüzel,BFC Meteor 06,21,3,13,1,0,0,2,4,1713,6,61,0.634,0.906,0.762,6,0.286,43,19,2,2.263,0.754,0.922,LV,RV,67%,14%
312658,Alexander Foth,Köpenicker FC,13,5,0,0,1,0,3,6,819,1,11,0.303,0.7,0.385,3,0.231,20,10,3,2,0.667,0.737,RM,ZM,38%,23%
315427,Denis Rolke,FSV Berolina Stralau 1901,23,0,1,0,0,0,2,13,1650,3,15,0.611,0.797,0.043,1,0.043,34,21,2,1.619,0.54,0.672,RM,IV,43%,30%
335627,Robert Klessny,FSV Berolina Stralau 1901,7,2,3,0,0,0,0,6,498,2,NA,0.184,0.79,0.714,2,0.286,14,7,0,2,0.667,0.747,ST,NA,86%,0%
337785,Yasin Baki,BSV Al-Dersimspor,2,0,0,0,0,0,0,0,180,1,NA,0.067,1,0,1,0.5,1,2,0,0.5,0.167,0.48,TW,NA,100%,0%
346905,Levent Mucuk,BFC Preussen II,20,4,0,0,0,0,2,1,1676,1,55,0.621,0.931,0.2,8,0.4,36,18,2,2,0.667,0.897,IV,NA,90%,0%
351307,Nick Bechler,Berliner SV 1892,22,3,0,0,0,0,0,10,1683,1,27,0.623,0.85,0.136,1,0.045,40,22,0,1.818,0.606,0.732,IV,LV,36%,36%
358358,Melih Hortum,TSV Rudow Berlin,18,4,1,0,0,0,1,11,1348,1,10,0.499,0.832,0.278,7,0.389,41,17,1,2.412,0.804,0.946,ZOM,ST,50%,17%
358424,Dmitri Zabavin,TSV Rudow Berlin,3,0,0,0,0,0,1,0,225,1,1,0.083,0.833,0,1,0.333,6,2,1,3,1,0.983,TW,NA,67%,0%
359310,Magnus Stahlberg,BFC Preussen II,18,5,1,0,0,0,0,0,1620,0,16,0.6,1,0.333,8,0.444,46,19,-1,2.421,0.807,1.018,IV,LM,50%,22%
363862,Marcel Bubner,SC Borsigwalde 1910,21,4,0,0,0,0,3,12,1492,0,19,0.553,0.789,0.19,1,0.048,23,18,3,1.278,0.426,0.581,LM,ST,48%,14%
364756,Linus Dersch,Berliner SC II,7,1,1,0,0,0,1,2,529,1,NA,0.196,0.84,0.286,2,0.286,6,6,1,1,0.333,0.526,RM,LM,43%,14%
365382,Jonas Weigelt,Köpenicker FC,14,0,0,0,0,0,1,3,1070,0,8,0.396,0.849,0,0,0,17,13,1,1.308,0.436,0.554,IV,ZM,36%,36%
368027,Sebastian Sobczyk,Berliner SV 1892,9,4,0,0,0,0,3,5,506,0,9,0.187,0.625,0.444,0,0,9,6,3,1.5,0.5,0.512,ST,NA,67%,0%
371537,Martin Gromotka,TSV Rudow Berlin,23,0,0,0,0,0,0,1,2025,1,44,0.75,0.978,0,2,0.087,55,23,0,2.391,0.797,0.93,TW,NA,91%,0%
389162,Yevgen Igorovic Lozynsky,VfB Concordia Britz 1916,22,0,0,1,1,0,2,7,1684,0,27,0.624,0.851,0,0,0,0,0,22,0,0,0.295,NA,NA,NA%,0%
427035,Paul Miggel,BFC Preussen II,8,0,0,0,0,0,3,4,463,0,8,0.171,0.643,0,0,0,10,5,3,2,0.667,0.63,LV,ST,38%,12%
438761,Andre Schulz,SV Stern Britz 1889,23,1,0,5,0,0,0,0,2070,0,23,0.767,1,0.043,8,0.348,10,22,1,0.455,0.152,0.564,IV,LM,100%,4%
