Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
1,BFC Meteor 06,Simon Böhm,11,ST,23,1.261
2,BSV Al-Dersimspor,Merdan Baba,10,ST,17,1.176
3,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,22,1.045
4,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,25,0.92
5,TSV Rudow Berlin,Matteo Günther,9,ST,24,0.917
6,Berliner SC II,Alexander Lorenz,11,ST,10,0.8
7,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,0.769
8,BFC Meteor 06,Tugay Adigüzel,61,LV,21,0.762
9,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,0.714
10,BFC Meteor 06,Ayham Heimur,92,LM,21,0.714
11,SC Borsigwalde 1910,Marcel Knaack,NA,ST,9,0.667
12,Köpenicker FC,Roman Ilinseer,18,ST,18,0.667
13,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,21,0.667
14,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,0.667
15,BFC Preussen II,Lucky Ugbogbo,NA,RM,14,0.643
16,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,11,0.636
17,Köpenicker FC,Dennis Bohnsack,9,ST,22,0.636
18,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,0.625
19,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,18,0.611
20,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,10,0.6
21,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,19,0.579
22,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0.571
23,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,0.571
24,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,0.571
25,FC Viktoria 1889 Berlin II,Joan Schäfers Llauger,8,LM,18,0.556
26,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,22,0.545
27,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,19,0.526
28,Köpenicker FC,Felix Hartmann,15,TW,23,0.522
29,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,14,0.5
30,SV Empor Berlin II,Suraj Faizi,NA,ST,8,0.5
31,BFC Meteor 06,Tim Riese,4,IV,21,0.476
32,BFC Meteor 06,Jannik Jantzen,27,ZDM,19,0.474
