"#","team","Pred","Pkt","50%","75%","90%","100%"
1,"TSV Rudow Berlin",68,53,0,0,0,0
2,"BFC Preussen II",64,50,0,0,0,0
3,"BFC Meteor 06",63,50,0,0,0,0
4,"Berliner SV 1892",56,43,0,0,0,0
5,"FC Viktoria 1889 Berlin II",54,42,0,0,0,0
6,"BSV Eintracht Mahlsdorf II",51,39,0,0,0,0
7,"SC Borsigwalde 1910",45,36,0,0,0,0
8,"Köpenicker FC",41,31,0,0,0,1
9,"Türkiyemspor Berlin",37,30,0,0,0,2
10,"FC Internationale Berlin 1980",37,29,0,0,0,3
11,"Berliner SC II",35,26,0,0,1,6
12,"FSV Berolina Stralau 1901",33,26,0,0,1,6
13,"BSV Al-Dersimspor",33,25,0,0,2,7
14,"SV Empor Berlin II",23,17,6,8,10,15
15,"VfB Concordia Britz 1916",20,14,9,11,13,18
16,"SV Stern Britz 1889",15,10,13,15,17,22
