"team","Rank","Count","Probability"
"TSV Rudow Berlin","Rank_1",4222,211.1
"TSV Rudow Berlin","Rank_2",1349,67.4
"TSV Rudow Berlin","Rank_3",396,19.8
"TSV Rudow Berlin","Rank_4",29,1.5
"TSV Rudow Berlin","Rank_5",4,0.2
"TSV Rudow Berlin","Rank_6",0,0
"TSV Rudow Berlin","Rank_7",0,0
"TSV Rudow Berlin","Rank_8",0,0
"TSV Rudow Berlin","Rank_9",0,0
"TSV Rudow Berlin","Rank_10",0,0
"TSV Rudow Berlin","Rank_11",0,0
"TSV Rudow Berlin","Rank_12",0,0
"TSV Rudow Berlin","Rank_13",0,0
"TSV Rudow Berlin","Rank_14",0,0
"TSV Rudow Berlin","Rank_15",0,0
"TSV Rudow Berlin","Rank_16",0,0
"BFC Meteor 06","Rank_1",804,40.2
"BFC Meteor 06","Rank_2",2222,111.1
"BFC Meteor 06","Rank_3",2601,130.1
"BFC Meteor 06","Rank_4",305,15.2
"BFC Meteor 06","Rank_5",63,3.1
"BFC Meteor 06","Rank_6",5,0.2
"BFC Meteor 06","Rank_7",0,0
"BFC Meteor 06","Rank_8",0,0
"BFC Meteor 06","Rank_9",0,0
"BFC Meteor 06","Rank_10",0,0
"BFC Meteor 06","Rank_11",0,0
"BFC Meteor 06","Rank_12",0,0
"BFC Meteor 06","Rank_13",0,0
"BFC Meteor 06","Rank_14",0,0
"BFC Meteor 06","Rank_15",0,0
"BFC Meteor 06","Rank_16",0,0
"BFC Preussen II","Rank_1",972,48.6
"BFC Preussen II","Rank_2",2386,119.3
"BFC Preussen II","Rank_3",2441,122
"BFC Preussen II","Rank_4",183,9.2
"BFC Preussen II","Rank_5",18,0.9
"BFC Preussen II","Rank_6",0,0
"BFC Preussen II","Rank_7",0,0
"BFC Preussen II","Rank_8",0,0
"BFC Preussen II","Rank_9",0,0
"BFC Preussen II","Rank_10",0,0
"BFC Preussen II","Rank_11",0,0
"BFC Preussen II","Rank_12",0,0
"BFC Preussen II","Rank_13",0,0
"BFC Preussen II","Rank_14",0,0
"BFC Preussen II","Rank_15",0,0
"BFC Preussen II","Rank_16",0,0
"SV Stern Britz 1889","Rank_1",0,0
"SV Stern Britz 1889","Rank_2",0,0
"SV Stern Britz 1889","Rank_3",0,0
"SV Stern Britz 1889","Rank_4",0,0
"SV Stern Britz 1889","Rank_5",0,0
"SV Stern Britz 1889","Rank_6",0,0
"SV Stern Britz 1889","Rank_7",0,0
"SV Stern Britz 1889","Rank_8",0,0
"SV Stern Britz 1889","Rank_9",0,0
"SV Stern Britz 1889","Rank_10",0,0
"SV Stern Britz 1889","Rank_11",0,0
"SV Stern Britz 1889","Rank_12",0,0
"SV Stern Britz 1889","Rank_13",0,0
"SV Stern Britz 1889","Rank_14",93,4.7
"SV Stern Britz 1889","Rank_15",891,44.5
"SV Stern Britz 1889","Rank_16",5016,250.8
"Köpenicker FC","Rank_1",0,0
"Köpenicker FC","Rank_2",0,0
"Köpenicker FC","Rank_3",0,0
"Köpenicker FC","Rank_4",0,0
"Köpenicker FC","Rank_5",3,0.1
"Köpenicker FC","Rank_6",107,5.3
"Köpenicker FC","Rank_7",1326,66.3
"Köpenicker FC","Rank_8",2586,129.3
"Köpenicker FC","Rank_9",1111,55.5
"Köpenicker FC","Rank_10",512,25.6
"Köpenicker FC","Rank_11",233,11.7
"Köpenicker FC","Rank_12",90,4.5
"Köpenicker FC","Rank_13",32,1.6
"Köpenicker FC","Rank_14",0,0
"Köpenicker FC","Rank_15",0,0
"Köpenicker FC","Rank_16",0,0
"BSV Eintracht Mahlsdorf II","Rank_1",0,0
"BSV Eintracht Mahlsdorf II","Rank_2",0,0
"BSV Eintracht Mahlsdorf II","Rank_3",15,0.8
"BSV Eintracht Mahlsdorf II","Rank_4",633,31.6
"BSV Eintracht Mahlsdorf II","Rank_5",1331,66.6
"BSV Eintracht Mahlsdorf II","Rank_6",3379,168.9
"BSV Eintracht Mahlsdorf II","Rank_7",574,28.7
"BSV Eintracht Mahlsdorf II","Rank_8",67,3.4
"BSV Eintracht Mahlsdorf II","Rank_9",1,0
"BSV Eintracht Mahlsdorf II","Rank_10",0,0
"BSV Eintracht Mahlsdorf II","Rank_11",0,0
"BSV Eintracht Mahlsdorf II","Rank_12",0,0
