ID,Name,Team,Spiele,Tore,Assists,Gelbe.Karten,Gelb.Rote.Karten,Rote.Karten,Einwechslung,Auswechslung,Spielzeit,X11.des.Tages,Nummer,playtime_ratio,avg_playtime_per_game,scorerpoints_per_game,best_player_appearances,best_player_ratio,total_points,matches_played,match_diff,points_per_game,normalized_points_per_game,weighted_score,most_position,second_position,position_percentage,second_position_percentage
16444,Robert Adler,FSV Berolina Stralau 1901,6,0,1,0,0,0,5,1,154,0,3,0.132,0.285,0.167,0,0,0,1,5,0,0,0.097,IV,NA,17%,0%
26811,Max Kruse,BSV Al-Dersimspor,1,0,0,0,0,0,0,1,45,1,30,0.038,0.5,0,0,0,0,1,0,0,0,0.111,NA,NA,100%,0%
43191,Solomon Okoronkwo,BFC Meteor 06,5,1,2,1,0,0,2,2,247,0,NA,0.211,0.549,0.6,0,0,3,3,2,1,0.333,0.306,ZOM,ST,40%,20%
58814,Enes Uzun,Türkiyemspor Berlin,10,4,0,0,0,0,0,1,891,0,25,0.762,0.99,0.4,3,0.3,18,11,-1,1.636,0.545,0.735,RM,ZOM,60%,30%
114840,Moris Fikic,BFC Preussen II,7,1,0,0,0,0,0,1,596,0,10,0.509,0.946,0.143,0,0,10,7,0,1.429,0.476,0.532,ZOM,LM,57%,14%
114904,Bene Brecht,Berliner SC II,3,0,1,0,0,0,0,0,270,0,16,0.231,1,0.333,0,0,4,3,0,1.333,0.444,0.447,LM,RV,33%,33%
114923,Omid Saberdest,Türkiyemspor Berlin,13,6,0,0,0,0,0,5,1113,2,5,0.951,0.951,0.462,3,0.231,18,12,1,1.5,0.5,0.745,ZOM,ST,54%,15%
202674,Selvedin Begzadic,BFC Meteor 06,8,0,0,0,0,0,0,0,720,0,22,0.615,1,0,0,0,15,8,0,1.875,0.625,0.635,TW,NA,100%,0%
258670,Karsten Schleifring,BSV Al-Dersimspor,2,0,0,0,0,0,2,0,5,0,25,0.004,0.028,0,0,0,0,0,2,0,0,0.007,NA,NA,NA%,0%
273926,Vahit Engin,BFC Preussen II,4,0,0,0,0,0,4,0,80,0,11,0.068,0.222,0,0,0,0,0,4,0,0,0.065,NA,NA,NA%,0%
275904,Kenan Demir,Türkiyemspor Berlin,10,0,0,0,0,0,2,1,761,0,3,0.65,0.846,0,2,0.2,17,11,-1,1.545,0.515,0.63,IV,ZDM,80%,50%
282924,Hendrik Lüttschwager,Berliner SV 1892,8,0,0,0,0,0,0,0,720,0,1,0.615,1,0,0,0,9,6,2,1.5,0.5,0.585,TW,NA,75%,0%
