Rank,Team,Name,Nr,Pos,Spiele,Scorerpoints
1,BFC Meteor 06,Simon Böhm,11,ST,20,1.2
2,BSV Al-Dersimspor,Merdan Baba,10,ST,14,1.071
3,FC Viktoria 1889 Berlin II,Matthieu Lucas Weinlein,17,ST,19,1
4,FC Viktoria 1889 Berlin II,Rayan Ait Manssour,19,LM,22,0.955
5,Berliner SC II,Alexander Lorenz,11,ST,8,0.875
6,BSV Eintracht Mahlsdorf II,Kenan Halilcevic,17,LM,13,0.769
7,SC Borsigwalde 1910,Marcel Knaack,NA,ST,8,0.75
8,Köpenicker FC,Roman Ilinseer,18,ST,15,0.733
9,BFC Preussen II,Lucky Ugbogbo,NA,RM,11,0.727
10,BFC Meteor 06,Tugay Adigüzel,61,LV,18,0.722
11,BFC Meteor 06,Ayham Heimur,92,LM,18,0.722
12,FSV Berolina Stralau 1901,Robert Klessny,NA,ST,7,0.714
13,TSV Rudow Berlin,Matteo Günther,9,ST,21,0.714
14,BFC Meteor 06,Abdoulaye Djibril Diallo,NA,RV,7,0.714
15,BSV Eintracht Mahlsdorf II,Maurice Völckert,11,ST,10,0.7
16,Köpenicker FC,Dennis Bohnsack,9,ST,19,0.684
17,BFC Preussen II,Gani Gashi,33,RM,6,0.667
18,SC Borsigwalde 1910,Pedro Lucas Santanna Miranda Silva,10,ST,15,0.667
19,Türkiyemspor Berlin,Mehmet Tunay,NA,LM,8,0.625
20,BFC Preussen II,Kevin Anderson Moreira Godinho,18,RM,8,0.625
21,BFC Meteor 06,Solomon Okoronkwo,NA,ZOM,5,0.6
22,SV Empor Berlin II,Billy Bradley Tuckerman,NA,RM,5,0.6
23,FSV Berolina Stralau 1901,Sebastian Heßler,12,LM,17,0.588
24,VfB Concordia Britz 1916,Maximilian Höhle,20,ST,12,0.583
25,FSV Berolina Stralau 1901,Ole Bresemann,9,ST,19,0.579
26,SC Borsigwalde 1910,Furkan Yildirim,13,ZDM,19,0.579
27,Türkiyemspor Berlin,Habib Jalloh,16,LM,7,0.571
28,BSV Eintracht Mahlsdorf II,Leon Schmeißer,20,RM,7,0.571
29,FSV Berolina Stralau 1901,Ali Esweiei,NA,LM,7,0.571
30,BSV Eintracht Mahlsdorf II,Christian Preiss,16,ZM,20,0.55
31,FC Viktoria 1889 Berlin II,Joan Schäfers Llauger,8,LM,15,0.533
32,Türkiyemspor Berlin,Volkan Neziroglu,NA,ST,8,0.5
33,BFC Meteor 06,Tim Riese,4,IV,18,0.5
34,BFC Meteor 06,Jannik Jantzen,27,ZDM,18,0.5
35,TSV Rudow Berlin,Talha Sennur,24,ST,17,0.471
36,FSV Berolina Stralau 1901,Christopher Schwarz,NA,ZM,15,0.467
37,BSV Eintracht Mahlsdorf II,Marc Michas,10,ST,15,0.467
38,BSV Eintracht Mahlsdorf II,Reto Reichenberger,7,ST,22,0.455
39,Berliner SV 1892,Sebastian Sobczyk,9,ST,9,0.444
40,FC Internationale Berlin 1980,Maximilian De Rosnay,17,NA,9,0.444
41,BFC Preussen II,Hugo Timur,7,ST,14,0.429
42,Berliner SC II,Danilo Arsic,11,ST,7,0.429
43,Köpenicker FC,Jose Antonio Ondo Mangue,21,NA,12,0.417
44,BSV Eintracht Mahlsdorf II,Jonas Maroske,6,ZM,17,0.412
45,BFC Meteor 06,Serkan Karasu,3,IV,22,0.409
46,Berliner SC II,Linus Dersch,NA,LM,5,0.4
47,VfB Concordia Britz 1916,Le-Roy Da-Costa,9,ST,5,0.4
48,BFC Preussen II,Dan Feldmann,NA,NA,5,0.4
49,Berliner SV 1892,Tim Paschke,13,ST,10,0.4
50,Türkiyemspor Berlin,Abdoulaye Djibril Diallo,NA,RV,5,0.4
51,SV Empor Berlin II,Hong Phuc Dinh,17,LM,5,0.4
52,BSV Eintracht Mahlsdorf II,Tim-Luca Eberl,NA,RV,10,0.4
53,SV Empor Berlin II,Suraj Faizi,NA,ZOM,5,0.4
54,FSV Berolina Stralau 1901,Adrian Welch,7,ST,5,0.4
55,Köpenicker FC,Alexander Foth,11,RM,13,0.385
56,Türkiyemspor Berlin,Omid Saberdest,5,ZOM,21,0.381
57,Köpenicker FC,Felix Hartmann,15,TW,21,0.381
58,Berliner SV 1892,Robin Wolff,25,ST,8,0.375
59,Berliner SC II,Tim Niedenhoff,19,ZM,16,0.375
60,Türkiyemspor Berlin,Enes Uzun,25,RM,19,0.368
61,BSV Al-Dersimspor,Mohamad-Ali Chawraba,47,ST,11,0.364
62,SV Empor Berlin II,Nico Bochnia,23,ST,11,0.364
63,FC Viktoria 1889 Berlin II,Maciej Macias,24,ZOM,11,0.364
64,BFC Meteor 06,Pascal-Rene Jüterbock,84,LM,14,0.357
