"team","Rank","Count","Probability"
"TSV Rudow Berlin","Rank_1",1399,70
"TSV Rudow Berlin","Rank_2",446,22.3
"TSV Rudow Berlin","Rank_3",142,7.1
"TSV Rudow Berlin","Rank_4",13,0.7
"TSV Rudow Berlin","Rank_5",0,0
"TSV Rudow Berlin","Rank_6",0,0
"TSV Rudow Berlin","Rank_7",0,0
"TSV Rudow Berlin","Rank_8",0,0
"TSV Rudow Berlin","Rank_9",0,0
"TSV Rudow Berlin","Rank_10",0,0
"TSV Rudow Berlin","Rank_11",0,0
"TSV Rudow Berlin","Rank_12",0,0
"TSV Rudow Berlin","Rank_13",0,0
"TSV Rudow Berlin","Rank_14",0,0
"TSV Rudow Berlin","Rank_15",0,0
"TSV Rudow Berlin","Rank_16",0,0
"BFC Meteor 06","Rank_1",274,13.7
"BFC Meteor 06","Rank_2",746,37.3
"BFC Meteor 06","Rank_3",859,43
"BFC Meteor 06","Rank_4",98,4.9
"BFC Meteor 06","Rank_5",22,1.1
"BFC Meteor 06","Rank_6",1,0
"BFC Meteor 06","Rank_7",0,0
"BFC Meteor 06","Rank_8",0,0
"BFC Meteor 06","Rank_9",0,0
"BFC Meteor 06","Rank_10",0,0
"BFC Meteor 06","Rank_11",0,0
"BFC Meteor 06","Rank_12",0,0
"BFC Meteor 06","Rank_13",0,0
"BFC Meteor 06","Rank_14",0,0
"BFC Meteor 06","Rank_15",0,0
"BFC Meteor 06","Rank_16",0,0
"BFC Preussen II","Rank_1",325,16.2
"BFC Preussen II","Rank_2",790,39.5
"BFC Preussen II","Rank_3",821,41
"BFC Preussen II","Rank_4",57,2.9
"BFC Preussen II","Rank_5",7,0.4
"BFC Preussen II","Rank_6",0,0
"BFC Preussen II","Rank_7",0,0
"BFC Preussen II","Rank_8",0,0
"BFC Preussen II","Rank_9",0,0
"BFC Preussen II","Rank_10",0,0
"BFC Preussen II","Rank_11",0,0
"BFC Preussen II","Rank_12",0,0
"BFC Preussen II","Rank_13",0,0
"BFC Preussen II","Rank_14",0,0
"BFC Preussen II","Rank_15",0,0
"BFC Preussen II","Rank_16",0,0
"SV Stern Britz 1889","Rank_1",0,0
"SV Stern Britz 1889","Rank_2",0,0
"SV Stern Britz 1889","Rank_3",0,0
"SV Stern Britz 1889","Rank_4",0,0
"SV Stern Britz 1889","Rank_5",0,0
"SV Stern Britz 1889","Rank_6",0,0
"SV Stern Britz 1889","Rank_7",0,0
"SV Stern Britz 1889","Rank_8",0,0
"SV Stern Britz 1889","Rank_9",0,0
"SV Stern Britz 1889","Rank_10",0,0
"SV Stern Britz 1889","Rank_11",0,0
"SV Stern Britz 1889","Rank_12",0,0
"SV Stern Britz 1889","Rank_13",0,0
"SV Stern Britz 1889","Rank_14",36,1.8
"SV Stern Britz 1889","Rank_15",307,15.3
"SV Stern Britz 1889","Rank_16",1657,82.8
